单品编码,日期,销售单价(元/千克)
102900005116899,2020-07-01,0
102900005116899,2020-07-02,0
102900005116899,2020-07-03,0
102900005116899,2020-07-04,0
102900005116899,2020-07-05,0
102900005116899,2020-07-06,0
102900005116899,2020-07-07,0
102900005116899,2020-07-08,16.0
102900005116899,2020-07-09,0
102900005116899,2020-07-10,16.0
102900005116899,2020-07-11,16.0
102900005116899,2020-07-12,16.0
102900005116899,2020-07-13,16.0
102900005116899,2020-07-14,16.0
102900005116899,2020-07-15,16.0
102900005116899,2020-07-16,16.0
102900005116899,2020-07-17,16.0
102900005116899,2020-07-18,16.0
102900005116899,2020-07-19,16.0
102900005116899,2020-07-20,16.0
102900005116899,2020-07-21,16.0
102900005116899,2020-07-22,16.0
102900005116899,2020-07-23,16.0
102900005116899,2020-07-24,16.0
102900005116899,2020-07-25,16.0
102900005116899,2020-07-26,16.0
102900005116899,2020-07-27,12.0
102900005116899,2020-07-28,12.0
102900005116899,2020-07-29,12.0
102900005116899,2020-07-30,12.0
102900005116899,2020-07-31,11.0
102900005116899,2020-08-01,11.0
102900005116899,2020-08-02,11.0
102900005116899,2020-08-03,11.0
102900005116899,2020-08-04,11.0
102900005116899,2020-08-05,11.0
102900005116899,2020-08-06,11.0
102900005116899,2020-08-07,11.0
102900005116899,2020-08-08,11.0
102900005116899,2020-08-09,10.0
102900005116899,2020-08-10,10.0
102900005116899,2020-08-11,10.0
102900005116899,2020-08-12,10.0
102900005116899,2020-08-13,10.0
102900005116899,2020-08-14,10.0
102900005116899,2020-08-15,8.8
102900005116899,2020-08-16,8.8
102900005116899,2020-08-17,8.8
102900005116899,2020-08-18,8.8
102900005116899,2020-08-19,8.8
102900005116899,2020-08-20,8.8
102900005116899,2020-08-21,8.8
102900005116899,2020-08-22,8.8
102900005116899,2020-08-23,8.8
102900005116899,2020-08-24,8.8
102900005116899,2020-08-25,8.8
102900005116899,2020-08-26,8.8
102900005116899,2020-08-27,10.0
102900005116899,2020-08-28,10.0
102900005116899,2020-08-29,8.0
102900005116899,2020-08-30,8.0
102900005116899,2020-08-31,8.0
102900005116899,2020-09-01,8.0
102900005116899,2020-09-02,8.0
102900005116899,2020-09-03,8.0
102900005116899,2020-09-04,8.0
102900005116899,2020-09-05,7.6
102900005116899,2020-09-06,7.6
102900005116899,2020-09-07,7.6
102900005116899,2020-09-08,8.0
102900005116899,2020-09-09,8.0
102900005116899,2020-09-10,8.0
102900005116899,2020-09-11,8.0
102900005116899,2020-09-12,8.0
102900005116899,2020-09-13,8.0
102900005116899,2020-09-14,8.0
102900005116899,2020-09-15,8.0
102900005116899,2020-09-16,7.0
102900005116899,2020-09-17,7.0
102900005116899,2020-09-18,7.0
102900005116899,2020-09-19,8.0
102900005116899,2020-09-20,8.0
102900005116899,2020-09-21,8.0
102900005116899,2020-09-22,8.0
102900005116899,2020-09-23,8.0
102900005116899,2020-09-24,8.0
102900005116899,2020-09-25,8.0
102900005116899,2020-09-26,8.0
102900005116899,2020-09-27,8.0
102900005116899,2020-09-28,8.0
102900005116899,2020-09-29,8.0
102900005116899,2020-09-30,8.0
102900005116899,2020-10-01,8.0
102900005116899,2020-10-02,8.0
102900005116899,2020-10-03,8.0
102900005116899,2020-10-04,8.0
102900005116899,2020-10-05,8.0
102900005116899,2020-10-06,8.0
102900005116899,2020-10-07,8.0
102900005116899,2020-10-08,8.0
102900005116899,2020-10-09,8.0
102900005116899,2020-10-10,8.0
102900005116899,2020-10-11,8.0
102900005116899,2020-10-12,8.0
102900005116899,2020-10-13,8.0
102900005116899,2020-10-14,8.0
102900005116899,2020-10-15,8.0
