单品编码,日期,销售单价(元/千克)
102900005116714,2020-07-01,14.0
102900005116714,2020-07-02,14.0
102900005116714,2020-07-03,14.0
102900005116714,2020-07-04,14.0
102900005116714,2020-07-05,14.0
102900005116714,2020-07-06,14.0
102900005116714,2020-07-07,14.0
102900005116714,2020-07-08,14.0
102900005116714,2020-07-09,14.0
102900005116714,2020-07-10,14.0
102900005116714,2020-07-11,14.0
102900005116714,2020-07-12,14.0
102900005116714,2020-07-13,14.0
102900005116714,2020-07-14,14.0
102900005116714,2020-07-15,14.0
102900005116714,2020-07-16,14.0
102900005116714,2020-07-17,14.0
102900005116714,2020-07-18,14.0
102900005116714,2020-07-19,14.0
102900005116714,2020-07-20,14.0
102900005116714,2020-07-21,14.0
102900005116714,2020-07-22,14.0
102900005116714,2020-07-23,14.0
102900005116714,2020-07-24,14.0
102900005116714,2020-07-25,14.0
102900005116714,2020-07-26,14.0
102900005116714,2020-07-27,14.0
102900005116714,2020-07-28,14.0
102900005116714,2020-07-29,14.0
102900005116714,2020-07-30,14.0
102900005116714,2020-07-31,14.0
102900005116714,2020-08-01,14.0
102900005116714,2020-08-02,14.0
102900005116714,2020-08-03,14.0
102900005116714,2020-08-04,14.0
102900005116714,2020-08-05,14.0
102900005116714,2020-08-06,14.0
102900005116714,2020-08-07,14.0
102900005116714,2020-08-08,14.0
102900005116714,2020-08-09,14.0
102900005116714,2020-08-10,15.0
102900005116714,2020-08-11,14.0
102900005116714,2020-08-12,14.0
102900005116714,2020-08-13,13.0
102900005116714,2020-08-14,13.0
102900005116714,2020-08-15,13.0
102900005116714,2020-08-16,13.0
102900005116714,2020-08-17,13.0
102900005116714,2020-08-18,12.0
102900005116714,2020-08-19,10.0
102900005116714,2020-08-20,10.0
102900005116714,2020-08-21,12.0
102900005116714,2020-08-22,12.0
102900005116714,2020-08-23,13.0
102900005116714,2020-08-24,13.0
102900005116714,2020-08-25,13.0
102900005116714,2020-08-26,13.0
102900005116714,2020-08-27,12.0
102900005116714,2020-08-28,12.0
102900005116714,2020-08-29,12.0
102900005116714,2020-08-30,12.0
102900005116714,2020-08-31,12.0
102900005116714,2020-09-01,12.0
102900005116714,2020-09-02,12.0
102900005116714,2020-09-03,12.0
102900005116714,2020-09-04,12.0
102900005116714,2020-09-05,12.0
102900005116714,2020-09-06,12.0
102900005116714,2020-09-07,12.0
102900005116714,2020-09-08,12.0
102900005116714,2020-09-09,12.0
102900005116714,2020-09-10,12.0
102900005116714,2020-09-11,12.0
102900005116714,2020-09-12,11.0
102900005116714,2020-09-13,11.0
102900005116714,2020-09-14,11.0
102900005116714,2020-09-15,11.0
102900005116714,2020-09-16,11.0
102900005116714,2020-09-17,11.0
102900005116714,2020-09-18,11.0
102900005116714,2020-09-19,11.0
102900005116714,2020-09-20,12.0
102900005116714,2020-09-21,12.0
102900005116714,2020-09-22,12.0
102900005116714,2020-09-23,12.0
102900005116714,2020-09-24,14.0
102900005116714,2020-09-25,14.0
102900005116714,2020-09-26,14.0
102900005116714,2020-09-27,14.0
102900005116714,2020-09-28,14.0
102900005116714,2020-09-29,14.0
102900005116714,2020-09-30,14.0
102900005116714,2020-10-01,14.0
102900005116714,2020-10-02,14.0
102900005116714,2020-10-03,14.0
102900005116714,2020-10-04,14.0
102900005116714,2020-10-05,14.0
102900005116714,2020-10-06,14.0
102900005116714,2020-10-07,14.0
102900005116714,2020-10-08,14.0
102900005116714,2020-10-09,14.0
102900005116714,2020-10-10,14.0
102900005116714,2020-10-11,14.0
102900005116714,2020-10-12,14.0
102900005116714,2020-10-13,14.0
102900005116714,2020-10-14,12.0
102900005116714,2020-10-15,9.2
102900005116714,2020-10-16,10.0
102900005116714,2020-10-17,10.0
102900005116714,2020-10-18,10.0
102900005116714,2020-10-19,10.0
102900005116714,2020-10-20,10.0
102900005116714,2020-10-21,10.0
102900005116714,2020-10-22,10.0
102900005116714,2020-10-23,11.0
102900005116714,2020-10-24,11.0
102900005116714,2020-10-25,11.0
102900005116714,2020-10-26,11.0
102900005116714,2020-10-27,10.0
102900005116714,2020-10-28,10.0
102900005116714,2020-10-29,9.2
102900005116714,2020-10-30,9.2
102900005116714,2020-10-31,9.2
102900005116714,2020-11-01,9.6
102900005116714,2020-11-02,9.6
102900005116714,2020-11-03,9.2
102900005116714,2020-11-04,7.6
102900005116714,2020-11-05,7.6
102900005116714,2020-11-06,7.6
102900005116714,2020-11-07,7.6
102900005116714,2020-11-08,7.0
102900005116714,2020-11-09,7.0
102900005116714,2020-11-10,8.0
102900005116714,2020-11-11,6.0
102900005116714,2020-11-12,6.0
102900005116714,2020-11-13,6.0
102900005116714,2020-11-14,5.6
102900005116714,2020-11-15,5.6
