单品编码,日期,销售单价(元/千克)
102900005116257,2020-07-01,6.0
102900005116257,2020-07-02,7.0
102900005116257,2020-07-03,7.0
102900005116257,2020-07-04,7.0
102900005116257,2020-07-05,7.0
102900005116257,2020-07-06,8.0
102900005116257,2020-07-07,8.0
102900005116257,2020-07-08,8.0
102900005116257,2020-07-09,8.0
102900005116257,2020-07-10,8.0
102900005116257,2020-07-11,8.0
102900005116257,2020-07-12,8.0
102900005116257,2020-07-13,8.0
102900005116257,2020-07-14,8.0
102900005116257,2020-07-15,8.0
102900005116257,2020-07-16,8.0
102900005116257,2020-07-17,8.0
102900005116257,2020-07-18,8.0
102900005116257,2020-07-19,8.0
102900005116257,2020-07-20,8.0
102900005116257,2020-07-21,8.0
102900005116257,2020-07-22,8.0
102900005116257,2020-07-23,8.0
102900005116257,2020-07-24,8.0
102900005116257,2020-07-25,8.0
102900005116257,2020-07-26,9.0
102900005116257,2020-07-27,9.0
102900005116257,2020-07-28,9.0
102900005116257,2020-07-29,9.0
102900005116257,2020-07-30,9.0
102900005116257,2020-07-31,9.0
102900005116257,2020-08-01,8.0
102900005116257,2020-08-02,7.0
102900005116257,2020-08-03,7.0
102900005116257,2020-08-04,8.0
102900005116257,2020-08-05,8.0
102900005116257,2020-08-06,8.0
102900005116257,2020-08-07,4.0
102900005116257,2020-08-08,4.0
102900005116257,2020-08-09,4.0
102900005116257,2020-08-10,4.0
102900005116257,2020-08-11,4.0
102900005116257,2020-08-12,8.0
102900005116257,2020-08-13,8.0
102900005116257,2020-08-14,8.0
102900005116257,2020-08-15,8.0
102900005116257,2020-08-16,8.0
102900005116257,2020-08-17,8.0
102900005116257,2020-08-18,9.0
102900005116257,2020-08-19,9.0
102900005116257,2020-08-20,9.0
102900005116257,2020-08-21,10.0
102900005116257,2020-08-22,12.0
102900005116257,2020-08-23,12.0
102900005116257,2020-08-24,10.0
102900005116257,2020-08-25,10.0
102900005116257,2020-08-26,10.0
102900005116257,2020-08-27,13.0
102900005116257,2020-08-28,13.0
102900005116257,2020-08-29,13.0
102900005116257,2020-08-30,13.0
102900005116257,2020-08-31,12.0
102900005116257,2020-09-01,13.0
102900005116257,2020-09-02,13.0
102900005116257,2020-09-03,14.0
102900005116257,2020-09-04,12.0
102900005116257,2020-09-05,12.0
102900005116257,2020-09-06,12.0
102900005116257,2020-09-07,12.0
102900005116257,2020-09-08,12.0
102900005116257,2020-09-09,12.0
102900005116257,2020-09-10,12.0
102900005116257,2020-09-11,12.0
102900005116257,2020-09-12,12.0
102900005116257,2020-09-13,12.0
102900005116257,2020-09-14,10.0
102900005116257,2020-09-15,12.0
102900005116257,2020-09-16,10.0
102900005116257,2020-09-17,10.0
102900005116257,2020-09-18,10.0
102900005116257,2020-09-19,10.0
102900005116257,2020-09-20,8.0
102900005116257,2020-09-21,8.0
102900005116257,2020-09-22,8.0
102900005116257,2020-09-23,8.0
102900005116257,2020-09-24,8.0
102900005116257,2020-09-25,8.0
102900005116257,2020-09-26,8.0
102900005116257,2020-09-27,8.0
102900005116257,2020-09-28,7.0
102900005116257,2020-09-29,7.0
102900005116257,2020-09-30,7.0
102900005116257,2020-10-01,7.0
102900005116257,2020-10-02,6.0
102900005116257,2020-10-03,6.0
102900005116257,2020-10-04,6.0
102900005116257,2020-10-05,6.0
102900005116257,2020-10-06,6.0
102900005116257,2020-10-07,6.6
102900005116257,2020-10-08,7.0
102900005116257,2020-10-09,7.0
102900005116257,2020-10-10,7.0
102900005116257,2020-10-11,7.0
102900005116257,2020-10-12,8.0
102900005116257,2020-10-13,7.0
102900005116257,2020-10-14,7.0
102900005116257,2020-10-15,6.0
102900005116257,2020-10-16,6.0
102900005116257,2020-10-17,6.0
102900005116257,2020-10-18,6.0
102900005116257,2020-10-19,6.0
102900005116257,2020-10-20,6.0
102900005116257,2020-10-21,7.0
102900005116257,2020-10-22,7.0
102900005116257,2020-10-23,6.0
102900005116257,2020-10-24,6.0
102900005116257,2020-10-25,6.0
102900005116257,2020-10-26,6.0
102900005116257,2020-10-27,7.0
102900005116257,2020-10-28,7.0
102900005116257,2020-10-29,7.0
102900005116257,2020-10-30,6.0
102900005116257,2020-10-31,6.0
102900005116257,2020-11-01,6.6
102900005116257,2020-11-02,7.0
102900005116257,2020-11-03,7.0
102900005116257,2020-11-04,7.0
102900005116257,2020-11-05,7.0
102900005116257,2020-11-06,6.0
102900005116257,2020-11-07,6.0
102900005116257,2020-11-08,6.0
102900005116257,2020-11-09,6.0
102900005116257,2020-11-10,6.0
102900005116257,2020-11-11,6.0
102900005116257,2020-11-12,6.0
102900005116257,2020-11-13,6.0
102900005116257,2020-11-14,5.0
102900005116257,2020-11-15,5.0
102900005116257,2020-11-16,5.0
102900005116257,2020-11-17,5.0
102900005116257,2020-11-18,6.0
102900005116257,2020-11-19,7.0
102900005116257,2020-11-20,7.0
102900005116257,2020-11-21,7.0
102900005116257,2020-11-22,7.0
102900005116257,2020-11-23,6.0
102900005116257,2020-11-24,6.0
102900005116257,2020-11-25,6.0
102900005116257,2020-11-26,6.0
102900005116257,2020-11-27,6.0
102900005116257,2020-11-28,6.0
102900005116257,2020-11-29,6.0
102900005116257,2020-11-30,6.0
102900005116257,2020-12-01,7.0
102900005116257,2020-12-02,7.0
102900005116257,2020-12-03,7.0
102900005116257,2020-12-04,7.0
102900005116257,2020-12-05,7.0
102900005116257,2020-12-06,7.4
102900005116257,2020-12-07,8.0
102900005116257,2020-12-08,8.0
102900005116257,2020-12-09,8.0
102900005116257,2020-12-10,8.0
102900005116257,2020-12-11,8.0
102900005116257,2020-12-12,8.0
102900005116257,2020-12-13,8.0
102900005116257,2020-12-14,8.0
102900005116257,2020-12-15,8.0
102900005116257,2020-12-16,8.0
102900005116257,2020-12-17,8.0
102900005116257,2020-12-18,8.0
102900005116257,2020-12-19,8.0
102900005116257,2020-12-20,8.0
102900005116257,2020-12-21,8.0
102900005116257,2020-12-22,8.0
102900005116257,2020-12-23,8.0
102900005116257,2020-12-24,8.0
102900005116257,2020-12-25,8.0
102900005116257,2020-12-26,8.0
102900005116257,2020-12-27,9.0
102900005116257,2020-12-28,8.0
102900005116257,2020-12-29,8.0
102900005116257,2020-12-30,9.0
102900005116257,2020-12-31,9.0
102900005116257,2021-01-01,9.0
102900005116257,2021-01-02,9.0
102900005116257,2021-01-03,9.0
102900005116257,2021-01-04,9.0
102900005116257,2021-01-05,9.0
102900005116257,2021-01-06,10.0
102900005116257,2021-01-07,10.0
102900005116257,2021-01-08,10.0
102900005116257,2021-01-09,10.0
102900005116257,2021-01-10,10.0
102900005116257,2021-01-11,10.0
102900005116257,2021-01-12,10.0
102900005116257,2021-01-13,0.0
102900005116257,2021-01-14,9.0
102900005116257,2021-01-15,9.0
102900005116257,2021-01-16,9.0
102900005116257,2021-01-17,9.0
102900005116257,2021-01-18,10.0
102900005116257,2021-01-19,10.0
102900005116257,2021-01-20,10.0
102900005116257,2021-01-21,10.0
102900005116257,2021-01-22,9.0
102900005116257,2021-01-23,9.0
102900005116257,2021-01-24,9.0
102900005116257,2021-01-25,9.0
102900005116257,2021-01-26,9.0
102900005116257,2021-01-27,9.0
102900005116257,2021-01-28,10.0
102900005116257,2021-01-29,10.0
102900005116257,2021-01-30,10.0
102900005116257,2021-01-31,10.0
102900005116257,2021-02-01,12.0
102900005116257,2021-02-02,12.0
102900005116257,2021-02-03,12.0
102900005116257,2021-02-04,11.0
102900005116257,2021-02-05,11.0
102900005116257,2021-02-06,11.0
102900005116257,2021-02-07,11.0
102900005116257,2021-02-08,12.0
102900005116257,2021-02-09,12.0
102900005116257,2021-02-10,12.0
102900005116257,2021-02-11,0.0
102900005116257,2021-02-12,0.0
102900005116257,2021-02-13,12.0
102900005116257,2021-02-14,12.0
102900005116257,2021-02-15,12.0
102900005116257,2021-02-16,12.0
102900005116257,2021-02-17,12.0
102900005116257,2021-02-18,12.0
102900005116257,2021-02-19,10.0
102900005116257,2021-02-20,10.0
102900005116257,2021-02-21,9.0
102900005116257,2021-02-22,9.0
102900005116257,2021-02-23,9.0
102900005116257,2021-02-24,9.0
102900005116257,2021-02-25,8.0
102900005116257,2021-02-26,8.0
102900005116257,2021-02-27,8.0
102900005116257,2021-02-28,8.0
102900005116257,2021-03-01,8.0
102900005116257,2021-03-02,8.0
102900005116257,2021-03-03,8.0
102900005116257,2021-03-04,8.0
102900005116257,2021-03-05,8.0
102900005116257,2021-03-06,8.0
102900005116257,2021-03-07,9.0
102900005116257,2021-03-08,9.0
102900005116257,2021-03-09,9.0
102900005116257,2021-03-10,8.0
102900005116257,2021-03-11,9.0
102900005116257,2021-03-12,9.0
102900005116257,2021-03-13,9.0
102900005116257,2021-03-14,9.0
102900005116257,2021-03-15,8.0
102900005116257,2021-03-16,8.0
102900005116257,2021-03-17,8.0
102900005116257,2021-03-18,8.0
102900005116257,2021-03-19,8.0
102900005116257,2021-03-20,8.0
102900005116257,2021-03-21,8.0
102900005116257,2021-03-22,8.0
102900005116257,2021-03-23,8.0
102900005116257,2021-03-24,8.0
102900005116257,2021-03-25,8.0
102900005116257,2021-03-26,8.0
102900005116257,2021-03-27,8.0
102900005116257,2021-03-28,8.0
102900005116257,2021-03-29,8.0
102900005116257,2021-03-30,8.0
102900005116257,2021-03-31,8.0
102900005116257,2021-04-01,8.0
102900005116257,2021-04-02,8.0
102900005116257,2021-04-03,8.0
102900005116257,2021-04-04,8.0
102900005116257,2021-04-05,8.0
102900005116257,2021-04-06,8.0
102900005116257,2021-04-07,6.0
102900005116257,2021-04-08,6.0
102900005116257,2021-04-09,10.0
102900005116257,2021-04-10,10.0
102900005116257,2021-04-11,10.0
102900005116257,2021-04-12,8.0
102900005116257,2021-04-13,8.0
102900005116257,2021-04-14,8.0
102900005116257,2021-04-15,8.0
102900005116257,2021-04-16,8.0
102900005116257,2021-04-17,8.0
102900005116257,2021-04-18,8.0
102900005116257,2021-04-19,8.0
102900005116257,2021-04-20,7.0
102900005116257,2021-04-21,6.0
102900005116257,2021-04-22,6.0
102900005116257,2021-04-23,6.0
102900005116257,2021-04-24,6.0
102900005116257,2021-04-25,7.0
102900005116257,2021-04-26,7.0
102900005116257,2021-04-27,7.0
102900005116257,2021-04-28,6.0
102900005116257,2021-04-29,6.0
102900005116257,2021-04-30,8.0
102900005116257,2021-05-01,8.0
102900005116257,2021-05-02,6.0
102900005116257,2021-05-03,8.0
102900005116257,2021-05-04,8.0
102900005116257,2021-05-05,8.0
102900005116257,2021-05-06,9.0
102900005116257,2021-05-07,7.0
102900005116257,2021-05-08,8.0
102900005116257,2021-05-09,7.0
102900005116257,2021-05-10,7.0
102900005116257,2021-05-11,5.0
102900005116257,2021-05-12,5.0
102900005116257,2021-05-13,5.0
102900005116257,2021-05-14,5.0
102900005116257,2021-05-15,5.0
102900005116257,2021-05-16,5.0
102900005116257,2021-05-17,5.0
102900005116257,2021-05-18,5.0
102900005116257,2021-05-19,5.0
102900005116257,2021-05-20,5.0
102900005116257,2021-05-21,6.0
102900005116257,2021-05-22,7.0
102900005116257,2021-05-23,7.0
102900005116257,2021-05-24,7.0
102900005116257,2021-05-25,6.0
102900005116257,2021-05-26,6.0
102900005116257,2021-05-27,6.0
102900005116257,2021-05-28,6.0
102900005116257,2021-05-29,6.0
102900005116257,2021-05-30,6.0
102900005116257,2021-05-31,6.0
102900005116257,2021-06-01,6.0
102900005116257,2021-06-02,6.0
102900005116257,2021-06-03,6.0
102900005116257,2021-06-04,6.0
102900005116257,2021-06-05,6.0
102900005116257,2021-06-06,5.0
102900005116257,2021-06-07,5.0
102900005116257,2021-06-08,6.0
102900005116257,2021-06-09,6.0
102900005116257,2021-06-10,6.0
102900005116257,2021-06-11,6.0
102900005116257,2021-06-12,6.0
102900005116257,2021-06-13,6.0
102900005116257,2021-06-14,6.0
102900005116257,2021-06-15,6.0
102900005116257,2021-06-16,6.0
102900005116257,2021-06-17,6.0
102900005116257,2021-06-18,6.0
102900005116257,2021-06-19,6.0
102900005116257,2021-06-20,6.0
102900005116257,2021-06-21,6.0
102900005116257,2021-06-22,6.0
102900005116257,2021-06-23,6.0
102900005116257,2021-06-24,6.0
102900005116257,2021-06-25,7.0
102900005116257,2021-06-26,7.0
102900005116257,2021-06-27,7.0
102900005116257,2021-06-28,7.0
102900005116257,2021-06-29,7.0
102900005116257,2021-06-30,7.0
102900005116257,2021-07-01,7.0
102900005116257,2021-07-02,6.0
102900005116257,2021-07-03,6.0
102900005116257,2021-07-04,6.0
102900005116257,2021-07-05,6.0
102900005116257,2021-07-06,6.0
102900005116257,2021-07-07,4.0
102900005116257,2021-07-08,6.0
102900005116257,2021-07-09,6.0
102900005116257,2021-07-10,6.0
102900005116257,2021-07-11,6.0
102900005116257,2021-07-12,6.0
102900005116257,2021-07-13,6.0
102900005116257,2021-07-14,6.0
102900005116257,2021-07-15,6.0
102900005116257,2021-07-16,6.0
102900005116257,2021-07-17,7.0
102900005116257,2021-07-18,7.0
102900005116257,2021-07-19,8.0
102900005116257,2021-07-20,8.0
102900005116257,2021-07-21,9.0
102900005116257,2021-07-22,10.0
102900005116257,2021-07-23,10.0
102900005116257,2021-07-24,10.0
102900005116257,2021-07-25,10.0
102900005116257,2021-07-26,10.0
102900005116257,2021-07-27,10.0
102900005116257,2021-07-28,10.0
102900005116257,2021-07-29,10.0
102900005116257,2021-07-30,10.0
102900005116257,2021-07-31,10.0
102900005116257,2021-08-01,10.0
102900005116257,2021-08-02,10.0
102900005116257,2021-08-03,12.0
102900005116257,2021-08-04,14.0
102900005116257,2021-08-05,14.0
102900005116257,2021-08-06,14.0
102900005116257,2021-08-07,14.0
102900005116257,2021-08-08,14.0
102900005116257,2021-08-09,14.0
102900005116257,2021-08-10,12.0
102900005116257,2021-08-11,12.0
102900005116257,2021-08-12,12.0
102900005116257,2021-08-13,10.0
102900005116257,2021-08-14,10.0
102900005116257,2021-08-15,10.0
102900005116257,2021-08-16,8.0
102900005116257,2021-08-17,8.0
102900005116257,2021-08-18,8.0
102900005116257,2021-08-19,8.0
102900005116257,2021-08-20,10.0
102900005116257,2021-08-21,8.0
102900005116257,2021-08-22,8.0
102900005116257,2021-08-23,6.0
102900005116257,2021-08-24,6.0
102900005116257,2021-08-25,6.0
102900005116257,2021-08-26,7.0
102900005116257,2021-08-27,6.0
102900005116257,2021-08-28,6.0
102900005116257,2021-08-29,6.0
102900005116257,2021-08-30,7.0
102900005116257,2021-08-31,7.0
102900005116257,2021-09-01,8.0
102900005116257,2021-09-02,8.0
102900005116257,2021-09-03,8.0
102900005116257,2021-09-04,8.0
102900005116257,2021-09-05,8.0
102900005116257,2021-09-06,8.0
102900005116257,2021-09-07,8.0
102900005116257,2021-09-08,8.0
102900005116257,2021-09-09,8.0
102900005116257,2021-09-10,8.0
102900005116257,2021-09-11,8.0
102900005116257,2021-09-12,8.0
102900005116257,2021-09-13,7.0
102900005116257,2021-09-14,7.0
102900005116257,2021-09-15,7.0
102900005116257,2021-09-16,7.0
102900005116257,2021-09-17,7.0
102900005116257,2021-09-18,7.0
102900005116257,2021-09-19,7.0
102900005116257,2021-09-20,7.0
102900005116257,2021-09-21,7.0
102900005116257,2021-09-22,7.0
102900005116257,2021-09-23,7.0
102900005116257,2021-09-24,7.0
102900005116257,2021-09-25,7.0
102900005116257,2021-09-26,7.0
102900005116257,2021-09-27,8.0
102900005116257,2021-09-28,8.0
102900005116257,2021-09-29,8.0
102900005116257,2021-09-30,8.0
102900005116257,2021-10-01,8.0
102900005116257,2021-10-02,9.0
102900005116257,2021-10-03,9.0
102900005116257,2021-10-04,10.0
102900005116257,2021-10-05,6.0
102900005116257,2021-10-06,10.0
102900005116257,2021-10-07,10.0
102900005116257,2021-10-08,10.0
102900005116257,2021-10-09,10.0
102900005116257,2021-10-10,11.0
102900005116257,2021-10-11,10.0
102900005116257,2021-10-12,10.0
102900005116257,2021-10-13,10.0
102900005116257,2021-10-14,10.0
102900005116257,2021-10-15,12.0
102900005116257,2021-10-16,12.0
102900005116257,2021-10-17,12.0
102900005116257,2021-10-18,12.0
102900005116257,2021-10-19,10.0
102900005116257,2021-10-20,10.0
102900005116257,2021-10-21,12.0
102900005116257,2021-10-22,12.0
102900005116257,2021-10-23,12.0
102900005116257,2021-10-24,12.0
102900005116257,2021-10-25,12.0
102900005116257,2021-10-26,12.0
102900005116257,2021-10-27,12.0
102900005116257,2021-10-28,12.0
102900005116257,2021-10-29,10.0
102900005116257,2021-10-30,10.0
102900005116257,2021-10-31,10.0
102900005116257,2021-11-01,10.0
102900005116257,2021-11-02,10.0
102900005116257,2021-11-03,10.0
102900005116257,2021-11-04,10.0
102900005116257,2021-11-05,10.0
102900005116257,2021-11-06,10.0
102900005116257,2021-11-07,10.0
102900005116257,2021-11-08,12.0
102900005116257,2021-11-09,12.0
102900005116257,2021-11-10,12.0
102900005116257,2021-11-11,12.0
102900005116257,2021-11-12,12.0
102900005116257,2021-11-13,10.0
102900005116257,2021-11-14,10.0
102900005116257,2021-11-15,10.0
