单品编码,日期,销售单价(元/千克)
102900005125808,2020-07-01,25.8
102900005125808,2020-07-02,25.8
102900005125808,2020-07-03,25.8
102900005125808,2020-07-04,25.8
102900005125808,2020-07-05,25.8
102900005125808,2020-07-06,25.8
102900005125808,2020-07-07,25.8
102900005125808,2020-07-08,25.8
102900005125808,2020-07-09,25.8
102900005125808,2020-07-10,25.8
102900005125808,2020-07-11,25.8
102900005125808,2020-07-12,25.8
102900005125808,2020-07-13,25.8
102900005125808,2020-07-14,25.8
102900005125808,2020-07-15,25.8
102900005125808,2020-07-16,25.8
102900005125808,2020-07-17,25.8
102900005125808,2020-07-18,25.8
102900005125808,2020-07-19,25.8
102900005125808,2020-07-20,19.8
102900005125808,2020-07-21,19.8
102900005125808,2020-07-22,19.8
102900005125808,2020-07-23,19.8
102900005125808,2020-07-24,19.8
102900005125808,2020-07-25,19.8
102900005125808,2020-07-26,21.8
102900005125808,2020-07-27,21.8
102900005125808,2020-07-28,19.8
102900005125808,2020-07-29,16.0
102900005125808,2020-07-30,14.0
102900005125808,2020-07-31,14.0
102900005125808,2020-08-01,14.0
102900005125808,2020-08-02,14.0
102900005125808,2020-08-03,14.0
102900005125808,2020-08-04,14.0
102900005125808,2020-08-05,14.0
102900005125808,2020-08-06,16.0
102900005125808,2020-08-07,16.0
102900005125808,2020-08-08,16.0
102900005125808,2020-08-09,12.0
102900005125808,2020-08-10,12.0
102900005125808,2020-08-11,12.0
102900005125808,2020-08-12,10.0
102900005125808,2020-08-13,10.0
102900005125808,2020-08-14,10.0
102900005125808,2020-08-15,10.0
102900005125808,2020-08-16,10.0
102900005125808,2020-08-17,10.0
102900005125808,2020-08-18,10.0
102900005125808,2020-08-19,8.0
102900005125808,2020-08-20,8.0
102900005125808,2020-08-21,8.0
102900005125808,2020-08-22,10.0
102900005125808,2020-08-23,10.0
102900005125808,2020-08-24,10.0
102900005125808,2020-08-25,10.0
102900005125808,2020-08-26,10.0
102900005125808,2020-08-27,10.0
102900005125808,2020-08-28,10.0
102900005125808,2020-08-29,10.0
102900005125808,2020-08-30,10.0
102900005125808,2020-08-31,8.0
102900005125808,2020-09-01,8.0
102900005125808,2020-09-02,8.0
102900005125808,2020-09-03,10.0
102900005125808,2020-09-04,10.0
102900005125808,2020-09-05,12.0
102900005125808,2020-09-06,12.0
