单品编码,日期,销售单价(元/千克)
102900005116530,2020-07-01,18.0
102900005116530,2020-07-02,19.8
102900005116530,2020-07-03,19.8
102900005116530,2020-07-04,19.8
102900005116530,2020-07-05,19.8
102900005116530,2020-07-06,19.8
102900005116530,2020-07-07,19.8
102900005116530,2020-07-08,19.8
102900005116530,2020-07-09,19.8
102900005116530,2020-07-10,19.8
102900005116530,2020-07-11,19.8
102900005116530,2020-07-12,19.8
102900005116530,2020-07-13,19.8
102900005116530,2020-07-14,19.8
102900005116530,2020-07-15,19.8
102900005116530,2020-07-16,19.8
102900005116530,2020-07-17,19.8
102900005116530,2020-07-18,19.8
102900005116530,2020-07-19,19.8
102900005116530,2020-07-20,19.8
102900005116530,2020-07-21,19.8
102900005116530,2020-07-22,19.8
102900005116530,2020-07-23,19.8
102900005116530,2020-07-24,19.8
102900005116530,2020-07-25,19.8
102900005116530,2020-07-26,19.8
102900005116530,2020-07-27,19.8
102900005116530,2020-07-28,19.8
102900005116530,2020-07-29,19.8
102900005116530,2020-07-30,19.8
102900005116530,2020-07-31,19.8
102900005116530,2020-08-01,19.8
102900005116530,2020-08-02,19.8
102900005116530,2020-08-03,19.8
102900005116530,2020-08-04,19.8
102900005116530,2020-08-05,19.8
102900005116530,2020-08-06,19.8
102900005116530,2020-08-07,19.8
102900005116530,2020-08-08,18.0
102900005116530,2020-08-09,18.0
102900005116530,2020-08-10,19.8
102900005116530,2020-08-11,19.8
102900005116530,2020-08-12,19.8
102900005116530,2020-08-13,19.8
102900005116530,2020-08-14,19.8
102900005116530,2020-08-15,19.8
102900005116530,2020-08-16,19.8
102900005116530,2020-08-17,19.8
102900005116530,2020-08-18,19.8
102900005116530,2020-08-19,19.8
102900005116530,2020-08-20,19.8
102900005116530,2020-08-21,19.8
102900005116530,2020-08-22,19.8
102900005116530,2020-08-23,19.8
102900005116530,2020-08-24,19.8
102900005116530,2020-08-25,19.8
102900005116530,2020-08-26,23.8
102900005116530,2020-08-27,23.8
102900005116530,2020-08-28,23.8
102900005116530,2020-08-29,23.8
102900005116530,2020-08-30,21.8
102900005116530,2020-08-31,21.8
102900005116530,2020-09-01,21.8
102900005116530,2020-09-02,19.8
102900005116530,2020-09-03,19.8
102900005116530,2020-09-04,19.8
102900005116530,2020-09-05,19.8
102900005116530,2020-09-06,19.8
102900005116530,2020-09-07,19.8
102900005116530,2020-09-08,19.8
102900005116530,2020-09-09,19.8
102900005116530,2020-09-10,19.8
102900005116530,2020-09-11,19.8
102900005116530,2020-09-12,19.8
102900005116530,2020-09-13,19.8
102900005116530,2020-09-14,19.8
102900005116530,2020-09-15,19.8
102900005116530,2020-09-16,19.8
102900005116530,2020-09-17,19.8
102900005116530,2020-09-18,19.8
102900005116530,2020-09-19,19.8
102900005116530,2020-09-20,21.8
102900005116530,2020-09-21,21.8
102900005116530,2020-09-22,21.8
102900005116530,2020-09-23,21.8
102900005116530,2020-09-24,21.8
102900005116530,2020-09-25,21.8
102900005116530,2020-09-26,21.8
102900005116530,2020-09-27,19.8
102900005116530,2020-09-28,19.8
102900005116530,2020-09-29,21.8
102900005116530,2020-09-30,21.8
102900005116530,2020-10-01,21.8
102900005116530,2020-10-02,21.8
102900005116530,2020-10-03,21.8
102900005116530,2020-10-04,21.8
102900005116530,2020-10-05,21.8
102900005116530,2020-10-06,21.8
102900005116530,2020-10-07,21.8
102900005116530,2020-10-08,19.8
102900005116530,2020-10-09,19.8
102900005116530,2020-10-10,19.8
102900005116530,2020-10-11,19.8
102900005116530,2020-10-12,19.8
102900005116530,2020-10-13,19.8
102900005116530,2020-10-14,19.8
102900005116530,2020-10-15,19.8
102900005116530,2020-10-16,17.6
102900005116530,2020-10-17,17.6
102900005116530,2020-10-18,17.6
102900005116530,2020-10-19,19.8
102900005116530,2020-10-20,19.8
