,日期,销售单价(元/千克)
0,2020-07-01,23.0
1,2020-07-02,23.0
2,2020-07-03,22.0
3,2020-07-04,22.0
4,2020-07-05,22.0
5,2020-07-06,22.984615384615385
6,2020-07-07,23.0
7,2020-07-08,23.0
8,2020-07-09,23.0
9,2020-07-10,21.813002826701457
10,2020-07-11,20.694402985074625
11,2020-07-12,20.743585434173667
12,2020-07-13,19.882556390977445
13,2020-07-14,19.825922565033274
14,2020-07-15,19.82864864864865
15,2020-07-16,19.628225806451614
16,2020-07-17,19.523882063882063
17,2020-07-18,19.526923076923076
18,2020-07-19,19.815238095238094
19,2020-07-20,19.35087719298246
20,2020-07-21,19.54035087719298
21,2020-07-22,19.69608695652174
22,2020-07-23,21.877368421052633
23,2020-07-24,21.525
24,2020-07-25,21.58550724637681
25,2020-07-26,21.571153846153848
26,2020-07-27,21.58846153846154
27,2020-07-28,21.750801282051285
28,2020-07-29,21.815030820293977
29,2020-07-30,21.717995169082126
30,2020-07-31,21.90888888888889
31,2020-08-01,21.769843924191754
32,2020-08-02,22.0
33,2020-08-03,22.0
34,2020-08-04,22.0
35,2020-08-05,22.0
36,2020-08-06,22.0
37,2020-08-07,22.0
38,2020-08-08,22.0
39,2020-08-09,22.0
40,2020-08-10,22.544117647058826
41,2020-08-11,23.0
42,2020-08-12,23.0
43,2020-08-13,21.0
44,2020-08-14,21.0
45,2020-08-15,21.0
46,2020-08-16,20.787951807228914
47,2020-08-17,21.0
48,2020-08-18,20.0
49,2020-08-19,18.0
50,2020-08-20,18.0
51,2020-08-21,20.0
52,2020-08-22,20.0
53,2020-08-23,21.0
54,2020-08-24,21.0
55,2020-08-25,22.0
56,2020-08-26,20.275590551181104
57,2020-08-27,18.781456953642383
58,2020-08-28,20.0
59,2020-08-29,20.0
60,2020-08-30,20.0
61,2020-08-31,20.0
62,2020-09-01,20.0
63,2020-09-02,20.0
64,2020-09-03,20.0
65,2020-09-04,20.0
66,2020-09-05,20.0
67,2020-09-06,22.0
68,2020-09-07,22.0
69,2020-09-08,22.0
70,2020-09-09,22.0
71,2020-09-10,21.810344827586206
72,2020-09-11,19.953488372093023
73,2020-09-12,20.0
74,2020-09-13,19.0
75,2020-09-14,20.0
76,2020-09-15,20.0
77,2020-09-16,19.74074074074074
78,2020-09-17,20.0
79,2020-09-18,20.0
