,日期,销售单价(元/千克)
0,2020-07-01,49.8
1,2020-07-02,47.6
2,2020-07-03,10.0
3,2020-07-04,47.6
4,2020-07-05,10.0
5,2020-07-06,10.0
6,2020-07-07,10.0
7,2020-07-08,26.0
8,2020-07-09,10.0
9,2020-07-10,26.0
10,2020-07-11,26.0
11,2020-07-12,55.8
12,2020-07-13,26.0
13,2020-07-14,26.0
14,2020-07-15,26.0
15,2020-07-16,26.0
16,2020-07-17,26.0
17,2020-07-18,26.0
18,2020-07-19,26.0
19,2020-07-20,26.0
20,2020-07-21,51.8
21,2020-07-22,57.8
22,2020-07-23,30.9
23,2020-07-24,59.8
24,2020-07-25,28.0
25,2020-07-26,59.8
26,2020-07-27,57.8
27,2020-07-28,24.0
28,2020-07-29,26.0
29,2020-07-30,26.0
30,2020-07-31,25.0
31,2020-08-01,25.0
32,2020-08-02,56.8
33,2020-08-03,56.8
34,2020-08-04,56.8
35,2020-08-05,54.8
36,2020-08-06,54.8
37,2020-08-07,64.8
38,2020-08-08,64.8
39,2020-08-09,53.8
40,2020-08-10,67.8
41,2020-08-11,67.8
42,2020-08-12,67.8
43,2020-08-13,53.8
44,2020-08-14,56.7
45,2020-08-15,52.6
46,2020-08-16,54.6
47,2020-08-17,54.6
48,2020-08-18,52.6
49,2020-08-19,52.6
50,2020-08-20,50.6
51,2020-08-21,52.5
52,2020-08-22,40.5
53,2020-08-23,52.5
54,2020-08-24,50.6
55,2020-08-25,50.6
56,2020-08-26,50.6
57,2020-08-27,71.8
58,2020-08-28,71.8
59,2020-08-29,41.8
60,2020-08-30,53.8
61,2020-08-31,53.8
62,2020-09-01,53.8
63,2020-09-02,53.8
64,2020-09-03,20.0
65,2020-09-04,20.0
66,2020-09-05,19.6
67,2020-09-06,19.6
68,2020-09-07,19.6
69,2020-09-08,8.0
70,2020-09-09,22.0
71,2020-09-10,22.0
72,2020-09-11,22.0
73,2020-09-12,8.0
74,2020-09-13,32.0
75,2020-09-14,22.0
76,2020-09-15,22.0
77,2020-09-16,21.0
78,2020-09-17,7.0
79,2020-09-18,21.0
80,2020-09-19,22.0
81,2020-09-20,22.0
82,2020-09-21,8.0
83,2020-09-22,22.0
84,2020-09-23,22.0
85,2020-09-24,22.0
86,2020-09-25,22.0
87,2020-09-26,22.0
88,2020-09-27,22.0
89,2020-09-28,22.0
90,2020-09-29,22.0
91,2020-09-30,22.0
92,2020-10-01,20.0
93,2020-10-02,20.0
94,2020-10-03,22.0
95,2020-10-04,20.0
96,2020-10-05,20.0
97,2020-10-06,20.0
98,2020-10-07,20.0
99,2020-10-08,20.0
100,2020-10-09,20.0
101,2020-10-10,20.0
102,2020-10-11,20.0
103,2020-10-12,20.0
104,2020-10-13,20.0
105,2020-10-14,8.0
106,2020-10-15,8.0
107,2020-10-16,8.0
108,2020-10-17,8.0
109,2020-10-18,8.0
110,2020-10-19,8.0
111,2020-10-20,8.0
112,2020-10-21,8.0
113,2020-10-22,8.0
114,2020-10-23,20.0
115,2020-10-24,8.0
116,2020-10-25,8.0
117,2020-10-26,8.0
118,2020-10-27,8.0
119,2020-10-28,8.0
120,2020-10-29,8.0
121,2020-10-30,8.0
122,2020-10-31,8.0
123,2020-11-01,8.0
124,2020-11-02,8.0
125,2020-11-03,8.0
126,2020-11-04,8.0
127,2020-11-05,8.0
128,2020-11-06,8.0
129,2020-11-07,8.0
130,2020-11-08,8.0
131,2020-11-09,8.0
132,2020-11-10,8.0
133,2020-11-11,24.0
134,2020-11-12,24.0
135,2020-11-13,24.0
136,2020-11-14,7.0
137,2020-11-15,7.0
138,2020-11-16,8.0
139,2020-11-17,8.0
140,2020-11-18,8.0
141,2020-11-19,20.0
142,2020-11-20,20.0
143,2020-11-21,22.0
144,2020-11-22,8.0
145,2020-11-23,8.0
146,2020-11-24,8.0
147,2020-11-25,8.0
148,2020-11-26,8.0
149,2020-11-27,8.0
150,2020-11-28,8.0
151,2020-11-29,8.0
152,2020-11-30,8.0
153,2020-12-01,8.0
154,2020-12-02,16.0
155,2020-12-03,16.0
156,2020-12-04,14.0
157,2020-12-05,13.0
158,2020-12-06,13.0
159,2020-12-07,13.0
160,2020-12-08,27.0
161,2020-12-09,30.0
162,2020-12-10,27.0
163,2020-12-11,28.0
164,2020-12-12,30.0
165,2020-12-13,30.0
166,2020-12-14,16.0
167,2020-12-15,42.0
168,2020-12-16,30.0
169,2020-12-17,16.0
170,2020-12-18,25.9
171,2020-12-19,26.9
172,2020-12-20,26.9
173,2020-12-21,24.9
174,2020-12-22,15.0
175,2020-12-23,15.0
176,2020-12-24,15.0
177,2020-12-25,24.9
178,2020-12-26,36.9
179,2020-12-27,24.9
180,2020-12-28,24.9
181,2020-12-29,37.9
182,2020-12-30,37.9
183,2020-12-31,36.9
184,2021-01-01,22.9
185,2021-01-02,22.9
186,2021-01-03,22.9
187,2021-01-04,38.9
188,2021-01-05,39.9
189,2021-01-06,39.9
190,2021-01-07,26.9
191,2021-01-08,24.9
192,2021-01-09,24.9
193,2021-01-10,25.9
194,2021-01-11,25.9
195,2021-01-12,27.9
196,2021-01-13,27.9
197,2021-01-14,26.9
198,2021-01-15,26.9
199,2021-01-16,26.9
200,2021-01-17,27.9
201,2021-01-18,27.9
202,2021-01-19,27.9
203,2021-01-20,27.9
