,日期,销售单价(元/千克)
0,2020-07-01,138.1
1,2020-07-02,134.1
2,2020-07-03,134.5
3,2020-07-04,106.5
4,2020-07-05,95.9
5,2020-07-06,116.9
6,2020-07-07,129.9
7,2020-07-08,136.9
8,2020-07-09,127.9
9,2020-07-10,131.1
10,2020-07-11,126.9
11,2020-07-12,126.9
12,2020-07-13,102.9
13,2020-07-14,102.9
14,2020-07-15,85.9
15,2020-07-16,103.9
16,2020-07-17,108.9
17,2020-07-18,99.9
18,2020-07-19,92.9
19,2020-07-20,92.9
20,2020-07-21,97.9
21,2020-07-22,98.9
22,2020-07-23,102.5
23,2020-07-24,91.9
24,2020-07-25,102.5
25,2020-07-26,103.9
26,2020-07-27,98.9
27,2020-07-28,105.5
28,2020-07-29,98.5
29,2020-07-30,91.5
30,2020-07-31,107.5
31,2020-08-01,117.5
32,2020-08-02,162.3
33,2020-08-03,156.3
34,2020-08-04,153.5
35,2020-08-05,170.9
36,2020-08-06,151.9
37,2020-08-07,159.9
38,2020-08-08,150.3
39,2020-08-09,148.3
40,2020-08-10,133.3
41,2020-08-11,125.3
42,2020-08-12,122.3
43,2020-08-13,111.7
44,2020-08-14,123.9
45,2020-08-15,116.5
46,2020-08-16,96.1
47,2020-08-17,94.1
48,2020-08-18,92.5
49,2020-08-19,96.5
50,2020-08-20,96.9
51,2020-08-21,96.9
52,2020-08-22,102.9
53,2020-08-23,97.9
54,2020-08-24,111.9
55,2020-08-25,105.5
56,2020-08-26,108.9
57,2020-08-27,110.9
58,2020-08-28,103.9
59,2020-08-29,104.9
60,2020-08-30,96.7
61,2020-08-31,112.7
62,2020-09-01,96.7
63,2020-09-02,108.7
64,2020-09-03,102.5
65,2020-09-04,107.5
66,2020-09-05,115.1
67,2020-09-06,118.9
68,2020-09-07,118.9
69,2020-09-08,122.9
70,2020-09-09,118.3
71,2020-09-10,101.4
72,2020-09-11,103.9
73,2020-09-12,113.7
74,2020-09-13,99.1
75,2020-09-14,122.1
76,2020-09-15,113.1
77,2020-09-16,125.5
78,2020-09-17,135.7
79,2020-09-18,122.1
80,2020-09-19,106.1
81,2020-09-20,122.1
82,2020-09-21,104.5
83,2020-09-22,121.5
84,2020-09-23,111.9
85,2020-09-24,132.5
86,2020-09-25,168.1
87,2020-09-26,144.1
88,2020-09-27,154.1
89,2020-09-28,132.5
90,2020-09-29,137.1
91,2020-09-30,134.5
92,2020-10-01,129.5
93,2020-10-02,130.1
94,2020-10-03,119.0
95,2020-10-04,100.8
96,2020-10-05,117.8
97,2020-10-06,132.8
98,2020-10-07,126.8
99,2020-10-08,126.8
100,2020-10-09,115.8
101,2020-10-10,131.8
102,2020-10-11,124.8
103,2020-10-12,111.8
104,2020-10-13,119.4
105,2020-10-14,102.8
106,2020-10-15,109.8
107,2020-10-16,116.8
108,2020-10-17,142.8
109,2020-10-18,142.8
110,2020-10-19,135.8
111,2020-10-20,137.9
112,2020-10-21,123.5
113,2020-10-22,136.5
114,2020-10-23,127.9
115,2020-10-24,120.9
116,2020-10-25,134.1
117,2020-10-26,144.9
118,2020-10-27,140.9
119,2020-10-28,136.1
120,2020-10-29,134.1
121,2020-10-30,138.1
122,2020-10-31,115.5
123,2020-11-01,123.1
124,2020-11-02,105.5
125,2020-11-03,107.5
126,2020-11-04,94.5
127,2020-11-05,104.5
128,2020-11-06,104.5
129,2020-11-07,99.1
130,2020-11-08,108.3
131,2020-11-09,115.1
132,2020-11-10,105.5
133,2020-11-11,161.29999999999998
134,2020-11-12,150.29999999999998
135,2020-11-13,98.1
136,2020-11-14,160.29999999999998
