,日期,销售单价(元/千克)
0,2020-07-01,23.0
1,2020-07-02,23.0
2,2020-07-03,22.0
3,2020-07-04,22.0
4,2020-07-05,22.0
5,2020-07-06,23.0
6,2020-07-07,23.0
7,2020-07-08,23.0
8,2020-07-09,23.0
9,2020-07-10,22.0
10,2020-07-11,21.0
11,2020-07-12,21.0
12,2020-07-13,20.0
13,2020-07-14,20.0
14,2020-07-15,20.0
15,2020-07-16,20.0
16,2020-07-17,20.0
17,2020-07-18,20.0
18,2020-07-19,20.0
19,2020-07-20,20.0
20,2020-07-21,20.0
21,2020-07-22,20.0
22,2020-07-23,22.0
23,2020-07-24,22.0
24,2020-07-25,22.0
25,2020-07-26,22.0
26,2020-07-27,22.0
27,2020-07-28,22.0
28,2020-07-29,22.0
29,2020-07-30,22.0
30,2020-07-31,22.0
31,2020-08-01,22.0
32,2020-08-02,22.0
33,2020-08-03,22.0
34,2020-08-04,22.0
35,2020-08-05,22.0
36,2020-08-06,22.0
37,2020-08-07,22.0
38,2020-08-08,22.0
39,2020-08-09,22.0
40,2020-08-10,23.0
41,2020-08-11,23.0
42,2020-08-12,23.0
43,2020-08-13,21.0
44,2020-08-14,21.0
45,2020-08-15,21.0
46,2020-08-16,21.0
47,2020-08-17,21.0
48,2020-08-18,20.0
49,2020-08-19,18.0
50,2020-08-20,18.0
51,2020-08-21,20.0
52,2020-08-22,20.0
53,2020-08-23,21.0
54,2020-08-24,21.0
55,2020-08-25,22.0
56,2020-08-26,21.0
57,2020-08-27,20.0
58,2020-08-28,20.0
59,2020-08-29,20.0
60,2020-08-30,20.0
61,2020-08-31,20.0
62,2020-09-01,20.0
63,2020-09-02,20.0
64,2020-09-03,20.0
65,2020-09-04,20.0
66,2020-09-05,20.0
67,2020-09-06,22.0
68,2020-09-07,22.0
69,2020-09-08,22.0
70,2020-09-09,22.0
71,2020-09-10,22.0
72,2020-09-11,20.0
73,2020-09-12,20.0
74,2020-09-13,19.0
75,2020-09-14,20.0
76,2020-09-15,20.0
77,2020-09-16,20.0
78,2020-09-17,20.0
79,2020-09-18,20.0
80,2020-09-19,18.0
81,2020-09-20,19.0
82,2020-09-21,19.0
83,2020-09-22,20.0
84,2020-09-23,22.0
85,2020-09-24,24.0
86,2020-09-25,24.0
87,2020-09-26,24.0
88,2020-09-27,24.0
89,2020-09-28,24.0
