,日期,销售单价(元/千克)
0,2020-07-01,125.4
1,2020-07-02,129.4
2,2020-07-03,131.4
3,2020-07-04,133.4
4,2020-07-05,135.4
5,2020-07-06,137.4
6,2020-07-07,137.8
7,2020-07-08,137.8
8,2020-07-09,137.8
9,2020-07-10,109.8
10,2020-07-11,131.8
11,2020-07-12,139.8
12,2020-07-13,138.6
13,2020-07-14,138.6
14,2020-07-15,146.4
15,2020-07-16,138.9
16,2020-07-17,144.4
17,2020-07-18,145.6
18,2020-07-19,144.6
19,2020-07-20,127.6
20,2020-07-21,135.6
21,2020-07-22,128.6
22,2020-07-23,142.2
23,2020-07-24,120.2
24,2020-07-25,141.6
25,2020-07-26,128.6
26,2020-07-27,154.4
27,2020-07-28,147.8
28,2020-07-29,143.4
29,2020-07-30,142.2
30,2020-07-31,150.0
31,2020-08-01,162.0
32,2020-08-02,159.0
33,2020-08-03,160.0
34,2020-08-04,108.4
35,2020-08-05,104.6
36,2020-08-06,158.6
37,2020-08-07,138.6
38,2020-08-08,112.6
39,2020-08-09,123.8
40,2020-08-10,107.8
41,2020-08-11,125.8
42,2020-08-12,123.8
43,2020-08-13,115.8
44,2020-08-14,123.8
45,2020-08-15,123.8
46,2020-08-16,115.8
47,2020-08-17,101.8
48,2020-08-18,109.8
49,2020-08-19,84.0
50,2020-08-20,97.0
51,2020-08-21,93.6
52,2020-08-22,86.0
53,2020-08-23,80.0
54,2020-08-24,89.6
55,2020-08-25,82.6
56,2020-08-26,90.6
57,2020-08-27,90.6
58,2020-08-28,81.0
59,2020-08-29,89.0
60,2020-08-30,91.0
61,2020-08-31,76.2
62,2020-09-01,90.2
63,2020-09-02,91.2
64,2020-09-03,79.2
65,2020-09-04,97.2
66,2020-09-05,95.6
67,2020-09-06,95.6
68,2020-09-07,109.6
69,2020-09-08,118.8
70,2020-09-09,103.0
71,2020-09-10,113.0
72,2020-09-11,107.4
73,2020-09-12,132.4
74,2020-09-13,138.4
75,2020-09-14,116.4
76,2020-09-15,90.6
77,2020-09-16,129.8
78,2020-09-17,113.0
79,2020-09-18,130.8
80,2020-09-19,111.0
81,2020-09-20,135.8
82,2020-09-21,125.8
83,2020-09-22,139.8
84,2020-09-23,132.8
85,2020-09-24,146.8
86,2020-09-25,146.8
87,2020-09-26,131.8
88,2020-09-27,149.8
89,2020-09-28,142.8
90,2020-09-29,121.0
91,2020-09-30,139.8
92,2020-10-01,138.8
93,2020-10-02,140.8
94,2020-10-03,127.0
95,2020-10-04,130.8
96,2020-10-05,133.8
97,2020-10-06,137.8
98,2020-10-07,139.8
99,2020-10-08,143.4
100,2020-10-09,138.4
101,2020-10-10,136.6
102,2020-10-11,132.8
103,2020-10-12,131.8
104,2020-10-13,110.8
105,2020-10-14,129.6
106,2020-10-15,111.8
107,2020-10-16,138.6
108,2020-10-17,111.8
109,2020-10-18,127.8
110,2020-10-19,155.4
111,2020-10-20,129.6
112,2020-10-21,138.2
113,2020-10-22,142.2
114,2020-10-23,175.0
115,2020-10-24,151.0
116,2020-10-25,177.2
117,2020-10-26,183.2
118,2020-10-27,151.6
119,2020-10-28,127.6
120,2020-10-29,191.2
121,2020-10-30,201.2
122,2020-10-31,185.2
123,2020-11-01,188.2
124,2020-11-02,152.4
125,2020-11-03,163.4
126,2020-11-04,137.4
127,2020-11-05,194.0
128,2020-11-06,194.0
129,2020-11-07,178.2
130,2020-11-08,175.2
131,2020-11-09,175.2
132,2020-11-10,175.2
133,2020-11-11,173.2
134,2020-11-12,171.2
135,2020-11-13,163.2
136,2020-11-14,171.8
137,2020-11-15,171.8
138,2020-11-16,172.8
139,2020-11-17,143.0
140,2020-11-18,164.8
141,2020-11-19,174.8
142,2020-11-20,173.2
143,2020-11-21,153.4
144,2020-11-22,173.2
145,2020-11-23,163.2
146,2020-11-24,163.8
147,2020-11-25,161.8
148,2020-11-26,163.8
149,2020-11-27,151.4
150,2020-11-28,163.6
151,2020-11-29,148.2
152,2020-11-30,168.2
153,2020-12-01,136.4
154,2020-12-02,172.6
155,2020-12-03,148.6
156,2020-12-04,173.2
157,2020-12-05,183.2
158,2020-12-06,196.6
159,2020-12-07,201.6
160,2020-12-08,213.6
161,2020-12-09,213.6
162,2020-12-10,197.6
163,2020-12-11,217.6
164,2020-12-12,201.6
165,2020-12-13,207.6
166,2020-12-14,161.6
167,2020-12-15,227.6
168,2020-12-16,217.6
169,2020-12-17,213.6
170,2020-12-18,241.6
171,2020-12-19,241.6
172,2020-12-20,237.6
173,2020-12-21,225.6
174,2020-12-22,239.6
175,2020-12-23,239.6
176,2020-12-24,246.6
177,2020-12-25,249.4
178,2020-12-26,229.2
179,2020-12-27,247.2
180,2020-12-28,254.2
181,2020-12-29,174.4
182,2020-12-30,252.0
183,2020-12-31,255.0
184,2021-01-01,273.0
185,2021-01-02,252.8
186,2021-01-03,248.8
187,2021-01-04,191.0
188,2021-01-05,276.8
189,2021-01-06,278.8
190,2021-01-07,274.8
191,2021-01-08,270.8
192,2021-01-09,254.8
193,2021-01-10,267.0
194,2021-01-11,257.0
195,2021-01-12,237.79999999999998
196,2021-01-13,269.8
197,2021-01-14,259.8
198,2021-01-15,252.79999999999998
199,2021-01-16,257.0
200,2021-01-17,250.8
201,2021-01-18,243.0
202,2021-01-19,242.8
203,2021-01-20,242.8
204,2021-01-21,262.8
205,2021-01-22,230.7
206,2021-01-23,230.7
207,2021-01-24,224.89999999999998
208,2021-01-25,224.9
209,2021-01-26,226.7
210,2021-01-27,224.7
211,2021-01-28,224.89999999999998
212,2021-01-29,220.9
213,2021-01-30,286.3
214,2021-01-31,242.7
215,2021-02-01,240.7
216,2021-02-02,240.7
217,2021-02-03,256.5
218,2021-02-04,240.7
219,2021-02-05,217.7
220,2021-02-06,213.9
221,2021-02-07,218.7
222,2021-02-08,196.9
223,2021-02-09,240.7
224,2021-02-10,351.9
225,2021-02-11,0.0
226,2021-02-12,0.0
227,2021-02-13,314.2
228,2021-02-14,338.0
229,2021-02-15,238.9
230,2021-02-16,228.9
231,2021-02-17,268.7
