,日期,销售单价(元/千克)
0,2020-07-01,64.0
1,2020-07-02,65.8
2,2020-07-03,66.8
3,2020-07-04,66.8
4,2020-07-05,54.3
5,2020-07-06,71.3
6,2020-07-07,84.9
7,2020-07-08,68.4
8,2020-07-09,68.4
9,2020-07-10,73.3
10,2020-07-11,69.8
11,2020-07-12,73.3
12,2020-07-13,69.8
13,2020-07-14,80.8
14,2020-07-15,81.0
15,2020-07-16,81.2
16,2020-07-17,82.2
17,2020-07-18,82.2
18,2020-07-19,82.2
19,2020-07-20,82.2
20,2020-07-21,82.2
21,2020-07-22,80.2
22,2020-07-23,80.2
23,2020-07-24,80.80000000000001
24,2020-07-25,80.8
25,2020-07-26,80.8
26,2020-07-27,86.8
27,2020-07-28,87.1
28,2020-07-29,81.2
29,2020-07-30,81.2
30,2020-07-31,81.2
31,2020-08-01,81.2
32,2020-08-02,87.1
33,2020-08-03,87.1
34,2020-08-04,83.60000000000001
35,2020-08-05,81.2
36,2020-08-06,87.10000000000001
37,2020-08-07,104.4
38,2020-08-08,116.6
39,2020-08-09,94.7
40,2020-08-10,71.8
41,2020-08-11,71.8
42,2020-08-12,76.7
43,2020-08-13,71.8
44,2020-08-14,103.6
45,2020-08-15,103.6
46,2020-08-16,100.1
47,2020-08-17,100.1
48,2020-08-18,82.1
49,2020-08-19,108.0
50,2020-08-20,111.5
51,2020-08-21,94.0
52,2020-08-22,106.5
53,2020-08-23,92.5
54,2020-08-24,96.0
55,2020-08-25,96.0
56,2020-08-26,108.10000000000001
57,2020-08-27,101.4
58,2020-08-28,119.9
59,2020-08-29,119.9
60,2020-08-30,117.3
61,2020-08-31,124.3
62,2020-09-01,101.4
63,2020-09-02,112.4
64,2020-09-03,106.5
65,2020-09-04,113.4
66,2020-09-05,117.3
67,2020-09-06,119.3
68,2020-09-07,113.4
69,2020-09-08,84.6
70,2020-09-09,105.5
71,2020-09-10,109.4
72,2020-09-11,111.3
73,2020-09-12,117.30000000000001
74,2020-09-13,101.3
75,2020-09-14,94.7
76,2020-09-15,114.5
77,2020-09-16,111.6
78,2020-09-17,100.5
79,2020-09-18,172.8
80,2020-09-19,99.5
81,2020-09-20,108.5
82,2020-09-21,112.4
83,2020-09-22,264.3
84,2020-09-23,182.0
85,2020-09-24,247.1
86,2020-09-25,268.7
87,2020-09-26,268.7
88,2020-09-27,218.5
89,2020-09-28,183.8
90,2020-09-29,156.0
91,2020-09-30,165.1
92,2020-10-01,129.3
93,2020-10-02,161.1
94,2020-10-03,158.20000000000002
95,2020-10-04,173.9
96,2020-10-05,175.9
97,2020-10-06,175.9
98,2020-10-07,167.1
99,2020-10-08,162.70000000000002
100,2020-10-09,162.7
101,2020-10-10,162.70000000000002
102,2020-10-11,128.4
103,2020-10-12,144.9
104,2020-10-13,151.2
105,2020-10-14,159.1
106,2020-10-15,129.3
107,2020-10-16,122.9
108,2020-10-17,131.9
109,2020-10-18,131.9
110,2020-10-19,113.2
111,2020-10-20,138.0
112,2020-10-21,83.10000000000001
113,2020-10-22,74.5
114,2020-10-23,74.5
115,2020-10-24,90.9
116,2020-10-25,92.9
117,2020-10-26,93.9
118,2020-10-27,79.9
119,2020-10-28,91.9
120,2020-10-29,90.5
121,2020-10-30,204.5
122,2020-10-31,204.5
123,2020-11-01,74.5
124,2020-11-02,90.3
125,2020-11-03,90.3
126,2020-11-04,80.7
127,2020-11-05,80.7
128,2020-11-06,74.8
129,2020-11-07,81.10000000000001
130,2020-11-08,84.9
131,2020-11-09,84.5
132,2020-11-10,82.5
133,2020-11-11,75.6
134,2020-11-12,205.3
135,2020-11-13,87.5
136,2020-11-14,84.5
137,2020-11-15,84.5
138,2020-11-16,84.5
139,2020-11-17,84.5
140,2020-11-18,84.5
141,2020-11-19,68.5
142,2020-11-20,81.5
143,2020-11-21,78.6
144,2020-11-22,82.0
145,2020-11-23,100.0
146,2020-11-24,100.5
147,2020-11-25,112.5
