销售日期,单品编码,销量(千克)
2020-07-01,102900005116899,0.0
2020-07-02,102900005116899,0.0
2020-07-03,102900005116899,0.0
2020-07-04,102900005116899,0.0
2020-07-05,102900005116899,0.0
2020-07-06,102900005116899,0.0
2020-07-07,102900005116899,0.0
2020-07-08,102900005116899,8.239
2020-07-09,102900005116899,0.0
2020-07-10,102900005116899,6.45
2020-07-11,102900005116899,7.464
2020-07-12,102900005116899,9.317
2020-07-13,102900005116899,8.507
2020-07-14,102900005116899,7.684
2020-07-15,102900005116899,8.422
2020-07-16,102900005116899,8.467
2020-07-17,102900005116899,7.809
2020-07-18,102900005116899,8.575
2020-07-19,102900005116899,8.667
2020-07-20,102900005116899,7.122
2020-07-21,102900005116899,7.829000000000001
2020-07-22,102900005116899,7.395
2020-07-23,102900005116899,8.103
2020-07-24,102900005116899,8.286
2020-07-25,102900005116899,8.529
2020-07-26,102900005116899,7.672
2020-07-27,102900005116899,13.548
2020-07-28,102900005116899,11.93
2020-07-29,102900005116899,16.53
2020-07-30,102900005116899,10.008
2020-07-31,102900005116899,17.846
2020-08-01,102900005116899,19.736
2020-08-02,102900005116899,54.01
2020-08-03,102900005116899,12.736
2020-08-04,102900005116899,23.401
2020-08-05,102900005116899,18.915
2020-08-06,102900005116899,18.206
2020-08-07,102900005116899,21.13
2020-08-08,102900005116899,22.267
2020-08-09,102900005116899,22.408
2020-08-10,102900005116899,23.61
2020-08-11,102900005116899,16.016
2020-08-12,102900005116899,22.016
2020-08-13,102900005116899,16.416
2020-08-14,102900005116899,20.886
2020-08-15,102900005116899,22.39
2020-08-16,102900005116899,22.007
2020-08-17,102900005116899,13.327
2020-08-18,102900005116899,20.255
2020-08-19,102900005116899,15.9
2020-08-20,102900005116899,20.891
2020-08-21,102900005116899,22.791
2020-08-22,102900005116899,21.992
2020-08-23,102900005116899,25.755
2020-08-24,102900005116899,18.214
2020-08-25,102900005116899,16.698
2020-08-26,102900005116899,16.631
2020-08-27,102900005116899,14.24
2020-08-28,102900005116899,14.733
2020-08-29,102900005116899,65.118
2020-08-30,102900005116899,26.934
2020-08-31,102900005116899,50.933
2020-09-01,102900005116899,45.554
2020-09-02,102900005116899,16.304
2020-09-03,102900005116899,14.702
2020-09-04,102900005116899,13.171
2020-09-05,102900005116899,40.809
2020-09-06,102900005116899,46.129
2020-09-07,102900005116899,37.507
2020-09-08,102900005116899,19.127
2020-09-09,102900005116899,11.303
2020-09-10,102900005116899,13.712
2020-09-11,102900005116899,12.72
2020-09-12,102900005116899,16.957
2020-09-13,102900005116899,16.165
2020-09-14,102900005116899,16.217
2020-09-15,102900005116899,14.348
2020-09-16,102900005116899,17.316
2020-09-17,102900005116899,17.437
2020-09-18,102900005116899,10.13
2020-09-19,102900005116899,38.336
2020-09-20,102900005116899,38.35
2020-09-21,102900005116899,16.289
2020-09-22,102900005116899,36.441
2020-09-23,102900005116899,17.283
2020-09-24,102900005116899,51.106
2020-09-25,102900005116899,20.343
2020-09-26,102900005116899,62.839
2020-09-27,102900005116899,27.116
2020-09-28,102900005116899,10.966
2020-09-29,102900005116899,23.334
2020-09-30,102900005116899,35.629
2020-10-01,102900005116899,53.561
2020-10-02,102900005116899,18.385
2020-10-03,102900005116899,17.645
2020-10-04,102900005116899,18.41
2020-10-05,102900005116899,76.672
2020-10-06,102900005116899,25.241
2020-10-07,102900005116899,52.156
2020-10-08,102900005116899,30.566
2020-10-09,102900005116899,50.825
2020-10-10,102900005116899,21.803
2020-10-11,102900005116899,56.572
2020-10-12,102900005116899,36.496
2020-10-13,102900005116899,49.701
2020-10-14,102900005116899,46.207
2020-10-15,102900005116899,42.162
2020-10-16,102900005116899,58.973
2020-10-17,102900005116899,87.12
2020-10-18,102900005116899,79.338
2020-10-19,102900005116899,40.6
2020-10-20,102900005116899,49.434
2020-10-21,102900005116899,21.201
2020-10-22,102900005116899,35.917
2020-10-23,102900005116899,30.567
2020-10-24,102900005116899,67.932
2020-10-25,102900005116899,71.16
2020-10-26,102900005116899,20.666
2020-10-27,102900005116899,21.273
2020-10-28,102900005116899,32.418
2020-10-29,102900005116899,15.828
2020-10-30,102900005116899,18.769
2020-10-31,102900005116899,79.265
2020-11-01,102900005116899,71.332
2020-11-02,102900005116899,15.053
2020-11-03,102900005116899,15.727
2020-11-04,102900005116899,18.183
2020-11-05,102900005116899,8.347
2020-11-06,102900005116899,13.443
2020-11-07,102900005116899,71.413
2020-11-08,102900005116899,58.207
2020-11-09,102900005116899,14.579
2020-11-10,102900005116899,12.103
2020-11-11,102900005116899,14.727
2020-11-12,102900005116899,14.211
2020-11-13,102900005116899,13.053
2020-11-14,102900005116899,58.127
2020-11-15,102900005116899,45.353
2020-11-16,102900005116899,14.45
2020-11-17,102900005116899,24.762
2020-11-18,102900005116899,19.171
2020-11-19,102900005116899,16.766
2020-11-20,102900005116899,20.751
2020-11-21,102900005116899,91.611
2020-11-22,102900005116899,67.538
2020-11-23,102900005116899,34.987
2020-11-24,102900005116899,44.692
2020-11-25,102900005116899,38.697
2020-11-26,102900005116899,24.099
2020-11-27,102900005116899,23.178
2020-11-28,102900005116899,30.289
2020-11-29,102900005116899,31.494
2020-11-30,102900005116899,18.481
2020-12-01,102900005116899,25.029
2020-12-02,102900005116899,20.197
2020-12-03,102900005116899,22.818
2020-12-04,102900005116899,23.924
2020-12-05,102900005116899,34.801
2020-12-06,102900005116899,64.56
2020-12-07,102900005116899,45.368
2020-12-08,102900005116899,40.159
2020-12-09,102900005116899,36.39
2020-12-10,102900005116899,43.065
2020-12-11,102900005116899,44.021
2020-12-12,102900005116899,57.082
2020-12-13,102900005116899,51.712
2020-12-14,102900005116899,51.695
2020-12-15,102900005116899,36.313
2020-12-16,102900005116899,32.948
2020-12-17,102900005116899,34.981
2020-12-18,102900005116899,38.543
2020-12-19,102900005116899,48.441
2020-12-20,102900005116899,45.703
2020-12-21,102900005116899,36.636
2020-12-22,102900005116899,30.202
2020-12-23,102900005116899,33.509
2020-12-24,102900005116899,47.608
2020-12-25,102900005116899,32.717
2020-12-26,102900005116899,46.044
2020-12-27,102900005116899,48.028
2020-12-28,102900005116899,40.015
2020-12-29,102900005116899,35.654
2020-12-30,102900005116899,38.003
2020-12-31,102900005116899,51.652
2021-01-01,102900005116899,66.895
2021-01-02,102900005116899,60.253
2021-01-03,102900005116899,48.053
2021-01-04,102900005116899,28.703
2021-01-05,102900005116899,33.833
2021-01-06,102900005116899,26.38
2021-01-07,102900005116899,37.841
2021-01-08,102900005116899,20.534
2021-01-09,102900005116899,39.814
2021-01-10,102900005116899,39.867
2021-01-11,102900005116899,28.683
2021-01-12,102900005116899,30.226
2021-01-13,102900005116899,26.666
2021-01-14,102900005116899,23.585
2021-01-15,102900005116899,30.471
2021-01-16,102900005116899,41.605
2021-01-17,102900005116899,31.654
2021-01-18,102900005116899,23.469
2021-01-19,102900005116899,23.031
2021-01-20,102900005116899,27.318
2021-01-21,102900005116899,28.117
2021-01-22,102900005116899,24.242
2021-01-23,102900005116899,35.446
2021-01-24,102900005116899,40.665
2021-01-25,102900005116899,42.278
2021-01-26,102900005116899,34.542
2021-01-27,102900005116899,34.14
2021-01-28,102900005116899,42.278
2021-01-29,102900005116899,28.599
2021-01-30,102900005116899,29.941
2021-01-31,102900005116899,28.81
2021-02-01,102900005116899,26.781
2021-02-02,102900005116899,32.206
2021-02-03,102900005116899,24.454
2021-02-04,102900005116899,33.076
2021-02-05,102900005116899,35.416000000000004
2021-02-06,102900005116899,39.892
2021-02-07,102900005116899,36.685
2021-02-08,102900005116899,72.632
2021-02-09,102900005116899,77.825
2021-02-10,102900005116899,147.342
2021-02-11,102900005116899,0.0
2021-02-12,102900005116899,0.0
2021-02-13,102900005116899,0.0
2021-02-14,102900005116899,52.733
2021-02-15,102900005116899,52.821
2021-02-16,102900005116899,67.819
2021-02-17,102900005116899,53.632
2021-02-18,102900005116899,62.327
2021-02-19,102900005116899,62.583
2021-02-20,102900005116899,42.79
2021-02-21,102900005116899,26.828
2021-02-22,102900005116899,29.742
2021-02-23,102900005116899,18.409
2021-02-24,102900005116899,37.166
2021-02-25,102900005116899,37.611
2021-02-26,102900005116899,33.812
2021-02-27,102900005116899,31.688
2021-02-28,102900005116899,29.552
2021-03-01,102900005116899,24.048
2021-03-02,102900005116899,21.406
2021-03-03,102900005116899,7.757
2021-03-04,102900005116899,18.177
2021-03-05,102900005116899,18.138
2021-03-06,102900005116899,26.735
2021-03-07,102900005116899,26.889
2021-03-08,102900005116899,23.921
2021-03-09,102900005116899,32.608
2021-03-10,102900005116899,24.891
2021-03-11,102900005116899,26.204
2021-03-12,102900005116899,19.764
2021-03-13,102900005116899,31.086
2021-03-14,102900005116899,21.295
2021-03-15,102900005116899,17.597
2021-03-16,102900005116899,15.772
2021-03-17,102900005116899,14.53
2021-03-18,102900005116899,15.852
2021-03-19,102900005116899,23.292
2021-03-20,102900005116899,25.584
2021-03-21,102900005116899,29.423
2021-03-22,102900005116899,6.351999999999999
2021-03-23,102900005116899,10.069
2021-03-24,102900005116899,10.682
2021-03-25,102900005116899,11.403
2021-03-26,102900005116899,26.647
2021-03-27,102900005116899,23.569
2021-03-28,102900005116899,24.58
2021-03-29,102900005116899,8.999
2021-03-30,102900005116899,8.619
2021-03-31,102900005116899,6.494
2021-04-01,102900005116899,7.125
2021-04-02,102900005116899,14.721
2021-04-03,102900005116899,24.128
2021-04-04,102900005116899,20.461
2021-04-05,102900005116899,21.845
2021-04-06,102900005116899,3.457
2021-04-07,102900005116899,16.416
2021-04-08,102900005116899,7.355
2021-04-09,102900005116899,19.838
2021-04-10,102900005116899,17.415
2021-04-11,102900005116899,15.993
2021-04-12,102900005116899,3.056
2021-04-13,102900005116899,4.519
2021-04-14,102900005116899,11.253
2021-04-15,102900005116899,11.104
2021-04-16,102900005116899,10.531
2021-04-17,102900005116899,14.89
2021-04-18,102900005116899,11.093
2021-04-19,102900005116899,6.655
2021-04-20,102900005116899,10.332
2021-04-21,102900005116899,12.076
2021-04-22,102900005116899,10.311
2021-04-23,102900005116899,9.17
2021-04-24,102900005116899,15.544
2021-04-25,102900005116899,10.923
2021-04-26,102900005116899,9.751
2021-04-27,102900005116899,8.81
2021-04-28,102900005116899,5.982
2021-04-29,102900005116899,6.564
2021-04-30,102900005116899,12.828
2021-05-01,102900005116899,16.864
2021-05-02,102900005116899,15.502
2021-05-03,102900005116899,17.666
2021-05-04,102900005116899,7.656
2021-05-05,102900005116899,12.587
2021-05-06,102900005116899,4.789
2021-05-07,102900005116899,4.399
2021-05-08,102900005116899,8.86
2021-05-09,102900005116899,11.465
2021-05-10,102900005116899,3.507
2021-05-11,102900005116899,4.199
2021-05-12,102900005116899,3.327
2021-05-13,102900005116899,6.6850000000000005
2021-05-14,102900005116899,8.277
2021-05-15,102900005116899,10.153
2021-05-16,102900005116899,5.063
2021-05-17,102900005116899,3.778
2021-05-18,102900005116899,6.492
2021-05-19,102900005116899,6.382
2021-05-20,102900005116899,2.938
2021-05-21,102900005116899,3.016
2021-05-22,102900005116899,7.766
2021-05-23,102900005116899,7.196
