销售日期,单品编码,销量(千克)
2020-07-01,102900005118824,4.119
2020-07-02,102900005118824,4.342
2020-07-03,102900005118824,9.572
2020-07-04,102900005118824,3.107
2020-07-05,102900005118824,4.019
2020-07-06,102900005118824,3.089
2020-07-07,102900005118824,3.117
2020-07-08,102900005118824,2.366
2020-07-09,102900005118824,2.106
2020-07-10,102900005118824,2.575
2020-07-11,102900005118824,1.464
2020-07-12,102900005118824,1.904
2020-07-13,102900005118824,3.098
2020-07-14,102900005118824,1.323
2020-07-15,102900005118824,1.816
2020-07-16,102900005118824,2.887
2020-07-17,102900005118824,2.918
2020-07-18,102900005118824,1.843
2020-07-19,102900005118824,2.457
2020-07-20,102900005118824,2.426
2020-07-21,102900005118824,2.306
2020-07-22,102900005118824,2.521
2020-07-23,102900005118824,2.314
2020-07-24,102900005118824,2.228
2020-07-25,102900005118824,1.895
2020-07-26,102900005118824,2.746
2020-07-27,102900005118824,1.819
2020-07-28,102900005118824,2.029
2020-07-29,102900005118824,2.067
2020-07-30,102900005118824,0.637
2020-07-31,102900005118824,1.216
2020-08-01,102900005118824,1.696
2020-08-02,102900005118824,1.28
2020-08-03,102900005118824,1.917
2020-08-04,102900005118824,1.524
2020-08-05,102900005118824,1.552
2020-08-06,102900005118824,0.418
2020-08-07,102900005118824,2.103
2020-08-08,102900005118824,1.586
2020-08-09,102900005118824,2.312
2020-08-10,102900005118824,1.62
2020-08-11,102900005118824,1.043
2020-08-12,102900005118824,0.718
2020-08-13,102900005118824,1.135
2020-08-14,102900005118824,0.702
2020-08-15,102900005118824,1.403
2020-08-16,102900005118824,1.51
2020-08-17,102900005118824,1.516
2020-08-18,102900005118824,0.901
2020-08-19,102900005118824,0.852
2020-08-20,102900005118824,1.269
2020-08-21,102900005118824,1.227
2020-08-22,102900005118824,0.0
2020-08-23,102900005118824,1.127
2020-08-24,102900005118824,1.202
2020-08-25,102900005118824,1.904
2020-08-26,102900005118824,1.093
2020-08-27,102900005118824,1.845
2020-08-28,102900005118824,4.225
2020-08-29,102900005118824,0.0
2020-08-30,102900005118824,1.511
2020-08-31,102900005118824,1.176
2020-09-01,102900005118824,1.11
2020-09-02,102900005118824,1.427
2020-09-03,102900005118824,1.294
2020-09-04,102900005118824,3.464
2020-09-05,102900005118824,1.745
2020-09-06,102900005118824,0.834
2020-09-07,102900005118824,1.419
2020-09-08,102900005118824,0.0
2020-09-09,102900005118824,0.858
2020-09-10,102900005118824,0.78
2020-09-11,102900005118824,0.644
2020-09-12,102900005118824,0.0
2020-09-13,102900005118824,1.052
2020-09-14,102900005118824,1.144
2020-09-15,102900005118824,4.871
2020-09-16,102900005118824,1.502
2020-09-17,102900005118824,0.0
2020-09-18,102900005118824,1.259
2020-09-19,102900005118824,1.095
2020-09-20,102900005118824,1.201
2020-09-21,102900005118824,0.0
2020-09-22,102900005118824,1.367
2020-09-23,102900005118824,1.346
2020-09-24,102900005118824,0.78
2020-09-25,102900005118824,2.389
2020-09-26,102900005118824,2.905
2020-09-27,102900005118824,1.173
2020-09-28,102900005118824,0.895
2020-09-29,102900005118824,0.8009999999999999
2020-09-30,102900005118824,1.21
