销售日期,单品编码,销量(千克)
2020-07-01,102900005115823,11.476
2020-07-02,102900005115823,6.806
2020-07-03,102900005115823,13.12
2020-07-04,102900005115823,28.186
2020-07-05,102900005115823,12.038
2020-07-06,102900005115823,13.458
2020-07-07,102900005115823,9.861
2020-07-08,102900005115823,12.569
2020-07-09,102900005115823,10.182
2020-07-10,102900005115823,12.777
2020-07-11,102900005115823,22.47
2020-07-12,102900005115823,13.802
2020-07-13,102900005115823,12.507
2020-07-14,102900005115823,10.514
2020-07-15,102900005115823,15.176
2020-07-16,102900005115823,13.959
2020-07-17,102900005115823,8.591
2020-07-18,102900005115823,22.741
2020-07-19,102900005115823,30.754
2020-07-20,102900005115823,13.892
2020-07-21,102900005115823,14.746
2020-07-22,102900005115823,14.116
2020-07-23,102900005115823,12.32
2020-07-24,102900005115823,13.722
2020-07-25,102900005115823,14.813
2020-07-26,102900005115823,21.854
2020-07-27,102900005115823,18.377
2020-07-28,102900005115823,10.28
2020-07-29,102900005115823,14.113
2020-07-30,102900005115823,11.695
2020-07-31,102900005115823,12.084
2020-08-01,102900005115823,34.027
2020-08-02,102900005115823,21.77
2020-08-03,102900005115823,12.754
2020-08-04,102900005115823,13.107
2020-08-05,102900005115823,8.62
2020-08-06,102900005115823,13.476
2020-08-07,102900005115823,14.446
2020-08-08,102900005115823,42.264
2020-08-09,102900005115823,35.806
2020-08-10,102900005115823,12.456
2020-08-11,102900005115823,38.566
2020-08-12,102900005115823,31.04
2020-08-13,102900005115823,14.345
2020-08-14,102900005115823,13.882
2020-08-15,102900005115823,11.651
2020-08-16,102900005115823,24.443
2020-08-17,102900005115823,11.204
2020-08-18,102900005115823,13.849
2020-08-19,102900005115823,12.727
2020-08-20,102900005115823,14.262
2020-08-21,102900005115823,33.883
2020-08-22,102900005115823,31.614
2020-08-23,102900005115823,40.567
2020-08-24,102900005115823,31.723
2020-08-25,102900005115823,17.641000000000002
2020-08-26,102900005115823,16.816
2020-08-27,102900005115823,25.568
2020-08-28,102900005115823,21.288
2020-08-29,102900005115823,37.526
2020-08-30,102900005115823,31.011
2020-08-31,102900005115823,20.376
2020-09-01,102900005115823,15.103
2020-09-02,102900005115823,25.209
2020-09-03,102900005115823,11.881
2020-09-04,102900005115823,21.985
2020-09-05,102900005115823,35.959
2020-09-06,102900005115823,20.795
2020-09-07,102900005115823,22.491
2020-09-08,102900005115823,17.161
2020-09-09,102900005115823,16.726
2020-09-10,102900005115823,16.195
2020-09-11,102900005115823,6.491
2020-09-12,102900005115823,16.544
2020-09-13,102900005115823,13.224
2020-09-14,102900005115823,12.922
2020-09-15,102900005115823,22.009
2020-09-16,102900005115823,12.96
2020-09-17,102900005115823,22.976
2020-09-18,102900005115823,28.499
2020-09-19,102900005115823,35.746
2020-09-20,102900005115823,9.025
2020-09-21,102900005115823,28.823
2020-09-22,102900005115823,35.614999999999995
2020-09-23,102900005115823,22.611
2020-09-24,102900005115823,5.96
2020-09-25,102900005115823,5.725
2020-09-26,102900005115823,14.41
2020-09-27,102900005115823,10.791
2020-09-28,102900005115823,6.837
2020-09-29,102900005115823,4.075
2020-09-30,102900005115823,10.28
2020-10-01,102900005115823,8.565
2020-10-02,102900005115823,15.682
2020-10-03,102900005115823,25.367
2020-10-04,102900005115823,15.103
2020-10-05,102900005115823,27.219
2020-10-06,102900005115823,6.957
2020-10-07,102900005115823,5.801
2020-10-08,102900005115823,8.289
2020-10-09,102900005115823,6.97
2020-10-10,102900005115823,3.909
2020-10-11,102900005115823,6.5600000000000005
2020-10-12,102900005115823,4.131
2020-10-13,102900005115823,4.131
2020-10-14,102900005115823,3.998
2020-10-15,102900005115823,7.27
2020-10-16,102900005115823,11.744
2020-10-17,102900005115823,8.584
2020-10-18,102900005115823,7.97
2020-10-19,102900005115823,6.179
2020-10-20,102900005115823,9.624
2020-10-21,102900005115823,6.755
2020-10-22,102900005115823,7.295
2020-10-23,102900005115823,5.361
2020-10-24,102900005115823,8.385
2020-10-25,102900005115823,6.103
2020-10-26,102900005115823,5.352
2020-10-27,102900005115823,4.147
2020-10-28,102900005115823,4.665
2020-10-29,102900005115823,2.894
2020-10-30,102900005115823,4.465
2020-10-31,102900005115823,7.265
2020-11-01,102900005115823,3.383
2020-11-02,102900005115823,5.903
2020-11-03,102900005115823,5.229
2020-11-04,102900005115823,4.042
2020-11-05,102900005115823,2.966
2020-11-06,102900005115823,1.591
2020-11-07,102900005115823,14.518
2020-11-08,102900005115823,7.051
2020-11-09,102900005115823,2.2350000000000003
2020-11-10,102900005115823,2.966
2020-11-11,102900005115823,3.783
2020-11-12,102900005115823,2.676
2020-11-13,102900005115823,6.024
2020-11-14,102900005115823,3.957
2020-11-15,102900005115823,7.49
2020-11-16,102900005115823,5.382
2020-11-17,102900005115823,3.695
2020-11-18,102900005115823,5.562
2020-11-19,102900005115823,4.319
2020-11-20,102900005115823,5.582
2020-11-21,102900005115823,5.745
2020-11-22,102900005115823,11.867
2020-11-23,102900005115823,5.281
2020-11-24,102900005115823,5.805
2020-11-25,102900005115823,6.667
2020-11-26,102900005115823,2.349
2020-11-27,102900005115823,1.405
2020-11-28,102900005115823,6.347
2020-11-29,102900005115823,4.088
2020-11-30,102900005115823,4.157
2020-12-01,102900005115823,5.221
2020-12-02,102900005115823,2.9720000000000004
2020-12-03,102900005115823,2.772
2020-12-04,102900005115823,2.349
2020-12-05,102900005115823,4.539
2020-12-06,102900005115823,2.793
2020-12-07,102900005115823,4.798
2020-12-08,102900005115823,4.959
2020-12-09,102900005115823,0.0
2020-12-10,102900005115823,2.007
2020-12-11,102900005115823,5.503
2020-12-12,102900005115823,5.542
2020-12-13,102900005115823,11.206
2020-12-14,102900005115823,1.828
2020-12-15,102900005115823,3.474
2020-12-16,102900005115823,3.032
2020-12-17,102900005115823,4.358
2020-12-18,102900005115823,5.684
2020-12-19,102900005115823,8.815
2020-12-20,102900005115823,7.01
2020-12-21,102900005115823,3.977
2020-12-22,102900005115823,5.181
2020-12-23,102900005115823,3.696
2020-12-24,102900005115823,8.294
2020-12-25,102900005115823,3.213
2020-12-26,102900005115823,6.446
2020-12-27,102900005115823,10.263
2020-12-28,102900005115823,4.38
2020-12-29,102900005115823,7.17
2020-12-30,102900005115823,3.571
2020-12-31,102900005115823,7.77
2021-01-01,102900005115823,3.747
2021-01-02,102900005115823,6.405
2021-01-03,102900005115823,12.408
2021-01-04,102900005115823,12.042
2021-01-05,102900005115823,4.148
2021-01-06,102900005115823,7.94
2021-01-07,102900005115823,14.049
2021-01-08,102900005115823,7.205999999999999
2021-01-09,102900005115823,6.443
2021-01-10,102900005115823,8.737
2021-01-11,102900005115823,3.91
2021-01-12,102900005115823,3.735
2021-01-13,102900005115823,7.995
2021-01-14,102900005115823,15.565
2021-01-15,102900005115823,14.951
2021-01-16,102900005115823,9.15
2021-01-17,102900005115823,13.787
2021-01-18,102900005115823,7.387
2021-01-19,102900005115823,4.343999999999999
2021-01-20,102900005115823,7.367
2021-01-21,102900005115823,4.409
2021-01-22,102900005115823,7.295
2021-01-23,102900005115823,5.586
2021-01-24,102900005115823,5.111
2021-01-25,102900005115823,6.478
2021-01-26,102900005115823,6.4030000000000005
2021-01-27,102900005115823,10.045
2021-01-28,102900005115823,16.335
2021-01-29,102900005115823,6.696
2021-01-30,102900005115823,6.495
2021-01-31,102900005115823,9.75
2021-02-01,102900005115823,4.69
2021-02-02,102900005115823,5.023
2021-02-03,102900005115823,6.351
2021-02-04,102900005115823,7.327
2021-02-05,102900005115823,3.147
2021-02-06,102900005115823,4.459
2021-02-07,102900005115823,5.173
2021-02-08,102900005115823,6.975
2021-02-09,102900005115823,22.485
2021-02-10,102900005115823,43.597
2021-02-11,102900005115823,0.0
2021-02-12,102900005115823,0.0
2021-02-13,102900005115823,18.029
2021-02-14,102900005115823,17.99
2021-02-15,102900005115823,22.662
2021-02-16,102900005115823,23.392
2021-02-17,102900005115823,11.326
2021-02-18,102900005115823,12.694
2021-02-19,102900005115823,10.569
2021-02-20,102900005115823,14.047
2021-02-21,102900005115823,16.473
2021-02-22,102900005115823,13.028
2021-02-23,102900005115823,18.058
2021-02-24,102900005115823,17.74
2021-02-25,102900005115823,17.439
2021-02-26,102900005115823,37.054
2021-02-27,102900005115823,20.261
2021-02-28,102900005115823,28.966
2021-03-01,102900005115823,13.096
2021-03-02,102900005115823,20.254
2021-03-03,102900005115823,9.517
2021-03-04,102900005115823,10.901
2021-03-05,102900005115823,6.605
2021-03-06,102900005115823,19.868
2021-03-07,102900005115823,13.647
2021-03-08,102900005115823,13.751
2021-03-09,102900005115823,8.362
2021-03-10,102900005115823,12.594
2021-03-11,102900005115823,14.632
2021-03-12,102900005115823,10.585
2021-03-13,102900005115823,10.75
2021-03-14,102900005115823,14.198
2021-03-15,102900005115823,7.108
2021-03-16,102900005115823,6.255
2021-03-17,102900005115823,10.47
2021-03-18,102900005115823,12.674
2021-03-19,102900005115823,13.329
2021-03-20,102900005115823,16.556
2021-03-21,102900005115823,15.838
2021-03-22,102900005115823,8.329
2021-03-23,102900005115823,15.836
2021-03-24,102900005115823,8.747
2021-03-25,102900005115823,8.646
2021-03-26,102900005115823,18.946
2021-03-27,102900005115823,14.566
2021-03-28,102900005115823,13.896
2021-03-29,102900005115823,14.469
2021-03-30,102900005115823,11.791
2021-03-31,102900005115823,17.293
2021-04-01,102900005115823,15.033
2021-04-02,102900005115823,16.258
2021-04-03,102900005115823,15.704
2021-04-04,102900005115823,15.751
2021-04-05,102900005115823,21.558
2021-04-06,102900005115823,2.641
2021-04-07,102900005115823,27.897
2021-04-08,102900005115823,12.109
2021-04-09,102900005115823,12.642
2021-04-10,102900005115823,37.796
2021-04-11,102900005115823,30.422
2021-04-12,102900005115823,17.727
2021-04-13,102900005115823,15.437
2021-04-14,102900005115823,14.95
2021-04-15,102900005115823,16.457
2021-04-16,102900005115823,10.334
2021-04-17,102900005115823,21.943
2021-04-18,102900005115823,9.617
2021-04-19,102900005115823,12.425
2021-04-20,102900005115823,7.408
2021-04-21,102900005115823,9.248
2021-04-22,102900005115823,9.348
2021-04-23,102900005115823,6.84
2021-04-24,102900005115823,8.815
2021-04-25,102900005115823,12.657
2021-04-26,102900005115823,13.061
2021-04-27,102900005115823,3.509
2021-04-28,102900005115823,3.02
2021-04-29,102900005115823,1.404
2021-04-30,102900005115823,1.388
2021-05-01,102900005115823,4.232
2021-05-02,102900005115823,9.483
2021-05-03,102900005115823,12.39
2021-05-04,102900005115823,9.56
2021-05-05,102900005115823,17.128
2021-05-06,102900005115823,9.679
2021-05-07,102900005115823,6.347
2021-05-08,102900005115823,5.341
2021-05-09,102900005115823,11.465
2021-05-10,102900005115823,4.077
2021-05-11,102900005115823,5.421
2021-05-12,102900005115823,2.3080000000000003
2021-05-13,102900005115823,1.727
2021-05-14,102900005115823,9.015
2021-05-15,102900005115823,3.334
2021-05-16,102900005115823,9.779
2021-05-17,102900005115823,2.028
2021-05-18,102900005115823,3.896
2021-05-19,102900005115823,3.736
2021-05-20,102900005115823,5.663
2021-05-21,102900005115823,2.6910000000000003
2021-05-22,102900005115823,10.282
2021-05-23,102900005115823,17.771
2021-05-24,102900005115823,9.818
2021-05-25,102900005115823,8.996
2021-05-26,102900005115823,3.895
2021-05-27,102900005115823,4.599
2021-05-28,102900005115823,8.529
2021-05-29,102900005115823,16.737
2021-05-30,102900005115823,11.134
2021-05-31,102900005115823,5.735
2021-06-01,102900005115823,4.2490000000000006
2021-06-02,102900005115823,3.512
2021-06-03,102900005115823,2.091
2021-06-04,102900005115823,4.716
2021-06-05,102900005115823,2.643
2021-06-06,102900005115823,14.3
2021-06-07,102900005115823,10.956
2021-06-08,102900005115823,9.465
2021-06-09,102900005115823,10.955
2021-06-10,102900005115823,5.551
2021-06-11,102900005115823,7.408
2021-06-12,102900005115823,16.524
2021-06-13,102900005115823,9.801
2021-06-14,102900005115823,5.175
2021-06-15,102900005115823,4.701
2021-06-16,102900005115823,4.242
2021-06-17,102900005115823,2.064
2021-06-18,102900005115823,10.404
2021-06-19,102900005115823,8.425
2021-06-20,102900005115823,9.349
2021-06-21,102900005115823,5.854
2021-06-22,102900005115823,7.025
2021-06-23,102900005115823,6.335
2021-06-24,102900005115823,3.756
2021-06-25,102900005115823,5.689
2021-06-26,102900005115823,12.471
2021-06-27,102900005115823,10.748
2021-06-28,102900005115823,5.101
2021-06-29,102900005115823,4.888
2021-06-30,102900005115823,7.25
2021-07-01,102900005115823,7.609
2021-07-02,102900005115823,6.564
2021-07-03,102900005115823,5.804
2021-07-04,102900005115823,11.008
2021-07-05,102900005115823,6.35
2021-07-06,102900005115823,6.291
2021-07-07,102900005115823,11.492
2021-07-08,102900005115823,5.504
2021-07-09,102900005115823,6.606
2021-07-10,102900005115823,9.172
2021-07-11,102900005115823,8.969
2021-07-12,102900005115823,1.906
2021-07-13,102900005115823,11.161
2021-07-14,102900005115823,8.626
2021-07-15,102900005115823,6.047
2021-07-16,102900005115823,25.581
2021-07-17,102900005115823,13.53
2021-07-18,102900005115823,13.327
2021-07-19,102900005115823,12.783
2021-07-20,102900005115823,7.423999999999999
2021-07-21,102900005115823,5.315
2021-07-22,102900005115823,12.036
2021-07-23,102900005115823,6.406
2021-07-24,102900005115823,13.613
2021-07-25,102900005115823,24.782
2021-07-26,102900005115823,2.7190000000000003
2021-07-27,102900005115823,12.653
2021-07-28,102900005115823,12.115
2021-07-29,102900005115823,11.109
2021-07-30,102900005115823,8.492
2021-07-31,102900005115823,10.658
2021-08-01,102900005115823,21.263
2021-08-02,102900005115823,23.413
2021-08-03,102900005115823,13.674
2021-08-04,102900005115823,32.672
2021-08-05,102900005115823,24.371
2021-08-06,102900005115823,14.671
2021-08-07,102900005115823,13.695
2021-08-08,102900005115823,10.58
2021-08-09,102900005115823,18.17
2021-08-10,102900005115823,14.31
2021-08-11,102900005115823,22.151
2021-08-12,102900005115823,16.837
2021-08-13,102900005115823,13.467
2021-08-14,102900005115823,17.123
2021-08-15,102900005115823,31.624
2021-08-16,102900005115823,17.002
2021-08-17,102900005115823,14.109
2021-08-18,102900005115823,20.381
2021-08-19,102900005115823,19.892
2021-08-20,102900005115823,19.99
2021-08-21,102900005115823,10.579
2021-08-22,102900005115823,17.012
2021-08-23,102900005115823,10.881
2021-08-24,102900005115823,18.568
2021-08-25,102900005115823,14.007
2021-08-26,102900005115823,13.695
2021-08-27,102900005115823,15.265
2021-08-28,102900005115823,15.415
2021-08-29,102900005115823,16.723
2021-08-30,102900005115823,12.296
2021-08-31,102900005115823,5.265
2021-09-01,102900005115823,19.465
2021-09-02,102900005115823,6.431
2021-09-03,102900005115823,4.789
2021-09-04,102900005115823,5.302
2021-09-05,102900005115823,6.421
2021-09-06,102900005115823,7.947
2021-09-07,102900005115823,4.866
2021-09-08,102900005115823,7.633
2021-09-09,102900005115823,9.811
2021-09-10,102900005115823,3.997
2021-09-11,102900005115823,13.195
2021-09-12,102900005115823,7.97
2021-09-13,102900005115823,7.556999999999999
2021-09-14,102900005115823,6.855
2021-09-15,102900005115823,6.082
2021-09-16,102900005115823,2.177
2021-09-17,102900005115823,4.7780000000000005
2021-09-18,102900005115823,7.559
2021-09-19,102900005115823,6.584
2021-09-20,102900005115823,11.808
2021-09-21,102900005115823,14.12
2021-09-22,102900005115823,4.299
2021-09-23,102900005115823,1.395
2021-09-24,102900005115823,3.543
2021-09-25,102900005115823,7.287
2021-09-26,102900005115823,4.461
2021-09-27,102900005115823,4.134
2021-09-28,102900005115823,8.778
2021-09-29,102900005115823,3.473
2021-09-30,102900005115823,5.857
2021-10-01,102900005115823,17.353
2021-10-02,102900005115823,10.958
2021-10-03,102900005115823,13.61
2021-10-04,102900005115823,12.065
2021-10-05,102900005115823,11.377
2021-10-06,102900005115823,13.658
2021-10-07,102900005115823,7.418
2021-10-08,102900005115823,5.675
2021-10-09,102900005115823,3.09
2021-10-10,102900005115823,8.177
2021-10-11,102900005115823,4.245
2021-10-12,102900005115823,3.706
2021-10-13,102900005115823,3.651
2021-10-14,102900005115823,3.27
2021-10-15,102900005115823,1.976
2021-10-16,102900005115823,12.369
2021-10-17,102900005115823,7.845
2021-10-18,102900005115823,5.781
2021-10-19,102900005115823,3.95
2021-10-20,102900005115823,6.217
2021-10-21,102900005115823,4.642
2021-10-22,102900005115823,5.671
2021-10-23,102900005115823,4.307
2021-10-24,102900005115823,4.535
2021-10-25,102900005115823,2.747
2021-10-26,102900005115823,2.291
2021-10-27,102900005115823,0.948
2021-10-28,102900005115823,1.214
2021-10-29,102900005115823,3.842
2021-10-30,102900005115823,5.977
2021-10-31,102900005115823,3.661
2021-11-01,102900005115823,1.004
2021-11-02,102900005115823,4.38
2021-11-03,102900005115823,2.647
2021-11-04,102900005115823,1.715
2021-11-05,102900005115823,3.413
2021-11-06,102900005115823,2.1630000000000003
2021-11-07,102900005115823,8.56
2021-11-08,102900005115823,2.054
2021-11-09,102900005115823,2.336
2021-11-10,102900005115823,0.521
2021-11-11,102900005115823,1.624
2021-11-12,102900005115823,1.561
2021-11-13,102900005115823,1.451
2021-11-14,102900005115823,2.856
2021-11-15,102900005115823,2.848
2021-11-16,102900005115823,1.689
2021-11-17,102900005115823,4.554
2021-11-18,102900005115823,1.851
2021-11-19,102900005115823,3.249
2021-11-20,102900005115823,4.299
2021-11-21,102900005115823,2.3
2021-11-22,102900005115823,1.762
2021-11-23,102900005115823,0.0
2021-11-24,102900005115823,1.515
2021-11-25,102900005115823,2.5820000000000003
2021-11-26,102900005115823,1.98
2021-11-27,102900005115823,1.752
2021-11-28,102900005115823,1.934
2021-11-29,102900005115823,1.022
2021-11-30,102900005115823,1.706
2021-12-01,102900005115823,1.597
2021-12-02,102900005115823,1.786
2021-12-03,102900005115823,0.311
2021-12-04,102900005115823,1.961
2021-12-05,102900005115823,2.462
2021-12-06,102900005115823,3.309
2021-12-07,102900005115823,2.383
2021-12-08,102900005115823,3.707
2021-12-09,102900005115823,3.833
2021-12-10,102900005115823,3.3040000000000003
2021-12-11,102900005115823,4.675
2021-12-12,102900005115823,4.875
2021-12-13,102900005115823,1.081
2021-12-14,102900005115823,2.739
2021-12-15,102900005115823,3.544
2021-12-16,102900005115823,2.223
2021-12-17,102900005115823,3.19
2021-12-18,102900005115823,5.774
2021-12-19,102900005115823,6.529
2021-12-20,102900005115823,3.105
2021-12-21,102900005115823,3.825
2021-12-22,102900005115823,5.303
2021-12-23,102900005115823,3.24
2021-12-24,102900005115823,4.576
2021-12-25,102900005115823,2.864
2021-12-26,102900005115823,0.0
2021-12-27,102900005115823,0.0
2021-12-28,102900005115823,2.097
2021-12-29,102900005115823,1.694
2021-12-30,102900005115823,2.158
2021-12-31,102900005115823,2.782
2022-01-01,102900005115823,5.021
2022-01-02,102900005115823,1.835
2022-01-03,102900005115823,0.403
2022-01-04,102900005115823,2.552
2022-01-05,102900005115823,2.199
2022-01-06,102900005115823,1.712
2022-01-07,102900005115823,2.056
2022-01-08,102900005115823,5.665
2022-01-09,102900005115823,2.219
2022-01-10,102900005115823,3.145
2022-01-11,102900005115823,4.377
2022-01-12,102900005115823,2.277
2022-01-13,102900005115823,1.149
2022-01-14,102900005115823,0.585
2022-01-15,102900005115823,4.536
2022-01-16,102900005115823,4.918
2022-01-17,102900005115823,3.449
2022-01-18,102900005115823,2.843
2022-01-19,102900005115823,5.746
2022-01-20,102900005115823,1.25
