销售日期,单品编码,销量(千克)
2020-07-01,102900011006689,0.0
2020-07-02,102900011006689,1.392
2020-07-03,102900011006689,3.478
2020-07-04,102900011006689,4.908
2020-07-05,102900011006689,3.625
2020-07-06,102900011006689,0.0
2020-07-07,102900011006689,1.266
2020-07-08,102900011006689,0.0
2020-07-09,102900011006689,0.0
2020-07-10,102900011006689,0.0
2020-07-11,102900011006689,9.99
2020-07-12,102900011006689,6.126
2020-07-13,102900011006689,7.318
2020-07-14,102900011006689,4.301
2020-07-15,102900011006689,2.922
2020-07-16,102900011006689,2.883
2020-07-17,102900011006689,6.881
2020-07-18,102900011006689,0.0
2020-07-19,102900011006689,0.0
2020-07-20,102900011006689,0.0
2020-07-21,102900011006689,0.0
2020-07-22,102900011006689,0.0
2020-07-23,102900011006689,0.0
2020-07-24,102900011006689,0.0
2020-07-25,102900011006689,0.0
2020-07-26,102900011006689,0.0
2020-07-27,102900011006689,0.0
2020-07-28,102900011006689,0.0
2020-07-29,102900011006689,0.0
2020-07-30,102900011006689,0.0
2020-07-31,102900011006689,0.0
2020-08-01,102900011006689,8.946
2020-08-02,102900011006689,4.85
2020-08-03,102900011006689,0.0
2020-08-04,102900011006689,1.915
2020-08-05,102900011006689,8.100999999999999
2020-08-06,102900011006689,6.705
2020-08-07,102900011006689,4.211
2020-08-08,102900011006689,0.0
2020-08-09,102900011006689,0.0
2020-08-10,102900011006689,0.0
2020-08-11,102900011006689,0.0
2020-08-12,102900011006689,0.0
2020-08-13,102900011006689,0.0
2020-08-14,102900011006689,0.0
2020-08-15,102900011006689,0.0
2020-08-16,102900011006689,0.0
2020-08-17,102900011006689,0.0
2020-08-18,102900011006689,0.0
2020-08-19,102900011006689,0.0
2020-08-20,102900011006689,0.0
2020-08-21,102900011006689,0.0
2020-08-22,102900011006689,0.0
2020-08-23,102900011006689,0.0
2020-08-24,102900011006689,0.0
2020-08-25,102900011006689,6.354
2020-08-26,102900011006689,8.596
2020-08-27,102900011006689,0.0
2020-08-28,102900011006689,1.089
2020-08-29,102900011006689,0.0
2020-08-30,102900011006689,0.0
2020-08-31,102900011006689,0.0
2020-09-01,102900011006689,0.0
2020-09-02,102900011006689,0.0
2020-09-03,102900011006689,0.0
2020-09-04,102900011006689,0.0
