销售日期,单品编码,销量(千克)
2020-07-01,102900005115984,32.579
2020-07-02,102900005115984,27.056
2020-07-03,102900005115984,36.709
2020-07-04,102900005115984,43.33
2020-07-05,102900005115984,12.594
2020-07-06,102900005115984,11.053
2020-07-07,102900005115984,28.214
2020-07-08,102900005115984,9.732
2020-07-09,102900005115984,14.213
2020-07-10,102900005115984,28.278
2020-07-11,102900005115984,48.585
2020-07-12,102900005115984,66.768
2020-07-13,102900005115984,25.289
2020-07-14,102900005115984,32.024
2020-07-15,102900005115984,44.27
2020-07-16,102900005115984,44.285
2020-07-17,102900005115984,35.251
2020-07-18,102900005115984,51.307
2020-07-19,102900005115984,76.615
2020-07-20,102900005115984,12.579
2020-07-21,102900005115984,24.918
2020-07-22,102900005115984,15.854
2020-07-23,102900005115984,17.281
2020-07-24,102900005115984,20.215
2020-07-25,102900005115984,31.348
2020-07-26,102900005115984,23.951
2020-07-27,102900005115984,34.201
2020-07-28,102900005115984,31.664
2020-07-29,102900005115984,21.706
2020-07-30,102900005115984,14.35
2020-07-31,102900005115984,20.0
2020-08-01,102900005115984,15.867
2020-08-02,102900005115984,24.955
2020-08-03,102900005115984,36.056
2020-08-04,102900005115984,9.555
2020-08-05,102900005115984,11.962
2020-08-06,102900005115984,34.155
2020-08-07,102900005115984,10.67
2020-08-08,102900005115984,35.347
2020-08-09,102900005115984,12.808
2020-08-10,102900005115984,30.025
2020-08-11,102900005115984,11.094
2020-08-12,102900005115984,26.84
2020-08-13,102900005115984,23.087
2020-08-14,102900005115984,22.522
2020-08-15,102900005115984,34.728
2020-08-16,102900005115984,50.786
2020-08-17,102900005115984,13.454
2020-08-18,102900005115984,29.157
2020-08-19,102900005115984,20.554
2020-08-20,102900005115984,23.769
2020-08-21,102900005115984,34.656
2020-08-22,102900005115984,40.661
2020-08-23,102900005115984,28.008
2020-08-24,102900005115984,18.497
2020-08-25,102900005115984,7.228
2020-08-26,102900005115984,21.384
2020-08-27,102900005115984,15.723
2020-08-28,102900005115984,20.281
2020-08-29,102900005115984,33.73
2020-08-30,102900005115984,34.727
2020-08-31,102900005115984,12.899
2020-09-01,102900005115984,21.151
2020-09-02,102900005115984,9.075
2020-09-03,102900005115984,6.5600000000000005
2020-09-04,102900005115984,7.372
2020-09-05,102900005115984,15.87
2020-09-06,102900005115984,17.964
2020-09-07,102900005115984,9.294
2020-09-08,102900005115984,8.238
2020-09-09,102900005115984,6.376
2020-09-10,102900005115984,6.705
2020-09-11,102900005115984,6.971
2020-09-12,102900005115984,23.418
2020-09-13,102900005115984,12.428
2020-09-14,102900005115984,5.392
2020-09-15,102900005115984,7.205
2020-09-16,102900005115984,6.879
2020-09-17,102900005115984,6.549
2020-09-18,102900005115984,6.063
2020-09-19,102900005115984,8.486
2020-09-20,102900005115984,34.554
2020-09-21,102900005115984,16.696
2020-09-22,102900005115984,14.367
2020-09-23,102900005115984,7.016
2020-09-24,102900005115984,7.615
2020-09-25,102900005115984,7.0280000000000005
2020-09-26,102900005115984,13.552
2020-09-27,102900005115984,6.926
2020-09-28,102900005115984,4.58
2020-09-29,102900005115984,7.789
2020-09-30,102900005115984,6.937
2020-10-01,102900005115984,16.56
2020-10-02,102900005115984,12.642
2020-10-03,102900005115984,17.67
2020-10-04,102900005115984,13.972
2020-10-05,102900005115984,12.586
2020-10-06,102900005115984,11.554
2020-10-07,102900005115984,20.543
2020-10-08,102900005115984,5.845
2020-10-09,102900005115984,15.975
2020-10-10,102900005115984,14.503
2020-10-11,102900005115984,13.084
2020-10-12,102900005115984,5.249
2020-10-13,102900005115984,3.084
2020-10-14,102900005115984,8.434000000000001
2020-10-15,102900005115984,10.44
2020-10-16,102900005115984,5.627
2020-10-17,102900005115984,13.774
2020-10-18,102900005115984,13.911
2020-10-19,102900005115984,4.287
2020-10-20,102900005115984,3.058
2020-10-21,102900005115984,6.116
2020-10-22,102900005115984,3.145
2020-10-23,102900005115984,10.489
2020-10-24,102900005115984,12.748
2020-10-25,102900005115984,11.919
2020-10-26,102900005115984,7.232
2020-10-27,102900005115984,13.111
2020-10-28,102900005115984,4.524
2020-10-29,102900005115984,3.12
2020-10-30,102900005115984,4.95
2020-10-31,102900005115984,37.496
2020-11-01,102900005115984,28.835
2020-11-02,102900005115984,4.249
2020-11-03,102900005115984,3.998
2020-11-04,102900005115984,9.186
2020-11-05,102900005115984,5.072
2020-11-06,102900005115984,6.506
2020-11-07,102900005115984,7.822
2020-11-08,102900005115984,10.751
2020-11-09,102900005115984,7.654
2020-11-10,102900005115984,6.624
2020-11-11,102900005115984,4.265000000000001
2020-11-12,102900005115984,6.071
2020-11-13,102900005115984,5.117
2020-11-14,102900005115984,10.284
2020-11-15,102900005115984,14.802
2020-11-16,102900005115984,14.132
2020-11-17,102900005115984,18.312
2020-11-18,102900005115984,6.809
2020-11-19,102900005115984,16.046
2020-11-20,102900005115984,8.543
2020-11-21,102900005115984,18.817
2020-11-22,102900005115984,16.708
2020-11-23,102900005115984,3.375
2020-11-24,102900005115984,4.297
2020-11-25,102900005115984,4.677
2020-11-26,102900005115984,9.398
2020-11-27,102900005115984,11.147
2020-11-28,102900005115984,17.47
2020-11-29,102900005115984,45.007
2020-11-30,102900005115984,4.138
2020-12-01,102900005115984,9.147
2020-12-02,102900005115984,5.529
2020-12-03,102900005115984,3.693
2020-12-04,102900005115984,23.721
2020-12-05,102900005115984,8.417
2020-12-06,102900005115984,8.568
2020-12-07,102900005115984,22.744
2020-12-08,102900005115984,7.613
2020-12-09,102900005115984,18.168
2020-12-10,102900005115984,25.328
2020-12-11,102900005115984,17.995
2020-12-12,102900005115984,12.915
2020-12-13,102900005115984,18.495
2020-12-14,102900005115984,14.297
2020-12-15,102900005115984,23.773
2020-12-16,102900005115984,6.568
2020-12-17,102900005115984,7.248
2020-12-18,102900005115984,5.541
2020-12-19,102900005115984,20.401
2020-12-20,102900005115984,15.782
2020-12-21,102900005115984,17.331
2020-12-22,102900005115984,9.779
2020-12-23,102900005115984,16.426000000000002
2020-12-24,102900005115984,10.663
2020-12-25,102900005115984,18.14
2020-12-26,102900005115984,13.675
2020-12-27,102900005115984,12.834
2020-12-28,102900005115984,22.429
2020-12-29,102900005115984,5.361
2020-12-30,102900005115984,5.52
2020-12-31,102900005115984,12.625
2021-01-01,102900005115984,22.291
2021-01-02,102900005115984,16.726
2021-01-03,102900005115984,9.567
2021-01-04,102900005115984,7.795
2021-01-05,102900005115984,16.990000000000002
2021-01-06,102900005115984,7.474
2021-01-07,102900005115984,16.724
2021-01-08,102900005115984,31.357
2021-01-09,102900005115984,12.309
2021-01-10,102900005115984,25.423
2021-01-11,102900005115984,17.24
2021-01-12,102900005115984,13.613
2021-01-13,102900005115984,8.523
2021-01-14,102900005115984,6.39
2021-01-15,102900005115984,4.843999999999999
2021-01-16,102900005115984,21.52
2021-01-17,102900005115984,20.2
2021-01-18,102900005115984,11.402
2021-01-19,102900005115984,4.288
2021-01-20,102900005115984,7.739
2021-01-21,102900005115984,6.695
2021-01-22,102900005115984,28.71
2021-01-23,102900005115984,13.029
2021-01-24,102900005115984,30.187
2021-01-25,102900005115984,10.995
2021-01-26,102900005115984,12.775
2021-01-27,102900005115984,15.645
2021-01-28,102900005115984,17.945
2021-01-29,102900005115984,17.359
2021-01-30,102900005115984,12.206
2021-01-31,102900005115984,25.803
2021-02-01,102900005115984,7.932
2021-02-02,102900005115984,20.202
2021-02-03,102900005115984,16.934
2021-02-04,102900005115984,20.414
2021-02-05,102900005115984,11.518
2021-02-06,102900005115984,7.893
2021-02-07,102900005115984,10.241
2021-02-08,102900005115984,13.486
2021-02-09,102900005115984,23.95
2021-02-10,102900005115984,50.077
2021-02-11,102900005115984,0.0
2021-02-12,102900005115984,0.0
2021-02-13,102900005115984,41.224
2021-02-14,102900005115984,29.167
2021-02-15,102900005115984,53.835
2021-02-16,102900005115984,34.648
2021-02-17,102900005115984,19.683
2021-02-18,102900005115984,41.406
2021-02-19,102900005115984,15.753
2021-02-20,102900005115984,16.121
2021-02-21,102900005115984,19.134
2021-02-22,102900005115984,31.975
2021-02-23,102900005115984,34.168
2021-02-24,102900005115984,31.588
2021-02-25,102900005115984,27.714
2021-02-26,102900005115984,58.6
2021-02-27,102900005115984,50.507
2021-02-28,102900005115984,64.697
2021-03-01,102900005115984,32.730000000000004
2021-03-02,102900005115984,28.313
2021-03-03,102900005115984,26.066
2021-03-04,102900005115984,19.193
2021-03-05,102900005115984,27.812
2021-03-06,102900005115984,58.891
2021-03-07,102900005115984,42.801
2021-03-08,102900005115984,23.347
2021-03-09,102900005115984,15.135
2021-03-10,102900005115984,20.889
2021-03-11,102900005115984,20.822
2021-03-12,102900005115984,15.286
2021-03-13,102900005115984,29.603
2021-03-14,102900005115984,22.041
2021-03-15,102900005115984,12.192
2021-03-16,102900005115984,11.608
2021-03-17,102900005115984,13.372
2021-03-18,102900005115984,18.211
2021-03-19,102900005115984,20.025
2021-03-20,102900005115984,44.341
2021-03-21,102900005115984,32.805
2021-03-22,102900005115984,13.192
2021-03-23,102900005115984,19.465
2021-03-24,102900005115984,12.601
2021-03-25,102900005115984,6.385
2021-03-26,102900005115984,24.862
2021-03-27,102900005115984,15.838
2021-03-28,102900005115984,20.119
2021-03-29,102900005115984,23.126
2021-03-30,102900005115984,18.567
2021-03-31,102900005115984,16.792
2021-04-01,102900005115984,20.971
2021-04-02,102900005115984,16.69
2021-04-03,102900005115984,13.054
2021-04-04,102900005115984,12.432
2021-04-05,102900005115984,21.879
2021-04-06,102900005115984,2.579
2021-04-07,102900005115984,11.934
2021-04-08,102900005115984,12.892
2021-04-09,102900005115984,11.176
2021-04-10,102900005115984,21.417
