销售日期,单品编码,销量(千克)
2020-07-01,102900005115779,41.966
2020-07-02,102900005115779,44.873
2020-07-03,102900005115779,36.309
2020-07-04,102900005115779,51.205
2020-07-05,102900005115779,34.249
2020-07-06,102900005115779,36.532
2020-07-07,102900005115779,30.058
2020-07-08,102900005115779,21.339
2020-07-09,102900005115779,33.109
2020-07-10,102900005115779,13.582
2020-07-11,102900005115779,20.063
2020-07-12,102900005115779,30.038
2020-07-13,102900005115779,32.985
2020-07-14,102900005115779,25.063
2020-07-15,102900005115779,23.584
2020-07-16,102900005115779,25.015
2020-07-17,102900005115779,27.073
2020-07-18,102900005115779,40.398
2020-07-19,102900005115779,37.822
2020-07-20,102900005115779,30.473
2020-07-21,102900005115779,35.089
2020-07-22,102900005115779,30.681
2020-07-23,102900005115779,20.035
2020-07-24,102900005115779,21.268
2020-07-25,102900005115779,50.545
2020-07-26,102900005115779,54.457
2020-07-27,102900005115779,26.238
2020-07-28,102900005115779,18.663
2020-07-29,102900005115779,18.297
2020-07-30,102900005115779,28.595
2020-07-31,102900005115779,19.111
2020-08-01,102900005115779,29.587
2020-08-02,102900005115779,22.288
2020-08-03,102900005115779,13.315
2020-08-04,102900005115779,17.016000000000002
2020-08-05,102900005115779,20.015
2020-08-06,102900005115779,20.564
2020-08-07,102900005115779,20.897
2020-08-08,102900005115779,34.302
2020-08-09,102900005115779,20.969
2020-08-10,102900005115779,24.445
2020-08-11,102900005115779,18.624
2020-08-12,102900005115779,27.011
2020-08-13,102900005115779,17.69
2020-08-14,102900005115779,29.789
2020-08-15,102900005115779,42.174
2020-08-16,102900005115779,14.431
2020-08-17,102900005115779,47.839
2020-08-18,102900005115779,34.041
2020-08-19,102900005115779,37.437
2020-08-20,102900005115779,29.877
2020-08-21,102900005115779,15.854
2020-08-22,102900005115779,31.245
2020-08-23,102900005115779,31.328
2020-08-24,102900005115779,28.15
2020-08-25,102900005115779,27.859
2020-08-26,102900005115779,35.816
2020-08-27,102900005115779,33.578
2020-08-28,102900005115779,31.005
2020-08-29,102900005115779,52.538
2020-08-30,102900005115779,43.843
2020-08-31,102900005115779,52.387
2020-09-01,102900005115779,31.896
2020-09-02,102900005115779,24.402
2020-09-03,102900005115779,23.558
2020-09-04,102900005115779,23.118
2020-09-05,102900005115779,27.428
2020-09-06,102900005115779,56.537
2020-09-07,102900005115779,20.516
2020-09-08,102900005115779,13.052
2020-09-09,102900005115779,22.562
2020-09-10,102900005115779,11.118
2020-09-11,102900005115779,41.772
2020-09-12,102900005115779,22.96
2020-09-13,102900005115779,47.847
2020-09-14,102900005115779,38.641
2020-09-15,102900005115779,21.041
2020-09-16,102900005115779,27.334
2020-09-17,102900005115779,17.259
2020-09-18,102900005115779,10.181
2020-09-19,102900005115779,27.521
2020-09-20,102900005115779,56.799
2020-09-21,102900005115779,4.11
2020-09-22,102900005115779,31.458
2020-09-23,102900005115779,28.981
2020-09-24,102900005115779,41.111
2020-09-25,102900005115779,36.687
2020-09-26,102900005115779,47.512
2020-09-27,102900005115779,30.446
2020-09-28,102900005115779,8.958
2020-09-29,102900005115779,32.413
2020-09-30,102900005115779,29.74
2020-10-01,102900005115779,43.121
2020-10-02,102900005115779,28.147
2020-10-03,102900005115779,19.879
2020-10-04,102900005115779,31.357
2020-10-05,102900005115779,49.638
2020-10-06,102900005115779,30.877
2020-10-07,102900005115779,17.47
2020-10-08,102900005115779,26.538
2020-10-09,102900005115779,12.515
2020-10-10,102900005115779,19.008
2020-10-11,102900005115779,33.757
2020-10-12,102900005115779,11.98
2020-10-13,102900005115779,14.805
2020-10-14,102900005115779,29.043
2020-10-15,102900005115779,32.872
2020-10-16,102900005115779,14.604
2020-10-17,102900005115779,21.671
2020-10-18,102900005115779,28.461
2020-10-19,102900005115779,10.443
