销售日期,单品编码,销量(千克)
2020-07-01,102900005115960,14.748
2020-07-02,102900005115960,11.228
2020-07-03,102900005115960,10.446
2020-07-04,102900005115960,9.638
2020-07-05,102900005115960,9.698
2020-07-06,102900005115960,14.098
2020-07-07,102900005115960,14.828
2020-07-08,102900005115960,6.8100000000000005
2020-07-09,102900005115960,23.142
2020-07-10,102900005115960,16.759
2020-07-11,102900005115960,7.665
2020-07-12,102900005115960,17.036
2020-07-13,102900005115960,18.292
2020-07-14,102900005115960,13.62
2020-07-15,102900005115960,31.647
2020-07-16,102900005115960,22.319
2020-07-17,102900005115960,26.681
2020-07-18,102900005115960,15.537
2020-07-19,102900005115960,20.05
2020-07-20,102900005115960,21.031
2020-07-21,102900005115960,22.412
2020-07-22,102900005115960,24.174
2020-07-23,102900005115960,14.448
2020-07-24,102900005115960,0.0
2020-07-25,102900005115960,14.079
2020-07-26,102900005115960,12.538
2020-07-27,102900005115960,14.195
2020-07-28,102900005115960,14.305
2020-07-29,102900005115960,15.784
2020-07-30,102900005115960,19.804
2020-07-31,102900005115960,28.859
2020-08-01,102900005115960,20.029
2020-08-02,102900005115960,15.756
2020-08-03,102900005115960,13.576
2020-08-04,102900005115960,28.185
2020-08-05,102900005115960,26.624
2020-08-06,102900005115960,34.693
2020-08-07,102900005115960,26.791
2020-08-08,102900005115960,20.506
2020-08-09,102900005115960,18.101
2020-08-10,102900005115960,7.263
2020-08-11,102900005115960,13.072
2020-08-12,102900005115960,21.456
2020-08-13,102900005115960,8.939
2020-08-14,102900005115960,20.98
2020-08-15,102900005115960,17.962
2020-08-16,102900005115960,16.357
2020-08-17,102900005115960,17.592
2020-08-18,102900005115960,13.069
2020-08-19,102900005115960,18.442
2020-08-20,102900005115960,20.126
2020-08-21,102900005115960,19.949
2020-08-22,102900005115960,18.644
2020-08-23,102900005115960,18.872
2020-08-24,102900005115960,10.522
2020-08-25,102900005115960,13.515
2020-08-26,102900005115960,23.375
2020-08-27,102900005115960,10.323
2020-08-28,102900005115960,15.101
2020-08-29,102900005115960,18.496
2020-08-30,102900005115960,14.237
2020-08-31,102900005115960,16.408
2020-09-01,102900005115960,5.7620000000000005
2020-09-02,102900005115960,13.82
2020-09-03,102900005115960,18.316
2020-09-04,102900005115960,18.218
2020-09-05,102900005115960,13.801
2020-09-06,102900005115960,29.983
2020-09-07,102900005115960,4.277
2020-09-08,102900005115960,13.032
2020-09-09,102900005115960,8.394
2020-09-10,102900005115960,12.65
2020-09-11,102900005115960,18.916
2020-09-12,102900005115960,19.36
2020-09-13,102900005115960,34.456
2020-09-14,102900005115960,15.96
2020-09-15,102900005115960,11.681
2020-09-16,102900005115960,18.298
2020-09-17,102900005115960,13.885
2020-09-18,102900005115960,7.991
2020-09-19,102900005115960,21.763
2020-09-20,102900005115960,30.196
2020-09-21,102900005115960,22.788
2020-09-22,102900005115960,25.452
2020-09-23,102900005115960,23.542
2020-09-24,102900005115960,19.221
2020-09-25,102900005115960,31.307
2020-09-26,102900005115960,39.118
2020-09-27,102900005115960,48.923
2020-09-28,102900005115960,20.702
2020-09-29,102900005115960,11.23
2020-09-30,102900005115960,27.01
2020-10-01,102900005115960,30.653
2020-10-02,102900005115960,32.464
2020-10-03,102900005115960,54.244
2020-10-04,102900005115960,48.186
2020-10-05,102900005115960,90.763
2020-10-06,102900005115960,83.416
2020-10-07,102900005115960,60.156
2020-10-08,102900005115960,43.945
2020-10-09,102900005115960,22.965
2020-10-10,102900005115960,21.611
2020-10-11,102900005115960,53.964
2020-10-12,102900005115960,37.42
2020-10-13,102900005115960,36.007
2020-10-14,102900005115960,37.553
2020-10-15,102900005115960,41.682
2020-10-16,102900005115960,34.868
2020-10-17,102900005115960,56.38
2020-10-18,102900005115960,43.258
2020-10-19,102900005115960,38.996
2020-10-20,102900005115960,26.41
2020-10-21,102900005115960,34.612
2020-10-22,102900005115960,26.394
2020-10-23,102900005115960,74.05
2020-10-24,102900005115960,73.495
2020-10-25,102900005115960,54.702
2020-10-26,102900005115960,43.492
2020-10-27,102900005115960,59.504
2020-10-28,102900005115960,52.582
2020-10-29,102900005115960,34.397
2020-10-30,102900005115960,45.71
2020-10-31,102900005115960,63.291
2020-11-01,102900005115960,60.06
2020-11-02,102900005115960,50.463
2020-11-03,102900005115960,38.391
2020-11-04,102900005115960,47.332
2020-11-05,102900005115960,39.855
2020-11-06,102900005115960,42.533
2020-11-07,102900005115960,44.955
2020-11-08,102900005115960,70.971
2020-11-09,102900005115960,43.591
2020-11-10,102900005115960,58.695
2020-11-11,102900005115960,50.219
2020-11-12,102900005115960,53.841
2020-11-13,102900005115960,59.93
2020-11-14,102900005115960,74.135
2020-11-15,102900005115960,71.229
2020-11-16,102900005115960,36.303
2020-11-17,102900005115960,85.255
2020-11-18,102900005115960,36.273
2020-11-19,102900005115960,94.497
2020-11-20,102900005115960,114.708
2020-11-21,102900005115960,217.458
2020-11-22,102900005115960,178.27100000000002
2020-11-23,102900005115960,121.434
2020-11-24,102900005115960,67.471
2020-11-25,102900005115960,94.998
2020-11-26,102900005115960,174.597
2020-11-27,102900005115960,115.725
2020-11-28,102900005115960,244.4
2020-11-29,102900005115960,137.562
2020-11-30,102900005115960,97.967
2020-12-01,102900005115960,155.423
2020-12-02,102900005115960,113.984
2020-12-03,102900005115960,167.255
