销售日期,单品编码,销量(千克)
2020-07-01,102900005115793,4.288
2020-07-02,102900005115793,4.55
2020-07-03,102900005115793,3.099
2020-07-04,102900005115793,7.091
2020-07-05,102900005115793,0.0
2020-07-06,102900005115793,6.496
2020-07-07,102900005115793,6.929
2020-07-08,102900005115793,5.33
2020-07-09,102900005115793,3.761
2020-07-10,102900005115793,7.828
2020-07-11,102900005115793,7.743
2020-07-12,102900005115793,6.829
2020-07-13,102900005115793,3.605
2020-07-14,102900005115793,4.631
2020-07-15,102900005115793,0.0
2020-07-16,102900005115793,6.637
2020-07-17,102900005115793,4.071
2020-07-18,102900005115793,10.548
2020-07-19,102900005115793,6.96
2020-07-20,102900005115793,5.751
2020-07-21,102900005115793,7.804
2020-07-22,102900005115793,7.93
2020-07-23,102900005115793,6.841
2020-07-24,102900005115793,5.390000000000001
2020-07-25,102900005115793,8.235
2020-07-26,102900005115793,8.055
2020-07-27,102900005115793,3.498
2020-07-28,102900005115793,8.516
2020-07-29,102900005115793,7.555
2020-07-30,102900005115793,7.021
2020-07-31,102900005115793,8.154
2020-08-01,102900005115793,4.619
2020-08-02,102900005115793,6.247
2020-08-03,102900005115793,4.5
2020-08-04,102900005115793,1.427
2020-08-05,102900005115793,7.616
2020-08-06,102900005115793,3.428
2020-08-07,102900005115793,4.274
2020-08-08,102900005115793,6.603
2020-08-09,102900005115793,7.63
2020-08-10,102900005115793,8.138
2020-08-11,102900005115793,5.811
2020-08-12,102900005115793,6.71
2020-08-13,102900005115793,5.559
2020-08-14,102900005115793,8.341000000000001
2020-08-15,102900005115793,8.964
2020-08-16,102900005115793,7.933
2020-08-17,102900005115793,7.582
2020-08-18,102900005115793,6.981
2020-08-19,102900005115793,4.514
2020-08-20,102900005115793,5.0280000000000005
2020-08-21,102900005115793,7.6
2020-08-22,102900005115793,5.815
2020-08-23,102900005115793,8.081
2020-08-24,102900005115793,7.468999999999999
2020-08-25,102900005115793,6.823
2020-08-26,102900005115793,5.268
2020-08-27,102900005115793,6.147
2020-08-28,102900005115793,6.174
2020-08-29,102900005115793,8.217
2020-08-30,102900005115793,7.141
2020-08-31,102900005115793,7.436
2020-09-01,102900005115793,6.37
2020-09-02,102900005115793,5.371
2020-09-03,102900005115793,5.152
2020-09-04,102900005115793,3.112
2020-09-05,102900005115793,7.105
2020-09-06,102900005115793,7.737999999999999
2020-09-07,102900005115793,5.228
2020-09-08,102900005115793,5.318
2020-09-09,102900005115793,2.955
2020-09-10,102900005115793,2.96
2020-09-11,102900005115793,4.415
2020-09-12,102900005115793,8.479
2020-09-13,102900005115793,0.0
2020-09-14,102900005115793,6.103
2020-09-15,102900005115793,5.382
2020-09-16,102900005115793,3.813
2020-09-17,102900005115793,6.051
2020-09-18,102900005115793,5.576
2020-09-19,102900005115793,6.847
2020-09-20,102900005115793,8.995
2020-09-21,102900005115793,8.181
2020-09-22,102900005115793,7.239
2020-09-23,102900005115793,4.956
2020-09-24,102900005115793,3.974
2020-09-25,102900005115793,2.309
2020-09-26,102900005115793,6.672
2020-09-27,102900005115793,3.566
2020-09-28,102900005115793,2.178
2020-09-29,102900005115793,1.189
2020-09-30,102900005115793,3.573
2020-10-01,102900005115793,7.553
2020-10-02,102900005115793,6.752
2020-10-03,102900005115793,5.696
2020-10-04,102900005115793,0.0
2020-10-05,102900005115793,3.812
2020-10-06,102900005115793,6.333
2020-10-07,102900005115793,0.839
2020-10-08,102900005115793,4.831
2020-10-09,102900005115793,0.0
2020-10-10,102900005115793,3.449
2020-10-11,102900005115793,4.626
2020-10-12,102900005115793,3.805
2020-10-13,102900005115793,1.195
2020-10-14,102900005115793,0.0
2020-10-15,102900005115793,0.0
2020-10-16,102900005115793,0.0
2020-10-17,102900005115793,1.889
2020-10-18,102900005115793,2.712
2020-10-19,102900005115793,1.831
2020-10-20,102900005115793,2.638
2020-10-21,102900005115793,0.916
2020-10-22,102900005115793,0.644
2020-10-23,102900005115793,4.937
2020-10-24,102900005115793,0.0
2020-10-25,102900005115793,2.6260000000000003
2020-10-26,102900005115793,1.681
2020-10-27,102900005115793,2.138
2020-10-28,102900005115793,2.038
2020-10-29,102900005115793,1.036
2020-10-30,102900005115793,2.775
2020-10-31,102900005115793,0.0
2020-11-01,102900005115793,2.213
2020-11-02,102900005115793,0.718
