销售日期,单品编码,销量(千克)
2020-07-01,102900011008522,18.271
2020-07-02,102900011008522,13.548
2020-07-03,102900011008522,13.562
2020-07-04,102900011008522,15.843
2020-07-05,102900011008522,17.408
2020-07-06,102900011008522,40.201
2020-07-07,102900011008522,8.107
2020-07-08,102900011008522,15.712
2020-07-09,102900011008522,13.772
2020-07-10,102900011008522,13.334
2020-07-11,102900011008522,38.851
2020-07-12,102900011008522,30.467
2020-07-13,102900011008522,34.037
2020-07-14,102900011008522,16.505
2020-07-15,102900011008522,22.96
2020-07-16,102900011008522,15.691
2020-07-17,102900011008522,14.777
2020-07-18,102900011008522,15.412
2020-07-19,102900011008522,55.233
2020-07-20,102900011008522,29.727
2020-07-21,102900011008522,21.857
2020-07-22,102900011008522,20.365
2020-07-23,102900011008522,18.271
2020-07-24,102900011008522,28.481
2020-07-25,102900011008522,17.193
2020-07-26,102900011008522,15.103
2020-07-27,102900011008522,38.67
2020-07-28,102900011008522,6.442
2020-07-29,102900011008522,35.346
2020-07-30,102900011008522,34.776
2020-07-31,102900011008522,5.902
2020-08-01,102900011008522,10.603
2020-08-02,102900011008522,22.007
2020-08-03,102900011008522,9.351
2020-08-04,102900011008522,13.811
2020-08-05,102900011008522,15.59
2020-08-06,102900011008522,10.138
2020-08-07,102900011008522,13.547
2020-08-08,102900011008522,19.787
2020-08-09,102900011008522,19.023
2020-08-10,102900011008522,15.337
2020-08-11,102900011008522,16.955
2020-08-12,102900011008522,15.676
2020-08-13,102900011008522,10.124
2020-08-14,102900011008522,14.36
2020-08-15,102900011008522,18.409
2020-08-16,102900011008522,17.045
2020-08-17,102900011008522,14.99
2020-08-18,102900011008522,9.65
2020-08-19,102900011008522,19.024
2020-08-20,102900011008522,14.348
2020-08-21,102900011008522,17.844
2020-08-22,102900011008522,15.94
2020-08-23,102900011008522,19.979
2020-08-24,102900011008522,17.831
2020-08-25,102900011008522,10.729
2020-08-26,102900011008522,13.546
2020-08-27,102900011008522,36.842
2020-08-28,102900011008522,10.627
2020-08-29,102900011008522,13.546
2020-08-30,102900011008522,44.427
2020-08-31,102900011008522,20.79
2020-09-01,102900011008522,17.116
2020-09-02,102900011008522,17.995
2020-09-03,102900011008522,25.311
2020-09-04,102900011008522,27.785
2020-09-05,102900011008522,26.808
2020-09-06,102900011008522,29.922
2020-09-07,102900011008522,10.791
2020-09-08,102900011008522,31.128
2020-09-09,102900011008522,14.977
2020-09-10,102900011008522,9.913
2020-09-11,102900011008522,12.795
2020-09-12,102900011008522,22.445
2020-09-13,102900011008522,49.892
2020-09-14,102900011008522,14.587
2020-09-15,102900011008522,17.944
2020-09-16,102900011008522,23.021
2020-09-17,102900011008522,18.308
2020-09-18,102900011008522,15.488
2020-09-19,102900011008522,25.801
2020-09-20,102900011008522,19.386
2020-09-21,102900011008522,17.57
2020-09-22,102900011008522,18.746
2020-09-23,102900011008522,16.729
2020-09-24,102900011008522,11.017
2020-09-25,102900011008522,22.066
2020-09-26,102900011008522,18.56
2020-09-27,102900011008522,12.38
2020-09-28,102900011008522,12.356
2020-09-29,102900011008522,9.6
2020-09-30,102900011008522,11.579
2020-10-01,102900011008522,16.166
2020-10-02,102900011008522,17.593
2020-10-03,102900011008522,71.582
2020-10-04,102900011008522,17.995
2020-10-05,102900011008522,28.996
2020-10-06,102900011008522,25.102
2020-10-07,102900011008522,12.118
2020-10-08,102900011008522,38.662
2020-10-09,102900011008522,24.45
2020-10-10,102900011008522,7.255
2020-10-11,102900011008522,16.466
2020-10-12,102900011008522,8.535
2020-10-13,102900011008522,15.2
2020-10-14,102900011008522,15.639
2020-10-15,102900011008522,15.121
2020-10-16,102900011008522,8.658
2020-10-17,102900011008522,10.171
2020-10-18,102900011008522,9.548
2020-10-19,102900011008522,3.567
2020-10-20,102900011008522,1.713
2020-10-21,102900011008522,6.562
2020-10-22,102900011008522,2.6950000000000003
2020-10-23,102900011008522,2.656
2020-10-24,102900011008522,5.761
2020-10-25,102900011008522,3.747
2020-10-26,102900011008522,6.925
2020-10-27,102900011008522,2.374
2020-10-28,102900011008522,5.832
2020-10-29,102900011008522,2.406
2020-10-30,102900011008522,5.963
2020-10-31,102900011008522,10.502
2020-11-01,102900011008522,6.705
2020-11-02,102900011008522,1.73
2020-11-03,102900011008522,4.311
2020-11-04,102900011008522,8.359
2020-11-05,102900011008522,5.729
2020-11-06,102900011008522,6.052
2020-11-07,102900011008522,2.331
2020-11-08,102900011008522,6.881
2020-11-09,102900011008522,3.722
2020-11-10,102900011008522,2.782
2020-11-11,102900011008522,3.409
2020-11-12,102900011008522,5.151
2020-11-13,102900011008522,0.358
2020-11-14,102900011008522,9.899
2020-11-15,102900011008522,6.075
2020-11-16,102900011008522,4.424
2020-11-17,102900011008522,6.617
2020-11-18,102900011008522,15.337
2020-11-19,102900011008522,7.069
2020-11-20,102900011008522,6.743
2020-11-21,102900011008522,10.566
2020-11-22,102900011008522,5.364
2020-11-23,102900011008522,5.188
2020-11-24,102900011008522,13.986
2020-11-25,102900011008522,8.938
2020-11-26,102900011008522,0.0
2020-11-27,102900011008522,0.0
2020-11-28,102900011008522,3.245
2020-11-29,102900011008522,1.73
2020-11-30,102900011008522,3.684
2020-12-01,102900011008522,5.451
2020-12-02,102900011008522,3.98
2020-12-03,102900011008522,6.438
2020-12-04,102900011008522,7.342
2020-12-05,102900011008522,3.613
2020-12-06,102900011008522,5.067
2020-12-07,102900011008522,2.676
2020-12-08,102900011008522,2.943
2020-12-09,102900011008522,1.254
2020-12-10,102900011008522,2.258
2020-12-11,102900011008522,2.575
2020-12-12,102900011008522,2.442
2020-12-13,102900011008522,5.015000000000001
2020-12-14,102900011008522,0.616
2020-12-15,102900011008522,1.217
2020-12-16,102900011008522,0.587
2020-12-17,102900011008522,4.455
2020-12-18,102900011008522,4.0120000000000005
2020-12-19,102900011008522,2.006
2020-12-20,102900011008522,6.805
2020-12-21,102900011008522,4.097
2020-12-22,102900011008522,2.063
2020-12-23,102900011008522,2.149
2020-12-24,102900011008522,0.946
2020-12-25,102900011008522,1.06
2020-12-26,102900011008522,5.515
2020-12-27,102900011008522,5.373
2020-12-28,102900011008522,6.991
2020-12-29,102900011008522,2.163
2020-12-30,102900011008522,1.719
2020-12-31,102900011008522,3.896
2021-01-01,102900011008522,6.202999999999999
2021-01-02,102900011008522,5.101
2021-01-03,102900011008522,3.027
2021-01-04,102900011008522,1.288
2021-01-05,102900011008522,8.278
2021-01-06,102900011008522,2.96
2021-01-07,102900011008522,1.974
2021-01-08,102900011008522,2.776
2021-01-09,102900011008522,0.0
2021-01-10,102900011008522,0.0
2021-01-11,102900011008522,0.577
2021-01-12,102900011008522,0.0
2021-01-13,102900011008522,0.0
2021-01-14,102900011008522,0.0
2021-01-15,102900011008522,0.0
2021-01-16,102900011008522,0.0
2021-01-17,102900011008522,0.0
2021-01-18,102900011008522,0.0
2021-01-19,102900011008522,0.0
2021-01-20,102900011008522,0.0
2021-01-21,102900011008522,0.0
2021-01-22,102900011008522,0.0
2021-01-23,102900011008522,0.0
2021-01-24,102900011008522,0.0
2021-01-25,102900011008522,0.0
2021-01-26,102900011008522,0.0
2021-01-27,102900011008522,0.0
2021-01-28,102900011008522,0.0
2021-01-29,102900011008522,0.0
2021-01-30,102900011008522,0.0
2021-01-31,102900011008522,0.0
2021-02-01,102900011008522,0.0
2021-02-02,102900011008522,0.0
2021-02-03,102900011008522,0.0
2021-02-04,102900011008522,0.0
2021-02-05,102900011008522,0.0
2021-02-06,102900011008522,0.0
2021-02-07,102900011008522,0.0
2021-02-08,102900011008522,0.0
2021-02-09,102900011008522,0.0
2021-02-10,102900011008522,0.0
2021-02-11,102900011008522,0.0
2021-02-12,102900011008522,0.0
2021-02-13,102900011008522,0.0
2021-02-14,102900011008522,0.0
2021-02-15,102900011008522,0.0
2021-02-16,102900011008522,0.0
