销售日期,单品编码,销量(千克)
2020-07-01,102900005115786,11.352
2020-07-02,102900005115786,11.556
2020-07-03,102900005115786,11.125
2020-07-04,102900005115786,20.571
2020-07-05,102900005115786,30.937
2020-07-06,102900005115786,14.131
2020-07-07,102900005115786,11.756
2020-07-08,102900005115786,7.927
2020-07-09,102900005115786,17.546
2020-07-10,102900005115786,19.284
2020-07-11,102900005115786,23.588
2020-07-12,102900005115786,33.063
2020-07-13,102900005115786,12.389
2020-07-14,102900005115786,11.935
2020-07-15,102900005115786,14.196
2020-07-16,102900005115786,18.904
2020-07-17,102900005115786,13.243
2020-07-18,102900005115786,8.314
2020-07-19,102900005115786,21.41
2020-07-20,102900005115786,13.142
2020-07-21,102900005115786,11.029
2020-07-22,102900005115786,21.383
2020-07-23,102900005115786,13.645
2020-07-24,102900005115786,17.563
2020-07-25,102900005115786,16.003
2020-07-26,102900005115786,8.375
2020-07-27,102900005115786,13.433
2020-07-28,102900005115786,9.855
2020-07-29,102900005115786,15.43
2020-07-30,102900005115786,13.677
2020-07-31,102900005115786,16.986
2020-08-01,102900005115786,15.156
2020-08-02,102900005115786,14.726
2020-08-03,102900005115786,17.678
2020-08-04,102900005115786,16.946
2020-08-05,102900005115786,25.766
2020-08-06,102900005115786,12.577
2020-08-07,102900005115786,7.352
2020-08-08,102900005115786,12.393
2020-08-09,102900005115786,10.904
2020-08-10,102900005115786,9.816
2020-08-11,102900005115786,10.483
2020-08-12,102900005115786,11.962
2020-08-13,102900005115786,22.219
2020-08-14,102900005115786,10.384
2020-08-15,102900005115786,9.13
2020-08-16,102900005115786,9.329
2020-08-17,102900005115786,9.75
2020-08-18,102900005115786,11.228
2020-08-19,102900005115786,11.394
2020-08-20,102900005115786,10.778
2020-08-21,102900005115786,9.422
2020-08-22,102900005115786,9.574
2020-08-23,102900005115786,17.869
2020-08-24,102900005115786,8.193
2020-08-25,102900005115786,18.358
2020-08-26,102900005115786,8.828
2020-08-27,102900005115786,9.935
2020-08-28,102900005115786,0.0
2020-08-29,102900005115786,6.366
2020-08-30,102900005115786,16.759
2020-08-31,102900005115786,15.772
2020-09-01,102900005115786,16.117
2020-09-02,102900005115786,10.469
2020-09-03,102900005115786,9.198
2020-09-04,102900005115786,6.806
2020-09-05,102900005115786,4.966
2020-09-06,102900005115786,5.787
2020-09-07,102900005115786,4.184
2020-09-08,102900005115786,0.8029999999999999
2020-09-09,102900005115786,6.1370000000000005
2020-09-10,102900005115786,10.846
2020-09-11,102900005115786,6.734
2020-09-12,102900005115786,11.185
2020-09-13,102900005115786,9.526
2020-09-14,102900005115786,13.463
2020-09-15,102900005115786,8.609
2020-09-16,102900005115786,8.52
2020-09-17,102900005115786,7.487
2020-09-18,102900005115786,8.107
2020-09-19,102900005115786,13.963
2020-09-20,102900005115786,10.003
2020-09-21,102900005115786,25.755
2020-09-22,102900005115786,11.106
2020-09-23,102900005115786,11.183
2020-09-24,102900005115786,5.503
2020-09-25,102900005115786,4.676
2020-09-26,102900005115786,7.691
2020-09-27,102900005115786,8.894
2020-09-28,102900005115786,5.518
2020-09-29,102900005115786,4.812
2020-09-30,102900005115786,4.816
2020-10-01,102900005115786,10.871
2020-10-02,102900005115786,12.529
2020-10-03,102900005115786,0.0
2020-10-04,102900005115786,0.0
2020-10-05,102900005115786,0.0
2020-10-06,102900005115786,0.0
2020-10-07,102900005115786,0.0
2020-10-08,102900005115786,0.0
2020-10-09,102900005115786,0.0
2020-10-10,102900005115786,0.0
2020-10-11,102900005115786,0.0
2020-10-12,102900005115786,0.0
2020-10-13,102900005115786,0.0
2020-10-14,102900005115786,0.0
2020-10-15,102900005115786,0.0
2020-10-16,102900005115786,0.0
2020-10-17,102900005115786,0.0
2020-10-18,102900005115786,0.0
2020-10-19,102900005115786,0.0
2020-10-20,102900005115786,0.0
2020-10-21,102900005115786,0.0
2020-10-22,102900005115786,0.0
2020-10-23,102900005115786,0.0
2020-10-24,102900005115786,0.0
2020-10-25,102900005115786,0.0
2020-10-26,102900005115786,0.0
2020-10-27,102900005115786,0.0
2020-10-28,102900005115786,0.0
2020-10-29,102900005115786,0.0
2020-10-30,102900005115786,0.0
2020-10-31,102900005115786,0.0
2020-11-01,102900005115786,0.0
2020-11-02,102900005115786,0.0
2020-11-03,102900005115786,0.0
2020-11-04,102900005115786,0.0
2020-11-05,102900005115786,0.0
2020-11-06,102900005115786,0.0
2020-11-07,102900005115786,0.0
2020-11-08,102900005115786,0.0
2020-11-09,102900005115786,0.0
2020-11-10,102900005115786,0.0
2020-11-11,102900005115786,0.0
2020-11-12,102900005115786,0.0
2020-11-13,102900005115786,0.0
2020-11-14,102900005115786,0.0
2020-11-15,102900005115786,0.0
2020-11-16,102900005115786,0.0
2020-11-17,102900005115786,0.0
2020-11-18,102900005115786,0.0
2020-11-19,102900005115786,0.0
2020-11-20,102900005115786,0.0
2020-11-21,102900005115786,0.0
2020-11-22,102900005115786,0.0
2020-11-23,102900005115786,0.0
2020-11-24,102900005115786,0.0
2020-11-25,102900005115786,0.0
2020-11-26,102900005115786,0.0
2020-11-27,102900005115786,0.0
2020-11-28,102900005115786,0.0
2020-11-29,102900005115786,0.0
2020-11-30,102900005115786,0.0
2020-12-01,102900005115786,0.0
2020-12-02,102900005115786,0.0
2020-12-03,102900005115786,0.0
2020-12-04,102900005115786,0.0
2020-12-05,102900005115786,0.0
2020-12-06,102900005115786,0.0
2020-12-07,102900005115786,0.0
2020-12-08,102900005115786,0.0
2020-12-09,102900005115786,0.0
2020-12-10,102900005115786,0.0
2020-12-11,102900005115786,0.0
2020-12-12,102900005115786,0.0
2020-12-13,102900005115786,0.0
2020-12-14,102900005115786,0.0
2020-12-15,102900005115786,0.0
2020-12-16,102900005115786,0.0
2020-12-17,102900005115786,0.0
