销售日期,单品编码,销量(千克)
2020-07-01,102900005115908,8.959
2020-07-02,102900005115908,14.275
2020-07-03,102900005115908,8.173
2020-07-04,102900005115908,13.034
2020-07-05,102900005115908,10.791
2020-07-06,102900005115908,10.162
2020-07-07,102900005115908,11.478
2020-07-08,102900005115908,8.835
2020-07-09,102900005115908,8.685
2020-07-10,102900005115908,11.507
2020-07-11,102900005115908,12.673
2020-07-12,102900005115908,19.449
2020-07-13,102900005115908,6.279
2020-07-14,102900005115908,9.826
2020-07-15,102900005115908,10.688
2020-07-16,102900005115908,11.277
2020-07-17,102900005115908,10.726
2020-07-18,102900005115908,20.326
2020-07-19,102900005115908,15.143
2020-07-20,102900005115908,10.991
2020-07-21,102900005115908,12.295
2020-07-22,102900005115908,9.399
2020-07-23,102900005115908,10.388
2020-07-24,102900005115908,10.802
2020-07-25,102900005115908,17.775
2020-07-26,102900005115908,21.692
2020-07-27,102900005115908,11.242
2020-07-28,102900005115908,11.58
2020-07-29,102900005115908,20.644
2020-07-30,102900005115908,11.667
2020-07-31,102900005115908,43.609
2020-08-01,102900005115908,37.297
2020-08-02,102900005115908,46.236
2020-08-03,102900005115908,8.511
2020-08-04,102900005115908,11.114
2020-08-05,102900005115908,38.751
2020-08-06,102900005115908,30.934
2020-08-07,102900005115908,12.474
2020-08-08,102900005115908,21.556
2020-08-09,102900005115908,16.772
2020-08-10,102900005115908,22.181
2020-08-11,102900005115908,17.788
2020-08-12,102900005115908,15.439
2020-08-13,102900005115908,25.285
2020-08-14,102900005115908,17.145
2020-08-15,102900005115908,16.804000000000002
2020-08-16,102900005115908,12.458
2020-08-17,102900005115908,11.655
2020-08-18,102900005115908,23.136
2020-08-19,102900005115908,11.293
2020-08-20,102900005115908,36.769
2020-08-21,102900005115908,16.873
2020-08-22,102900005115908,18.033
2020-08-23,102900005115908,11.961
2020-08-24,102900005115908,8.873
2020-08-25,102900005115908,8.986
2020-08-26,102900005115908,8.612
2020-08-27,102900005115908,7.082
2020-08-28,102900005115908,8.548
2020-08-29,102900005115908,11.393
2020-08-30,102900005115908,0.0
2020-08-31,102900005115908,8.198
2020-09-01,102900005115908,11.905
2020-09-02,102900005115908,9.732
2020-09-03,102900005115908,13.361
2020-09-04,102900005115908,7.585
2020-09-05,102900005115908,15.366
2020-09-06,102900005115908,25.23
2020-09-07,102900005115908,9.189
2020-09-08,102900005115908,6.604
2020-09-09,102900005115908,3.919
2020-09-10,102900005115908,5.6930000000000005
2020-09-11,102900005115908,6.118
2020-09-12,102900005115908,10.352
2020-09-13,102900005115908,11.837
2020-09-14,102900005115908,5.403
2020-09-15,102900005115908,7.053
2020-09-16,102900005115908,1.323
2020-09-17,102900005115908,6.167
2020-09-18,102900005115908,7.218
2020-09-19,102900005115908,17.101
2020-09-20,102900005115908,52.276
2020-09-21,102900005115908,35.874
2020-09-22,102900005115908,15.434
2020-09-23,102900005115908,12.856
2020-09-24,102900005115908,9.783
2020-09-25,102900005115908,7.19
2020-09-26,102900005115908,11.137
2020-09-27,102900005115908,26.219
2020-09-28,102900005115908,2.157
2020-09-29,102900005115908,10.928
2020-09-30,102900005115908,17.949
2020-10-01,102900005115908,32.852000000000004
2020-10-02,102900005115908,10.968
2020-10-03,102900005115908,15.033
2020-10-04,102900005115908,4.616
2020-10-05,102900005115908,5.82
2020-10-06,102900005115908,7.058
2020-10-07,102900005115908,7.126
2020-10-08,102900005115908,10.47
2020-10-09,102900005115908,5.57
2020-10-10,102900005115908,8.211
2020-10-11,102900005115908,7.649
2020-10-12,102900005115908,6.634
2020-10-13,102900005115908,3.438
2020-10-14,102900005115908,3.482
2020-10-15,102900005115908,7.951
2020-10-16,102900005115908,4.355
2020-10-17,102900005115908,7.187
2020-10-18,102900005115908,8.39
2020-10-19,102900005115908,28.391
2020-10-20,102900005115908,10.88
2020-10-21,102900005115908,9.761
2020-10-22,102900005115908,9.837
2020-10-23,102900005115908,23.868
2020-10-24,102900005115908,21.709
2020-10-25,102900005115908,9.192
2020-10-26,102900005115908,7.674
2020-10-27,102900005115908,6.24
2020-10-28,102900005115908,6.455
2020-10-29,102900005115908,5.682
2020-10-30,102900005115908,3.675
2020-10-31,102900005115908,13.968
2020-11-01,102900005115908,11.35
2020-11-02,102900005115908,7.743
2020-11-03,102900005115908,4.096
2020-11-04,102900005115908,3.227
2020-11-05,102900005115908,4.3740000000000006
2020-11-06,102900005115908,8.769
2020-11-07,102900005115908,5.734
2020-11-08,102900005115908,3.838
2020-11-09,102900005115908,15.596
2020-11-10,102900005115908,16.632
2020-11-11,102900005115908,0.915
2020-11-12,102900005115908,12.712
2020-11-13,102900005115908,6.415
2020-11-14,102900005115908,7.007
2020-11-15,102900005115908,7.063
2020-11-16,102900005115908,6.739
2020-11-17,102900005115908,6.741
2020-11-18,102900005115908,11.69
2020-11-19,102900005115908,4.799
2020-11-20,102900005115908,5.822
2020-11-21,102900005115908,6.425
2020-11-22,102900005115908,11.124
2020-11-23,102900005115908,6.666
2020-11-24,102900005115908,5.621
2020-11-25,102900005115908,2.9720000000000004
2020-11-26,102900005115908,1.828
2020-11-27,102900005115908,2.779
2020-11-28,102900005115908,4.6450000000000005
2020-11-29,102900005115908,2.42
2020-11-30,102900005115908,0.43
2020-12-01,102900005115908,4.267
2020-12-02,102900005115908,4.17
2020-12-03,102900005115908,2.752
2020-12-04,102900005115908,3.094
2020-12-05,102900005115908,3.082
2020-12-06,102900005115908,2.837
2020-12-07,102900005115908,1.39
2020-12-08,102900005115908,2.193
2020-12-09,102900005115908,0.0
2020-12-10,102900005115908,1.262
2020-12-11,102900005115908,1.605
2020-12-12,102900005115908,2.933
2020-12-13,102900005115908,2.531
2020-12-14,102900005115908,1.654
2020-12-15,102900005115908,1.228
2020-12-16,102900005115908,1.365
2020-12-17,102900005115908,3.007
2020-12-18,102900005115908,3.822
2020-12-19,102900005115908,4.36
2020-12-20,102900005115908,2.695
2020-12-21,102900005115908,2.757
2020-12-22,102900005115908,2.042
2020-12-23,102900005115908,2.432
2020-12-24,102900005115908,2.934
2020-12-25,102900005115908,2.331
2020-12-26,102900005115908,4.987
2020-12-27,102900005115908,3.296
2020-12-28,102900005115908,2.481
2020-12-29,102900005115908,5.889
2020-12-30,102900005115908,3.009
2020-12-31,102900005115908,4.636
2021-01-01,102900005115908,4.8870000000000005
2021-01-02,102900005115908,3.984
2021-01-03,102900005115908,4.336
2021-01-04,102900005115908,2.882
2021-01-05,102900005115908,2.194
2021-01-06,102900005115908,2.017
2021-01-07,102900005115908,1.016
2021-01-08,102900005115908,3.07
2021-01-09,102900005115908,4.123
2021-01-10,102900005115908,2.583
2021-01-11,102900005115908,2.733
2021-01-12,102900005115908,2.356
2021-01-13,102900005115908,3.621
2021-01-14,102900005115908,4.524
2021-01-15,102900005115908,3.721
2021-01-16,102900005115908,2.884
2021-01-17,102900005115908,4.086
2021-01-18,102900005115908,4.261
2021-01-19,102900005115908,0.0
2021-01-20,102900005115908,4.612
2021-01-21,102900005115908,4.256
2021-01-22,102900005115908,0.0
2021-01-23,102900005115908,5.284
2021-01-24,102900005115908,6.105
2021-01-25,102900005115908,4.732
2021-01-26,102900005115908,3.0860000000000003
2021-01-27,102900005115908,5.088
2021-01-28,102900005115908,0.0
2021-01-29,102900005115908,5.482
2021-01-30,102900005115908,7.276
2021-01-31,102900005115908,6.68
2021-02-01,102900005115908,4.284
2021-02-02,102900005115908,3.584
2021-02-03,102900005115908,6.863
2021-02-04,102900005115908,5.026
2021-02-05,102900005115908,3.145
2021-02-06,102900005115908,4.299
2021-02-07,102900005115908,3.32
2021-02-08,102900005115908,3.471
2021-02-09,102900005115908,4.962
2021-02-10,102900005115908,19.137
2021-02-11,102900005115908,0.0
2021-02-12,102900005115908,0.0
2021-02-13,102900005115908,8.585
2021-02-14,102900005115908,8.546
2021-02-15,102900005115908,16.229
2021-02-16,102900005115908,13.246
2021-02-17,102900005115908,0.501
2021-02-18,102900005115908,2.581
2021-02-19,102900005115908,2.681
2021-02-20,102900005115908,3.107
2021-02-21,102900005115908,3.76
2021-02-22,102900005115908,1.428
2021-02-23,102900005115908,5.814
2021-02-24,102900005115908,6.29
2021-02-25,102900005115908,5.375
2021-02-26,102900005115908,11.893
2021-02-27,102900005115908,0.0
2021-02-28,102900005115908,4.386
2021-03-01,102900005115908,5.978
2021-03-02,102900005115908,6.003
2021-03-03,102900005115908,3.854
2021-03-04,102900005115908,3.812
2021-03-05,102900005115908,6.22
2021-03-06,102900005115908,5.374
2021-03-07,102900005115908,5.025
2021-03-08,102900005115908,6.166
2021-03-09,102900005115908,4.757000000000001
2021-03-10,102900005115908,3.709
2021-03-11,102900005115908,3.919
2021-03-12,102900005115908,3.699
2021-03-13,102900005115908,3.517
2021-03-14,102900005115908,2.006
2021-03-15,102900005115908,0.281
2021-03-16,102900005115908,4.84
2021-03-17,102900005115908,4.83
2021-03-18,102900005115908,2.607
2021-03-19,102900005115908,5.34
2021-03-20,102900005115908,11.38
2021-03-21,102900005115908,3.497
2021-03-22,102900005115908,4.5120000000000005
2021-03-23,102900005115908,0.414
2021-03-24,102900005115908,4.148
2021-03-25,102900005115908,2.807
2021-03-26,102900005115908,6.983
2021-03-27,102900005115908,10.515
2021-03-28,102900005115908,4.612
2021-03-29,102900005115908,3.347
2021-03-30,102900005115908,2.827
2021-03-31,102900005115908,5.553
2021-04-01,102900005115908,9.922
2021-04-02,102900005115908,6.815
2021-04-03,102900005115908,10.928
2021-04-04,102900005115908,8.661
2021-04-05,102900005115908,6.078
2021-04-06,102900005115908,4.749
2021-04-07,102900005115908,11.292
2021-04-08,102900005115908,1.074
2021-04-09,102900005115908,8.11
2021-04-10,102900005115908,3.1670000000000003
2021-04-11,102900005115908,3.955
2021-04-12,102900005115908,4.128
2021-04-13,102900005115908,0.0
2021-04-14,102900005115908,4.069
2021-04-15,102900005115908,3.138
2021-04-16,102900005115908,3.655
2021-04-17,102900005115908,5.101
2021-04-18,102900005115908,7.237
2021-04-19,102900005115908,4.756
2021-04-20,102900005115908,7.491
2021-04-21,102900005115908,3.2960000000000003
2021-04-22,102900005115908,2.164
2021-04-23,102900005115908,5.947
2021-04-24,102900005115908,10.793
2021-04-25,102900005115908,9.399
2021-04-26,102900005115908,4.213
2021-04-27,102900005115908,9.113
2021-04-28,102900005115908,3.144
2021-04-29,102900005115908,5.218
2021-04-30,102900005115908,6.071
2021-05-01,102900005115908,1.3050000000000002
2021-05-02,102900005115908,5.618
2021-05-03,102900005115908,2.776
2021-05-04,102900005115908,4.164
2021-05-05,102900005115908,1.756
2021-05-06,102900005115908,7.326
2021-05-07,102900005115908,2.208
2021-05-08,102900005115908,3.897
2021-05-09,102900005115908,10.519
2021-05-10,102900005115908,2.611
2021-05-11,102900005115908,7.288
2021-05-12,102900005115908,6.283
2021-05-13,102900005115908,5.1
2021-05-14,102900005115908,7.047000000000001
2021-05-15,102900005115908,5.68
2021-05-16,102900005115908,4.577
2021-05-17,102900005115908,3.052
2021-05-18,102900005115908,4.196
2021-05-19,102900005115908,3.052
2021-05-20,102900005115908,2.148
2021-05-21,102900005115908,3.635
2021-05-22,102900005115908,3.313
2021-05-23,102900005115908,9.055
2021-05-24,102900005115908,7.061
2021-05-25,102900005115908,13.845
2021-05-26,102900005115908,11.126
2021-05-27,102900005115908,14.136
2021-05-28,102900005115908,8.734
2021-05-29,102900005115908,6.847
2021-05-30,102900005115908,15.058
2021-05-31,102900005115908,4.129
2021-06-01,102900005115908,10.085
2021-06-02,102900005115908,7.979
2021-06-03,102900005115908,8.413
2021-06-04,102900005115908,8.261
2021-06-05,102900005115908,7.513
2021-06-06,102900005115908,13.32
2021-06-07,102900005115908,4.696
2021-06-08,102900005115908,6.705
2021-06-09,102900005115908,7.729
2021-06-10,102900005115908,6.335
2021-06-11,102900005115908,10.44
2021-06-12,102900005115908,8.999
2021-06-13,102900005115908,6.5280000000000005
2021-06-14,102900005115908,14.108
2021-06-15,102900005115908,5.788
2021-06-16,102900005115908,6.559
2021-06-17,102900005115908,9.851
2021-06-18,102900005115908,6.5600000000000005
2021-06-19,102900005115908,9.021
2021-06-20,102900005115908,9.095
2021-06-21,102900005115908,9.349
2021-06-22,102900005115908,4.299
2021-06-23,102900005115908,3.266
2021-06-24,102900005115908,8.611
