销售日期,单品编码,销量(千克)
2020-07-01,102900005118817,5.472
2020-07-02,102900005118817,0.0
2020-07-03,102900005118817,0.0
2020-07-04,102900005118817,0.0
2020-07-05,102900005118817,0.0
2020-07-06,102900005118817,0.0
2020-07-07,102900005118817,0.0
2020-07-08,102900005118817,0.0
2020-07-09,102900005118817,0.0
2020-07-10,102900005118817,0.0
2020-07-11,102900005118817,0.0
2020-07-12,102900005118817,0.0
2020-07-13,102900005118817,0.0
2020-07-14,102900005118817,0.0
2020-07-15,102900005118817,0.0
2020-07-16,102900005118817,0.0
2020-07-17,102900005118817,0.0
2020-07-18,102900005118817,0.0
2020-07-19,102900005118817,0.0
2020-07-20,102900005118817,0.0
2020-07-21,102900005118817,0.0
2020-07-22,102900005118817,0.0
2020-07-23,102900005118817,0.0
2020-07-24,102900005118817,0.0
2020-07-25,102900005118817,0.0
2020-07-26,102900005118817,0.0
2020-07-27,102900005118817,0.0
2020-07-28,102900005118817,0.0
2020-07-29,102900005118817,0.0
2020-07-30,102900005118817,0.0
2020-07-31,102900005118817,0.0
2020-08-01,102900005118817,0.0
2020-08-02,102900005118817,6.237
2020-08-03,102900005118817,5.856
2020-08-04,102900005118817,0.0
2020-08-05,102900005118817,1.263
2020-08-06,102900005118817,0.0
2020-08-07,102900005118817,6.356
2020-08-08,102900005118817,1.469
2020-08-09,102900005118817,4.833
2020-08-10,102900005118817,0.0
2020-08-11,102900005118817,0.0
2020-08-12,102900005118817,0.0
2020-08-13,102900005118817,0.0
2020-08-14,102900005118817,0.0
2020-08-15,102900005118817,0.0
2020-08-16,102900005118817,0.0
2020-08-17,102900005118817,0.0
2020-08-18,102900005118817,0.0
2020-08-19,102900005118817,0.0
2020-08-20,102900005118817,0.0
2020-08-21,102900005118817,0.0
2020-08-22,102900005118817,0.0
2020-08-23,102900005118817,0.0
2020-08-24,102900005118817,0.0
2020-08-25,102900005118817,0.0
2020-08-26,102900005118817,0.0
2020-08-27,102900005118817,0.0
2020-08-28,102900005118817,0.0
2020-08-29,102900005118817,0.0
2020-08-30,102900005118817,0.0
2020-08-31,102900005118817,0.0
2020-09-01,102900005118817,0.0
2020-09-02,102900005118817,0.0
2020-09-03,102900005118817,0.0
2020-09-04,102900005118817,0.0
2020-09-05,102900005118817,0.0
2020-09-06,102900005118817,0.0
2020-09-07,102900005118817,0.0
2020-09-08,102900005118817,0.0
2020-09-09,102900005118817,0.0
2020-09-10,102900005118817,0.0
2020-09-11,102900005118817,0.0
2020-09-12,102900005118817,0.0
2020-09-13,102900005118817,0.0
2020-09-14,102900005118817,0.0
2020-09-15,102900005118817,0.0
2020-09-16,102900005118817,0.0
2020-09-17,102900005118817,0.0
2020-09-18,102900005118817,0.0
2020-09-19,102900005118817,0.0
2020-09-20,102900005118817,0.0
2020-09-21,102900005118817,0.0
2020-09-22,102900005118817,0.0
2020-09-23,102900005118817,0.0
2020-09-24,102900005118817,0.0
2020-09-25,102900005118817,8.540000000000001
2020-09-26,102900005118817,8.927999999999999
2020-09-27,102900005118817,7.329
2020-09-28,102900005118817,11.587
2020-09-29,102900005118817,4.982
2020-09-30,102900005118817,8.646
2020-10-01,102900005118817,17.921
2020-10-02,102900005118817,28.799
2020-10-03,102900005118817,28.093
2020-10-04,102900005118817,27.109
2020-10-05,102900005118817,8.273
2020-10-06,102900005118817,28.11
2020-10-07,102900005118817,9.161
2020-10-08,102900005118817,9.215
2020-10-09,102900005118817,9.076
2020-10-10,102900005118817,8.29
2020-10-11,102900005118817,26.352
2020-10-12,102900005118817,22.194
2020-10-13,102900005118817,13.862
2020-10-14,102900005118817,28.047
2020-10-15,102900005118817,9.566
2020-10-16,102900005118817,10.561
2020-10-17,102900005118817,35.069
2020-10-18,102900005118817,14.506
2020-10-19,102900005118817,9.03
2020-10-20,102900005118817,7.509
2020-10-21,102900005118817,10.871
2020-10-22,102900005118817,9.727
2020-10-23,102900005118817,9.315
2020-10-24,102900005118817,31.296
2020-10-25,102900005118817,37.713
2020-10-26,102900005118817,6.368
2020-10-27,102900005118817,8.782
2020-10-28,102900005118817,17.557
2020-10-29,102900005118817,13.478
2020-10-30,102900005118817,3.823
2020-10-31,102900005118817,10.141
2020-11-01,102900005118817,8.901
2020-11-02,102900005118817,9.084
2020-11-03,102900005118817,14.295
2020-11-04,102900005118817,3.433
2020-11-05,102900005118817,6.679
2020-11-06,102900005118817,13.613
2020-11-07,102900005118817,8.924
2020-11-08,102900005118817,6.178
2020-11-09,102900005118817,2.795
2020-11-10,102900005118817,7.205
2020-11-11,102900005118817,5.017
2020-11-12,102900005118817,5.552
2020-11-13,102900005118817,10.369
2020-11-14,102900005118817,8.178
2020-11-15,102900005118817,8.58
2020-11-16,102900005118817,6.789
2020-11-17,102900005118817,28.297
2020-11-18,102900005118817,8.932
2020-11-19,102900005118817,9.6
2020-11-20,102900005118817,21.187
2020-11-21,102900005118817,47.819
2020-11-22,102900005118817,8.345
