销售日期,单品编码,销量(千克)
2020-07-01,102900005116790,4.837
2020-07-02,102900005116790,10.625
2020-07-03,102900005116790,6.943
2020-07-04,102900005116790,5.251
2020-07-05,102900005116790,0.0
2020-07-06,102900005116790,0.0
2020-07-07,102900005116790,0.0
2020-07-08,102900005116790,6.102
2020-07-09,102900005116790,11.617
2020-07-10,102900005116790,2.783
2020-07-11,102900005116790,0.0
2020-07-12,102900005116790,0.0
2020-07-13,102900005116790,0.0
2020-07-14,102900005116790,0.0
2020-07-15,102900005116790,0.0
2020-07-16,102900005116790,0.0
2020-07-17,102900005116790,0.0
2020-07-18,102900005116790,0.0
2020-07-19,102900005116790,0.0
2020-07-20,102900005116790,0.0
2020-07-21,102900005116790,0.0
2020-07-22,102900005116790,0.0
2020-07-23,102900005116790,0.0
2020-07-24,102900005116790,0.0
2020-07-25,102900005116790,0.0
2020-07-26,102900005116790,0.0
2020-07-27,102900005116790,0.0
2020-07-28,102900005116790,0.0
2020-07-29,102900005116790,0.0
2020-07-30,102900005116790,0.0
2020-07-31,102900005116790,0.0
2020-08-01,102900005116790,0.0
2020-08-02,102900005116790,4.274
2020-08-03,102900005116790,0.614
2020-08-04,102900005116790,2.356
2020-08-05,102900005116790,4.849
2020-08-06,102900005116790,1.541
2020-08-07,102900005116790,2.9080000000000004
2020-08-08,102900005116790,7.718
2020-08-09,102900005116790,19.086
2020-08-10,102900005116790,6.267
2020-08-11,102900005116790,0.0
2020-08-12,102900005116790,0.915
2020-08-13,102900005116790,5.752
2020-08-14,102900005116790,5.213
2020-08-15,102900005116790,5.827999999999999
2020-08-16,102900005116790,9.85
2020-08-17,102900005116790,3.634
2020-08-18,102900005116790,4.335
2020-08-19,102900005116790,2.908
2020-08-20,102900005116790,8.27
2020-08-21,102900005116790,5.503
2020-08-22,102900005116790,9.926
2020-08-23,102900005116790,13.319
2020-08-24,102900005116790,7.996
2020-08-25,102900005116790,5.777
2020-08-26,102900005116790,4.663
2020-08-27,102900005116790,6.478
2020-08-28,102900005116790,8.134
2020-08-29,102900005116790,8.158
2020-08-30,102900005116790,9.047
2020-08-31,102900005116790,1.73
2020-09-01,102900005116790,0.0
2020-09-02,102900005116790,7.064
2020-09-03,102900005116790,9.683
2020-09-04,102900005116790,5.286
2020-09-05,102900005116790,8.497
2020-09-06,102900005116790,4.248
2020-09-07,102900005116790,6.804
2020-09-08,102900005116790,5.477
2020-09-09,102900005116790,6.554
2020-09-10,102900005116790,5.114
2020-09-11,102900005116790,2.135
2020-09-12,102900005116790,9.828
2020-09-13,102900005116790,19.126
2020-09-14,102900005116790,9.886
2020-09-15,102900005116790,5.014
2020-09-16,102900005116790,9.842
2020-09-17,102900005116790,6.122
2020-09-18,102900005116790,5.514
2020-09-19,102900005116790,9.341
2020-09-20,102900005116790,15.807
2020-09-21,102900005116790,7.44
2020-09-22,102900005116790,17.138
2020-09-23,102900005116790,0.0
2020-09-24,102900005116790,11.592
2020-09-25,102900005116790,4.148
2020-09-26,102900005116790,7.633
2020-09-27,102900005116790,5.651
2020-09-28,102900005116790,6.003
2020-09-29,102900005116790,6.304
2020-09-30,102900005116790,9.312
2020-10-01,102900005116790,10.358
2020-10-02,102900005116790,20.586
2020-10-03,102900005116790,12.177
2020-10-04,102900005116790,16.519
2020-10-05,102900005116790,14.686
2020-10-06,102900005116790,12.608
2020-10-07,102900005116790,65.557
2020-10-08,102900005116790,4.872
2020-10-09,102900005116790,6.253
2020-10-10,102900005116790,52.008
2020-10-11,102900005116790,8.772
2020-10-12,102900005116790,6.807
2020-10-13,102900005116790,11.794
2020-10-14,102900005116790,5.463
2020-10-15,102900005116790,6.442
2020-10-16,102900005116790,11.104
2020-10-17,102900005116790,7.883
2020-10-18,102900005116790,10.553
2020-10-19,102900005116790,0.639
2020-10-20,102900005116790,2.644
2020-10-21,102900005116790,2.055
2020-10-22,102900005116790,1.541
2020-10-23,102900005116790,5.469
2020-10-24,102900005116790,6.674
2020-10-25,102900005116790,3.931
2020-10-26,102900005116790,2.459
2020-10-27,102900005116790,2.258
2020-10-28,102900005116790,6.691
2020-10-29,102900005116790,4.539
2020-10-30,102900005116790,5.022
2020-10-31,102900005116790,3.998
2020-11-01,102900005116790,6.304
2020-11-02,102900005116790,2.219
2020-11-03,102900005116790,1.867
2020-11-04,102900005116790,2.192
2020-11-05,102900005116790,0.702
2020-11-06,102900005116790,0.964
2020-11-07,102900005116790,64.226
2020-11-08,102900005116790,8.172
2020-11-09,102900005116790,0.8029999999999999
2020-11-10,102900005116790,1.706
2020-11-11,102900005116790,2.844
2020-11-12,102900005116790,2.844
2020-11-13,102900005116790,0.97
2020-11-14,102900005116790,4.215
2020-11-15,102900005116790,4.917
2020-11-16,102900005116790,5.754
2020-11-17,102900005116790,3.428
2020-11-18,102900005116790,2.609
2020-11-19,102900005116790,3.178
