销售日期,单品编码,销量(千克)
2020-07-01,102900051010455,6.549
2020-07-02,102900051010455,4.811
2020-07-03,102900051010455,9.991
2020-07-04,102900051010455,18.431
2020-07-05,102900051010455,14.811
2020-07-06,102900051010455,8.631
2020-07-07,102900051010455,8.897
2020-07-08,102900051010455,13.7
2020-07-09,102900051010455,8.298
2020-07-10,102900051010455,11.604
2020-07-11,102900051010455,31.025
2020-07-12,102900051010455,32.834
2020-07-13,102900051010455,11.192
2020-07-14,102900051010455,6.773
2020-07-15,102900051010455,19.145
2020-07-16,102900051010455,17.476
2020-07-17,102900051010455,8.62
2020-07-18,102900051010455,17.709
2020-07-19,102900051010455,26.876
2020-07-20,102900051010455,9.833
2020-07-21,102900051010455,19.686
2020-07-22,102900051010455,26.618
2020-07-23,102900051010455,22.386
2020-07-24,102900051010455,16.246000000000002
2020-07-25,102900051010455,14.956
2020-07-26,102900051010455,31.428
2020-07-27,102900051010455,9.728
2020-07-28,102900051010455,23.794
2020-07-29,102900051010455,19.36
2020-07-30,102900051010455,16.584
2020-07-31,102900051010455,11.739
2020-08-01,102900051010455,14.51
2020-08-02,102900051010455,10.706
2020-08-03,102900051010455,16.081
2020-08-04,102900051010455,8.898
2020-08-05,102900051010455,13.72
2020-08-06,102900051010455,14.012
2020-08-07,102900051010455,26.299
2020-08-08,102900051010455,46.43
2020-08-09,102900051010455,32.815
2020-08-10,102900051010455,25.261
2020-08-11,102900051010455,35.505
2020-08-12,102900051010455,16.945
2020-08-13,102900051010455,14.674
2020-08-14,102900051010455,13.959
2020-08-15,102900051010455,42.068
2020-08-16,102900051010455,45.549
2020-08-17,102900051010455,12.452
2020-08-18,102900051010455,43.469
2020-08-19,102900051010455,44.973
2020-08-20,102900051010455,36.895
2020-08-21,102900051010455,14.917
2020-08-22,102900051010455,45.365
2020-08-23,102900051010455,43.975
2020-08-24,102900051010455,74.578
2020-08-25,102900051010455,187.729
2020-08-26,102900051010455,26.025
2020-08-27,102900051010455,12.892
2020-08-28,102900051010455,42.261
2020-08-29,102900051010455,44.266
2020-08-30,102900051010455,29.681
