销售日期,单品编码,销量(千克)
2020-07-01,102900011009970,12.086
2020-07-02,102900011009970,13.834
2020-07-03,102900011009970,15.616
2020-07-04,102900011009970,12.847
2020-07-05,102900011009970,13.109
2020-07-06,102900011009970,18.287
2020-07-07,102900011009970,22.699
2020-07-08,102900011009970,20.792
2020-07-09,102900011009970,15.926
2020-07-10,102900011009970,34.412
2020-07-11,102900011009970,39.843
2020-07-12,102900011009970,30.925
2020-07-13,102900011009970,16.404
2020-07-14,102900011009970,30.354
2020-07-15,102900011009970,19.162
2020-07-16,102900011009970,16.071
2020-07-17,102900011009970,19.049
2020-07-18,102900011009970,25.938
2020-07-19,102900011009970,31.561
2020-07-20,102900011009970,30.62
2020-07-21,102900011009970,26.942
2020-07-22,102900011009970,26.442
2020-07-23,102900011009970,21.518
2020-07-24,102900011009970,19.751
2020-07-25,102900011009970,28.65
2020-07-26,102900011009970,28.759
2020-07-27,102900011009970,21.18
2020-07-28,102900011009970,17.746
2020-07-29,102900011009970,16.519
2020-07-30,102900011009970,22.837
2020-07-31,102900011009970,21.682
2020-08-01,102900011009970,24.578
2020-08-02,102900011009970,22.094
2020-08-03,102900011009970,21.656
2020-08-04,102900011009970,23.181
2020-08-05,102900011009970,27.404
2020-08-06,102900011009970,29.517
2020-08-07,102900011009970,20.856
2020-08-08,102900011009970,32.386
2020-08-09,102900011009970,18.839
2020-08-10,102900011009970,22.519
2020-08-11,102900011009970,28.922
2020-08-12,102900011009970,23.922
2020-08-13,102900011009970,24.463
2020-08-14,102900011009970,32.605
2020-08-15,102900011009970,70.22
2020-08-16,102900011009970,28.16
2020-08-17,102900011009970,27.518
2020-08-18,102900011009970,29.855
2020-08-19,102900011009970,24.652
2020-08-20,102900011009970,32.785
2020-08-21,102900011009970,23.271
2020-08-22,102900011009970,26.719
2020-08-23,102900011009970,30.991
2020-08-24,102900011009970,20.801
2020-08-25,102900011009970,23.343
2020-08-26,102900011009970,23.787
2020-08-27,102900011009970,20.054
2020-08-28,102900011009970,23.026
2020-08-29,102900011009970,24.474
2020-08-30,102900011009970,38.412
2020-08-31,102900011009970,27.433
2020-09-01,102900011009970,25.906
2020-09-02,102900011009970,17.659
2020-09-03,102900011009970,20.089
2020-09-04,102900011009970,24.814
2020-09-05,102900011009970,27.869
2020-09-06,102900011009970,23.053
2020-09-07,102900011009970,10.865
2020-09-08,102900011009970,13.609
2020-09-09,102900011009970,14.56
2020-09-10,102900011009970,8.378
2020-09-11,102900011009970,21.697
2020-09-12,102900011009970,12.596
2020-09-13,102900011009970,12.982
2020-09-14,102900011009970,14.801
2020-09-15,102900011009970,11.405
2020-09-16,102900011009970,13.487
2020-09-17,102900011009970,13.867
2020-09-18,102900011009970,12.495
2020-09-19,102900011009970,25.69
2020-09-20,102900011009970,32.308
2020-09-21,102900011009970,20.717
2020-09-22,102900011009970,14.4
2020-09-23,102900011009970,13.819
2020-09-24,102900011009970,16.313
2020-09-25,102900011009970,9.049
2020-09-26,102900011009970,34.505
2020-09-27,102900011009970,20.793
2020-09-28,102900011009970,11.784
2020-09-29,102900011009970,12.975
2020-09-30,102900011009970,20.739
2020-10-01,102900011009970,27.87
2020-10-02,102900011009970,20.716
2020-10-03,102900011009970,15.29
2020-10-04,102900011009970,14.298
2020-10-05,102900011009970,52.465
2020-10-06,102900011009970,88.508
2020-10-07,102900011009970,27.73
2020-10-08,102900011009970,29.772
2020-10-09,102900011009970,18.754
2020-10-10,102900011009970,20.474
2020-10-11,102900011009970,24.24
2020-10-12,102900011009970,21.52
2020-10-13,102900011009970,29.936
2020-10-14,102900011009970,24.098
2020-10-15,102900011009970,23.566
2020-10-16,102900011009970,43.543
2020-10-17,102900011009970,26.273
2020-10-18,102900011009970,24.416
2020-10-19,102900011009970,20.954
2020-10-20,102900011009970,16.636
2020-10-21,102900011009970,16.192999999999998
2020-10-22,102900011009970,12.866
2020-10-23,102900011009970,10.219
2020-10-24,102900011009970,15.976
2020-10-25,102900011009970,22.691
2020-10-26,102900011009970,8.181
2020-10-27,102900011009970,1.376
2020-10-28,102900011009970,14.299
2020-10-29,102900011009970,11.002
2020-10-30,102900011009970,10.487
2020-10-31,102900011009970,21.966
2020-11-01,102900011009970,15.152
2020-11-02,102900011009970,11.923
2020-11-03,102900011009970,11.758
2020-11-04,102900011009970,14.822
2020-11-05,102900011009970,13.575
2020-11-06,102900011009970,73.574
2020-11-07,102900011009970,60.909
2020-11-08,102900011009970,57.943
2020-11-09,102900011009970,17.967
2020-11-10,102900011009970,15.12
2020-11-11,102900011009970,7.614
2020-11-12,102900011009970,1.331
2020-11-13,102900011009970,14.65
2020-11-14,102900011009970,8.14
2020-11-15,102900011009970,7.739
2020-11-16,102900011009970,7.289000000000001
2020-11-17,102900011009970,3.543
2020-11-18,102900011009970,11.458
2020-11-19,102900011009970,16.818
2020-11-20,102900011009970,14.901
2020-11-21,102900011009970,41.247
2020-11-22,102900011009970,37.444
2020-11-23,102900011009970,28.414
2020-11-24,102900011009970,24.382
2020-11-25,102900011009970,21.953
2020-11-26,102900011009970,14.463
2020-11-27,102900011009970,14.47
2020-11-28,102900011009970,23.795
2020-11-29,102900011009970,20.458
2020-11-30,102900011009970,21.004
2020-12-01,102900011009970,13.468
2020-12-02,102900011009970,12.236
2020-12-03,102900011009970,12.054
2020-12-04,102900011009970,11.566
2020-12-05,102900011009970,17.008
2020-12-06,102900011009970,28.48
2020-12-07,102900011009970,17.578
2020-12-08,102900011009970,13.044
2020-12-09,102900011009970,9.984
2020-12-10,102900011009970,12.895
2020-12-11,102900011009970,12.343
2020-12-12,102900011009970,20.605
2020-12-13,102900011009970,34.27
2020-12-14,102900011009970,19.265
2020-12-15,102900011009970,22.026
2020-12-16,102900011009970,9.183
2020-12-17,102900011009970,19.87
2020-12-18,102900011009970,12.593
2020-12-19,102900011009970,24.884
2020-12-20,102900011009970,34.938
2020-12-21,102900011009970,15.452
2020-12-22,102900011009970,9.734
2020-12-23,102900011009970,8.052
2020-12-24,102900011009970,25.543
2020-12-25,102900011009970,16.366
2020-12-26,102900011009970,29.127
2020-12-27,102900011009970,26.708
2020-12-28,102900011009970,20.589
2020-12-29,102900011009970,15.859
2020-12-30,102900011009970,17.008
2020-12-31,102900011009970,11.105
2021-01-01,102900011009970,28.261
2021-01-02,102900011009970,21.607
2021-01-03,102900011009970,18.449
2021-01-04,102900011009970,11.678
2021-01-05,102900011009970,26.706
2021-01-06,102900011009970,23.348
2021-01-07,102900011009970,22.322
2021-01-08,102900011009970,19.792
2021-01-09,102900011009970,20.164
2021-01-10,102900011009970,21.287
2021-01-11,102900011009970,18.09
2021-01-12,102900011009970,9.124
2021-01-13,102900011009970,7.845
2021-01-14,102900011009970,10.895
2021-01-15,102900011009970,16.067
2021-01-16,102900011009970,20.477
2021-01-17,102900011009970,24.231
2021-01-18,102900011009970,19.967
2021-01-19,102900011009970,11.703
2021-01-20,102900011009970,16.663
2021-01-21,102900011009970,14.053
2021-01-22,102900011009970,15.007
2021-01-23,102900011009970,12.814
2021-01-24,102900011009970,27.226
2021-01-25,102900011009970,19.147
2021-01-26,102900011009970,22.022
2021-01-27,102900011009970,33.007
2021-01-28,102900011009970,24.685
2021-01-29,102900011009970,22.099
2021-01-30,102900011009970,14.383
2021-01-31,102900011009970,20.687
2021-02-01,102900011009970,11.514
2021-02-02,102900011009970,20.144
2021-02-03,102900011009970,20.997
2021-02-04,102900011009970,21.004
2021-02-05,102900011009970,17.14
2021-02-06,102900011009970,27.775
2021-02-07,102900011009970,19.99
2021-02-08,102900011009970,65.089
2021-02-09,102900011009970,81.299
2021-02-10,102900011009970,81.146
2021-02-11,102900011009970,0.0
2021-02-12,102900011009970,0.0
2021-02-13,102900011009970,22.759
2021-02-14,102900011009970,5.981
2021-02-15,102900011009970,21.147
2021-02-16,102900011009970,9.031
2021-02-17,102900011009970,11.627
2021-02-18,102900011009970,25.251
2021-02-19,102900011009970,22.575
2021-02-20,102900011009970,10.304
2021-02-21,102900011009970,11.689
2021-02-22,102900011009970,13.166
