销售日期,单品编码,销量(千克)
2020-07-01,102900051000463,0.0
2020-07-02,102900051000463,0.0
2020-07-03,102900051000463,0.0
2020-07-04,102900051000463,0.0
2020-07-05,102900051000463,0.0
2020-07-06,102900051000463,0.0
2020-07-07,102900051000463,0.0
2020-07-08,102900051000463,0.0
2020-07-09,102900051000463,0.0
2020-07-10,102900051000463,0.0
2020-07-11,102900051000463,0.0
2020-07-12,102900051000463,0.0
2020-07-13,102900051000463,0.0
2020-07-14,102900051000463,0.0
2020-07-15,102900051000463,0.0
2020-07-16,102900051000463,0.0
2020-07-17,102900051000463,0.0
2020-07-18,102900051000463,0.0
2020-07-19,102900051000463,0.0
2020-07-20,102900051000463,0.0
2020-07-21,102900051000463,0.0
2020-07-22,102900051000463,0.0
2020-07-23,102900051000463,0.0
2020-07-24,102900051000463,0.0
2020-07-25,102900051000463,0.0
2020-07-26,102900051000463,0.0
2020-07-27,102900051000463,0.0
2020-07-28,102900051000463,0.0
2020-07-29,102900051000463,0.0
2020-07-30,102900051000463,0.0
2020-07-31,102900051000463,0.0
2020-08-01,102900051000463,0.0
2020-08-02,102900051000463,0.0
2020-08-03,102900051000463,0.0
2020-08-04,102900051000463,0.0
2020-08-05,102900051000463,0.0
2020-08-06,102900051000463,0.0
2020-08-07,102900051000463,0.0
2020-08-08,102900051000463,0.0
2020-08-09,102900051000463,0.0
2020-08-10,102900051000463,0.0
2020-08-11,102900051000463,0.0
2020-08-12,102900051000463,0.0
2020-08-13,102900051000463,0.0
2020-08-14,102900051000463,0.0
2020-08-15,102900051000463,0.0
2020-08-16,102900051000463,0.0
2020-08-17,102900051000463,0.0
2020-08-18,102900051000463,0.0
2020-08-19,102900051000463,0.0
2020-08-20,102900051000463,0.0
2020-08-21,102900051000463,0.0
2020-08-22,102900051000463,0.0
2020-08-23,102900051000463,0.0
2020-08-24,102900051000463,0.0
2020-08-25,102900051000463,0.0
2020-08-26,102900051000463,0.0
2020-08-27,102900051000463,0.426
2020-08-28,102900051000463,3.84
2020-08-29,102900051000463,1.66
2020-08-30,102900051000463,5.359
2020-08-31,102900051000463,4.273
2020-09-01,102900051000463,3.195
2020-09-02,102900051000463,2.519
2020-09-03,102900051000463,2.869
2020-09-04,102900051000463,5.038
2020-09-05,102900051000463,6.428
2020-09-06,102900051000463,7.33
2020-09-07,102900051000463,4.611
2020-09-08,102900051000463,5.339
2020-09-09,102900051000463,3.01
2020-09-10,102900051000463,2.49
2020-09-11,102900051000463,3.68
2020-09-12,102900051000463,4.398
2020-09-13,102900051000463,4.056
2020-09-14,102900051000463,3.495
2020-09-15,102900051000463,4.398
2020-09-16,102900051000463,1.948
2020-09-17,102900051000463,8.093
2020-09-18,102900051000463,3.032
2020-09-19,102900051000463,4.881
2020-09-20,102900051000463,8.695
2020-09-21,102900051000463,6.389
2020-09-22,102900051000463,9.602
2020-09-23,102900051000463,8.756
2020-09-24,102900051000463,6.206
2020-09-25,102900051000463,13.716
2020-09-26,102900051000463,11.869
2020-09-27,102900051000463,3.876
2020-09-28,102900051000463,8.355
2020-09-29,102900051000463,7.994
2020-09-30,102900051000463,10.022
2020-10-01,102900051000463,11.007
2020-10-02,102900051000463,11.282
2020-10-03,102900051000463,18.819
2020-10-04,102900051000463,15.68
2020-10-05,102900051000463,10.201
2020-10-06,102900051000463,5.477
2020-10-07,102900051000463,4.321
2020-10-08,102900051000463,13.141
2020-10-09,102900051000463,3.635
2020-10-10,102900051000463,9.762
2020-10-11,102900051000463,7.31
2020-10-12,102900051000463,5.167
2020-10-13,102900051000463,3.78
2020-10-14,102900051000463,2.124
2020-10-15,102900051000463,4.332
2020-10-16,102900051000463,3.93
2020-10-17,102900051000463,2.133
2020-10-18,102900051000463,7.025
2020-10-19,102900051000463,4.015000000000001
2020-10-20,102900051000463,1.738
2020-10-21,102900051000463,4.857
2020-10-22,102900051000463,1.577
2020-10-23,102900051000463,1.189
2020-10-24,102900051000463,5.521
2020-10-25,102900051000463,4.05
2020-10-26,102900051000463,1.075
2020-10-27,102900051000463,1.9
2020-10-28,102900051000463,1.56
2020-10-29,102900051000463,3.012
2020-10-30,102900051000463,2.026
2020-10-31,102900051000463,3.567
2020-11-01,102900051000463,4.856
2020-11-02,102900051000463,2.527
2020-11-03,102900051000463,2.903
2020-11-04,102900051000463,1.237
2020-11-05,102900051000463,1.057
2020-11-06,102900051000463,1.1829999999999998
2020-11-07,102900051000463,0.591
2020-11-08,102900051000463,2.347
2020-11-09,102900051000463,2.672
2020-11-10,102900051000463,1.254
2020-11-11,102900051000463,3.728
2020-11-12,102900051000463,3.118
2020-11-13,102900051000463,0.484
2020-11-14,102900051000463,1.022
2020-11-15,102900051000463,1.111
2020-11-16,102900051000463,1.058
2020-11-17,102900051000463,1.452
2020-11-18,102900051000463,0.968
2020-11-19,102900051000463,0.376
2020-11-20,102900051000463,0.77
2020-11-21,102900051000463,2.617
2020-11-22,102900051000463,2.688
2020-11-23,102900051000463,1.505
2020-11-24,102900051000463,1.075
2020-11-25,102900051000463,2.223
2020-11-26,102900051000463,1.254
2020-11-27,102900051000463,1.219
2020-11-28,102900051000463,2.221
2020-11-29,102900051000463,3.124
2020-11-30,102900051000463,2.809
2020-12-01,102900051000463,0.514
2020-12-02,102900051000463,1.967
2020-12-03,102900051000463,0.451
