销售日期,单品编码,销量(千克)
2020-07-01,102900011009444,0.0
2020-07-02,102900011009444,0.0
2020-07-03,102900011009444,0.0
2020-07-04,102900011009444,0.0
2020-07-05,102900011009444,10.427
2020-07-06,102900011009444,5.333
2020-07-07,102900011009444,0.0
2020-07-08,102900011009444,0.0
2020-07-09,102900011009444,7.755
2020-07-10,102900011009444,7.046
2020-07-11,102900011009444,0.0
2020-07-12,102900011009444,16.695
2020-07-13,102900011009444,8.609
2020-07-14,102900011009444,5.9830000000000005
2020-07-15,102900011009444,9.692
2020-07-16,102900011009444,8.89
2020-07-17,102900011009444,13.39
2020-07-18,102900011009444,14.772
2020-07-19,102900011009444,15.846
2020-07-20,102900011009444,13.08
2020-07-21,102900011009444,6.394
2020-07-22,102900011009444,14.121
2020-07-23,102900011009444,11.645
2020-07-24,102900011009444,10.571
2020-07-25,102900011009444,34.276
2020-07-26,102900011009444,18.053
2020-07-27,102900011009444,15.266
2020-07-28,102900011009444,13.107
2020-07-29,102900011009444,14.113
2020-07-30,102900011009444,14.21
2020-07-31,102900011009444,9.012
2020-08-01,102900011009444,16.139
2020-08-02,102900011009444,11.142
2020-08-03,102900011009444,7.621
2020-08-04,102900011009444,11.117
2020-08-05,102900011009444,18.137
2020-08-06,102900011009444,10.904
2020-08-07,102900011009444,11.982
2020-08-08,102900011009444,10.55
2020-08-09,102900011009444,17.008
2020-08-10,102900011009444,14.719
2020-08-11,102900011009444,7.913
2020-08-12,102900011009444,11.764
2020-08-13,102900011009444,7.996
2020-08-14,102900011009444,8.11
2020-08-15,102900011009444,9.545
2020-08-16,102900011009444,22.868
2020-08-17,102900011009444,8.284
2020-08-18,102900011009444,9.402
2020-08-19,102900011009444,9.542
2020-08-20,102900011009444,7.967
2020-08-21,102900011009444,7.258
2020-08-22,102900011009444,11.343
2020-08-23,102900011009444,18.536
2020-08-24,102900011009444,8.296
2020-08-25,102900011009444,6.378
2020-08-26,102900011009444,8.933
2020-08-27,102900011009444,1.085
2020-08-28,102900011009444,0.0
2020-08-29,102900011009444,0.0
2020-08-30,102900011009444,0.0
2020-08-31,102900011009444,0.0
2020-09-01,102900011009444,0.0
2020-09-02,102900011009444,0.0
2020-09-03,102900011009444,0.0
2020-09-04,102900011009444,0.0
2020-09-05,102900011009444,0.0
2020-09-06,102900011009444,0.0
2020-09-07,102900011009444,0.0
2020-09-08,102900011009444,0.0
2020-09-09,102900011009444,0.0
2020-09-10,102900011009444,0.0
2020-09-11,102900011009444,0.0
