销售日期,单品编码,销量(千克)
2020-07-01,102900005116257,17.661
2020-07-02,102900005116257,14.432
2020-07-03,102900005116257,17.553
2020-07-04,102900005116257,33.045
2020-07-05,102900005116257,26.966
2020-07-06,102900005116257,8.96
2020-07-07,102900005116257,14.6
2020-07-08,102900005116257,18.588
2020-07-09,102900005116257,9.949
2020-07-10,102900005116257,15.789
2020-07-11,102900005116257,34.025
2020-07-12,102900005116257,41.141
2020-07-13,102900005116257,19.638
2020-07-14,102900005116257,13.059
2020-07-15,102900005116257,13.849
2020-07-16,102900005116257,7.693
2020-07-17,102900005116257,15.891
2020-07-18,102900005116257,18.058
2020-07-19,102900005116257,35.706
2020-07-20,102900005116257,14.362
2020-07-21,102900005116257,11.416
2020-07-22,102900005116257,17.583
2020-07-23,102900005116257,19.791
2020-07-24,102900005116257,20.743
2020-07-25,102900005116257,12.684
2020-07-26,102900005116257,24.757
2020-07-27,102900005116257,9.768
2020-07-28,102900005116257,17.651
2020-07-29,102900005116257,18.252
2020-07-30,102900005116257,18.286
2020-07-31,102900005116257,14.177
2020-08-01,102900005116257,15.69
2020-08-02,102900005116257,25.3
2020-08-03,102900005116257,16.565
2020-08-04,102900005116257,11.428
2020-08-05,102900005116257,17.772
2020-08-06,102900005116257,20.692
2020-08-07,102900005116257,34.299
2020-08-08,102900005116257,40.254
2020-08-09,102900005116257,25.63
2020-08-10,102900005116257,24.399
2020-08-11,102900005116257,19.899
2020-08-12,102900005116257,13.66
2020-08-13,102900005116257,13.735
2020-08-14,102900005116257,23.571
2020-08-15,102900005116257,24.802
2020-08-16,102900005116257,14.376
2020-08-17,102900005116257,20.339
2020-08-18,102900005116257,15.303
2020-08-19,102900005116257,13.664
2020-08-20,102900005116257,20.103
2020-08-21,102900005116257,10.844
2020-08-22,102900005116257,14.206
2020-08-23,102900005116257,20.956
2020-08-24,102900005116257,12.245
2020-08-25,102900005116257,11.879
2020-08-26,102900005116257,14.982
2020-08-27,102900005116257,6.84
2020-08-28,102900005116257,10.944
2020-08-29,102900005116257,15.544
2020-08-30,102900005116257,8.16
2020-08-31,102900005116257,7.447
2020-09-01,102900005116257,10.577
2020-09-02,102900005116257,5.462
2020-09-03,102900005116257,4.673
2020-09-04,102900005116257,6.134
2020-09-05,102900005116257,11.052
2020-09-06,102900005116257,12.774
2020-09-07,102900005116257,6.051
2020-09-08,102900005116257,7.321
2020-09-09,102900005116257,2.622
2020-09-10,102900005116257,7.347
2020-09-11,102900005116257,3.824
2020-09-12,102900005116257,8.448
2020-09-13,102900005116257,17.145
2020-09-14,102900005116257,9.903
