销售日期,单品编码,销量(千克)
2020-07-01,102900005116509,17.713
2020-07-02,102900005116509,17.767
2020-07-03,102900005116509,18.343
2020-07-04,102900005116509,24.022
2020-07-05,102900005116509,24.423
2020-07-06,102900005116509,16.434
2020-07-07,102900005116509,17.512
2020-07-08,102900005116509,21.082
2020-07-09,102900005116509,8.217
2020-07-10,102900005116509,15.025
2020-07-11,102900005116509,34.252
2020-07-12,102900005116509,23.87
2020-07-13,102900005116509,16.132
2020-07-14,102900005116509,15.705
2020-07-15,102900005116509,14.629
2020-07-16,102900005116509,10.003
2020-07-17,102900005116509,7.97
2020-07-18,102900005116509,23.755
2020-07-19,102900005116509,20.22
2020-07-20,102900005116509,6.505
2020-07-21,102900005116509,9.284
2020-07-22,102900005116509,16.543
2020-07-23,102900005116509,12.706
2020-07-24,102900005116509,3.656
2020-07-25,102900005116509,14.914
2020-07-26,102900005116509,26.711
2020-07-27,102900005116509,11.087
2020-07-28,102900005116509,9.582
2020-07-29,102900005116509,8.412
2020-07-30,102900005116509,13.815
2020-07-31,102900005116509,10.903
2020-08-01,102900005116509,16.976
2020-08-02,102900005116509,14.451
2020-08-03,102900005116509,21.005
2020-08-04,102900005116509,8.046
2020-08-05,102900005116509,13.563
2020-08-06,102900005116509,0.0
2020-08-07,102900005116509,5.518
2020-08-08,102900005116509,12.96
2020-08-09,102900005116509,9.197
2020-08-10,102900005116509,8.546
2020-08-11,102900005116509,5.76
2020-08-12,102900005116509,10.585
2020-08-13,102900005116509,9.378
2020-08-14,102900005116509,6.1450000000000005
2020-08-15,102900005116509,8.932
2020-08-16,102900005116509,11.122
2020-08-17,102900005116509,6.391
2020-08-18,102900005116509,9.314
2020-08-19,102900005116509,7.141
2020-08-20,102900005116509,9.887
2020-08-21,102900005116509,11.592
2020-08-22,102900005116509,4.873
2020-08-23,102900005116509,7.824
2020-08-24,102900005116509,6.333
2020-08-25,102900005116509,5.015000000000001
2020-08-26,102900005116509,6.807
2020-08-27,102900005116509,10.778
2020-08-28,102900005116509,9.813
2020-08-29,102900005116509,13.471
2020-08-30,102900005116509,8.122
2020-08-31,102900005116509,4.223
2020-09-01,102900005116509,12.557
2020-09-02,102900005116509,5.892
2020-09-03,102900005116509,6.63
2020-09-04,102900005116509,9.061
2020-09-05,102900005116509,14.311
2020-09-06,102900005116509,11.067
2020-09-07,102900005116509,6.166
2020-09-08,102900005116509,7.155
2020-09-09,102900005116509,4.828
2020-09-10,102900005116509,6.822
2020-09-11,102900005116509,14.515
2020-09-12,102900005116509,8.096
2020-09-13,102900005116509,7.536
2020-09-14,102900005116509,2.736
2020-09-15,102900005116509,5.1450000000000005
2020-09-16,102900005116509,4.328
2020-09-17,102900005116509,3.997
2020-09-18,102900005116509,4.899
2020-09-19,102900005116509,12.595
2020-09-20,102900005116509,7.633
2020-09-21,102900005116509,8.85
2020-09-22,102900005116509,5.199
2020-09-23,102900005116509,3.033
2020-09-24,102900005116509,1.992
2020-09-25,102900005116509,2.636
2020-09-26,102900005116509,9.34
2020-09-27,102900005116509,6.390000000000001
2020-09-28,102900005116509,3.067
2020-09-29,102900005116509,9.917
2020-09-30,102900005116509,6.872
2020-10-01,102900005116509,6.488
2020-10-02,102900005116509,8.764
2020-10-03,102900005116509,7.419
2020-10-04,102900005116509,8.403
2020-10-05,102900005116509,9.237
2020-10-06,102900005116509,2.445
2020-10-07,102900005116509,4.838
2020-10-08,102900005116509,8.785
2020-10-09,102900005116509,4.586
2020-10-10,102900005116509,2.958
2020-10-11,102900005116509,8.321
2020-10-12,102900005116509,1.905
2020-10-13,102900005116509,3.07
2020-10-14,102900005116509,4.099
2020-10-15,102900005116509,3.86
2020-10-16,102900005116509,1.19
2020-10-17,102900005116509,4.849
2020-10-18,102900005116509,4.198
2020-10-19,102900005116509,0.827
2020-10-20,102900005116509,2.281
2020-10-21,102900005116509,0.878
2020-10-22,102900005116509,0.652
2020-10-23,102900005116509,1.141
2020-10-24,102900005116509,2.606
2020-10-25,102900005116509,4.663
2020-10-26,102900005116509,0.0
2020-10-27,102900005116509,3.093
2020-10-28,102900005116509,2.638
2020-10-29,102900005116509,2.926
2020-10-30,102900005116509,3.367
2020-10-31,102900005116509,3.724
2020-11-01,102900005116509,4.17
2020-11-02,102900005116509,4.799
2020-11-03,102900005116509,1.99
2020-11-04,102900005116509,2.977
2020-11-05,102900005116509,2.709
2020-11-06,102900005116509,0.652
2020-11-07,102900005116509,2.96
2020-11-08,102900005116509,1.924
2020-11-09,102900005116509,2.576
2020-11-10,102900005116509,1.688
2020-11-11,102900005116509,1.606
2020-11-12,102900005116509,4.749
2020-11-13,102900005116509,2.543
2020-11-14,102900005116509,1.405
2020-11-15,102900005116509,3.228
2020-11-16,102900005116509,2.725
2020-11-17,102900005116509,2.308
2020-11-18,102900005116509,3.295
2020-11-19,102900005116509,2.6580000000000004
2020-11-20,102900005116509,1.639
2020-11-21,102900005116509,7.425
2020-11-22,102900005116509,5.534
2020-11-23,102900005116509,0.0
2020-11-24,102900005116509,5.202
2020-11-25,102900005116509,0.815
2020-11-26,102900005116509,1.654
2020-11-27,102900005116509,2.218
2020-11-28,102900005116509,2.846
2020-11-29,102900005116509,4.188
2020-11-30,102900005116509,0.958
2020-12-01,102900005116509,2.149
2020-12-02,102900005116509,1.303
2020-12-03,102900005116509,2.117
2020-12-04,102900005116509,0.702
2020-12-05,102900005116509,1.949
2020-12-06,102900005116509,0.0
2020-12-07,102900005116509,0.792
2020-12-08,102900005116509,2.015
2020-12-09,102900005116509,1.092
2020-12-10,102900005116509,0.561
2020-12-11,102900005116509,1.564
2020-12-12,102900005116509,1.353
2020-12-13,102900005116509,1.761
2020-12-14,102900005116509,0.0
2020-12-15,102900005116509,1.592
2020-12-16,102900005116509,1.554
2020-12-17,102900005116509,1.805
2020-12-18,102900005116509,2.781
2020-12-19,102900005116509,0.451
2020-12-20,102900005116509,2.757
2020-12-21,102900005116509,2.394
2020-12-22,102900005116509,0.344
2020-12-23,102900005116509,1.289
2020-12-24,102900005116509,1.018
2020-12-25,102900005116509,1.106
2020-12-26,102900005116509,3.98
2020-12-27,102900005116509,2.408
2020-12-28,102900005116509,0.516
2020-12-29,102900005116509,0.917
2020-12-30,102900005116509,2.808
2020-12-31,102900005116509,1.354
2021-01-01,102900005116509,3.084
2021-01-02,102900005116509,2.944
2021-01-03,102900005116509,1.391
2021-01-04,102900005116509,0.902
2021-01-05,102900005116509,0.965
2021-01-06,102900005116509,1.804
2021-01-07,102900005116509,1.266
2021-01-08,102900005116509,1.103
2021-01-09,102900005116509,0.646
2021-01-10,102900005116509,2.517
2021-01-11,102900005116509,1.782
2021-01-12,102900005116509,0.0
2021-01-13,102900005116509,0.0
2021-01-14,102900005116509,3.387
2021-01-15,102900005116509,1.958
2021-01-16,102900005116509,1.221
2021-01-17,102900005116509,2.805
2021-01-18,102900005116509,1.1760000000000002
2021-01-19,102900005116509,1.185
2021-01-20,102900005116509,3.196
2021-01-21,102900005116509,6.675
2021-01-22,102900005116509,0.883
2021-01-23,102900005116509,3.16
2021-01-24,102900005116509,2.669
2021-01-25,102900005116509,3.014
2021-01-26,102900005116509,2.546
2021-01-27,102900005116509,2.204
2021-01-28,102900005116509,3.621
2021-01-29,102900005116509,2.004
2021-01-30,102900005116509,0.526
2021-01-31,102900005116509,2.138
2021-02-01,102900005116509,2.405
2021-02-02,102900005116509,2.462
2021-02-03,102900005116509,0.993
2021-02-04,102900005116509,2.254
2021-02-05,102900005116509,2.829
2021-02-06,102900005116509,4.007
2021-02-07,102900005116509,2.781
2021-02-08,102900005116509,7.345
2021-02-09,102900005116509,0.0
2021-02-10,102900005116509,8.658
2021-02-11,102900005116509,0.0
2021-02-12,102900005116509,0.0
2021-02-13,102900005116509,0.0
2021-02-14,102900005116509,0.0
2021-02-15,102900005116509,0.0
2021-02-16,102900005116509,0.0
2021-02-17,102900005116509,0.0
2021-02-18,102900005116509,0.0
2021-02-19,102900005116509,0.0
2021-02-20,102900005116509,2.205
2021-02-21,102900005116509,3.397
2021-02-22,102900005116509,2.139
2021-02-23,102900005116509,3.509
2021-02-24,102900005116509,2.368
2021-02-25,102900005116509,3.595
2021-02-26,102900005116509,2.594
2021-02-27,102900005116509,4.224
2021-02-28,102900005116509,2.03
2021-03-01,102900005116509,3.132
2021-03-02,102900005116509,2.744
2021-03-03,102900005116509,4.511
2021-03-04,102900005116509,1.917
2021-03-05,102900005116509,2.532
2021-03-06,102900005116509,4.325
2021-03-07,102900005116509,3.784
2021-03-08,102900005116509,0.928
2021-03-09,102900005116509,4.836
2021-03-10,102900005116509,0.338
2021-03-11,102900005116509,2.181
2021-03-12,102900005116509,2.017
2021-03-13,102900005116509,3.497
2021-03-14,102900005116509,1.554
2021-03-15,102900005116509,1.579
2021-03-16,102900005116509,1.404
2021-03-17,102900005116509,2.081
2021-03-18,102900005116509,0.732
2021-03-19,102900005116509,1.093
2021-03-20,102900005116509,3.96
2021-03-21,102900005116509,2.545
2021-03-22,102900005116509,1.935
2021-03-23,102900005116509,2.135
2021-03-24,102900005116509,2.395
2021-03-25,102900005116509,4.069
2021-03-26,102900005116509,1.905
2021-03-27,102900005116509,1.624
2021-03-28,102900005116509,1.152
2021-03-29,102900005116509,2.927
2021-03-30,102900005116509,3.357
2021-03-31,102900005116509,1.523
2021-04-01,102900005116509,3.788
2021-04-02,102900005116509,0.571
2021-04-03,102900005116509,3.286
2021-04-04,102900005116509,1.867
