销售日期,单品编码,销量(千克)
2020-07-01,102900005117209,1.909
2020-07-02,102900005117209,1.825
2020-07-03,102900005117209,1.581
2020-07-04,102900005117209,0.6930000000000001
2020-07-05,102900005117209,1.395
2020-07-06,102900005117209,1.273
2020-07-07,102900005117209,1.323
2020-07-08,102900005117209,1.08
2020-07-09,102900005117209,0.379
2020-07-10,102900005117209,1.052
2020-07-11,102900005117209,1.602
2020-07-12,102900005117209,1.771
2020-07-13,102900005117209,0.879
2020-07-14,102900005117209,0.406
2020-07-15,102900005117209,0.45
2020-07-16,102900005117209,0.661
2020-07-17,102900005117209,1.798
2020-07-18,102900005117209,2.237
2020-07-19,102900005117209,1.364
2020-07-20,102900005117209,1.379
2020-07-21,102900005117209,0.91
2020-07-22,102900005117209,0.46
2020-07-23,102900005117209,1.965
2020-07-24,102900005117209,0.495
2020-07-25,102900005117209,1.202
2020-07-26,102900005117209,0.0
2020-07-27,102900005117209,0.813
2020-07-28,102900005117209,0.879
2020-07-29,102900005117209,0.915
2020-07-30,102900005117209,0.0
2020-07-31,102900005117209,0.232
2020-08-01,102900005117209,0.601
2020-08-02,102900005117209,0.505
2020-08-03,102900005117209,0.525
2020-08-04,102900005117209,0.234
2020-08-05,102900005117209,0.0
2020-08-06,102900005117209,0.528
2020-08-07,102900005117209,0.629
2020-08-08,102900005117209,0.0
2020-08-09,102900005117209,0.0
2020-08-10,102900005117209,0.6499999999999999
2020-08-11,102900005117209,0.334
2020-08-12,102900005117209,1.681
2020-08-13,102900005117209,0.261
2020-08-14,102900005117209,0.473
2020-08-15,102900005117209,0.801
2020-08-16,102900005117209,0.551
2020-08-17,102900005117209,0.275
2020-08-18,102900005117209,0.1
2020-08-19,102900005117209,1.23
2020-08-20,102900005117209,1.037
2020-08-21,102900005117209,0.258
2020-08-22,102900005117209,0.572
2020-08-23,102900005117209,0.0
2020-08-24,102900005117209,0.887
2020-08-25,102900005117209,0.515
2020-08-26,102900005117209,0.415
2020-08-27,102900005117209,0.665
2020-08-28,102900005117209,0.229
2020-08-29,102900005117209,0.644
2020-08-30,102900005117209,0.243
2020-08-31,102900005117209,0.0
2020-09-01,102900005117209,1.338
2020-09-02,102900005117209,0.544
2020-09-03,102900005117209,0.0
2020-09-04,102900005117209,0.408
2020-09-05,102900005117209,1.239
2020-09-06,102900005117209,0.0
2020-09-07,102900005117209,0.156
2020-09-08,102900005117209,0.7370000000000001
2020-09-09,102900005117209,0.0
2020-09-10,102900005117209,0.0
2020-09-11,102900005117209,0.808
2020-09-12,102900005117209,0.333
2020-09-13,102900005117209,0.45
2020-09-14,102900005117209,0.197
2020-09-15,102900005117209,0.0
2020-09-16,102900005117209,0.8079999999999999
2020-09-17,102900005117209,0.0
2020-09-18,102900005117209,0.253
2020-09-19,102900005117209,0.0
2020-09-20,102900005117209,1.632
2020-09-21,102900005117209,0.5409999999999999
2020-09-22,102900005117209,1.137
2020-09-23,102900005117209,0.516
2020-09-24,102900005117209,0.839
2020-09-25,102900005117209,1.066
2020-09-26,102900005117209,0.374
2020-09-27,102900005117209,0.152
2020-09-28,102900005117209,0.469
2020-09-29,102900005117209,0.0
2020-09-30,102900005117209,0.844
2020-10-01,102900005117209,0.136
2020-10-02,102900005117209,0.996
2020-10-03,102900005117209,0.0
2020-10-04,102900005117209,0.535
2020-10-05,102900005117209,0.813
2020-10-06,102900005117209,0.222
2020-10-07,102900005117209,1.248
2020-10-08,102900005117209,0.354
2020-10-09,102900005117209,0.298
2020-10-10,102900005117209,0.919
2020-10-11,102900005117209,1.949
2020-10-12,102900005117209,0.298
2020-10-13,102900005117209,0.0
2020-10-14,102900005117209,0.424
2020-10-15,102900005117209,0.0
2020-10-16,102900005117209,0.7749999999999999
2020-10-17,102900005117209,0.0
2020-10-18,102900005117209,0.736
2020-10-19,102900005117209,0.501
2020-10-20,102900005117209,0.221
2020-10-21,102900005117209,0.0
2020-10-22,102900005117209,0.159
2020-10-23,102900005117209,0.741
2020-10-24,102900005117209,0.0
2020-10-25,102900005117209,0.8140000000000001
2020-10-26,102900005117209,0.564
2020-10-27,102900005117209,0.0
2020-10-28,102900005117209,0.0
2020-10-29,102900005117209,0.346
2020-10-30,102900005117209,0.364
2020-10-31,102900005117209,0.764
2020-11-01,102900005117209,1.322
2020-11-02,102900005117209,0.173
2020-11-03,102900005117209,0.579
2020-11-04,102900005117209,0.0
2020-11-05,102900005117209,1.097
