销售日期,单品编码,销量(千克)
2020-07-01,102900005125808,4.383
2020-07-02,102900005125808,4.148
2020-07-03,102900005125808,3.935
2020-07-04,102900005125808,3.4210000000000003
2020-07-05,102900005125808,3.699
2020-07-06,102900005125808,3.064
2020-07-07,102900005125808,2.738
2020-07-08,102900005125808,3.165
2020-07-09,102900005125808,1.875
2020-07-10,102900005125808,3.835
2020-07-11,102900005125808,4.151
2020-07-12,102900005125808,5.121
2020-07-13,102900005125808,3.457
2020-07-14,102900005125808,2.997
2020-07-15,102900005125808,1.188
2020-07-16,102900005125808,2.589
2020-07-17,102900005125808,2.32
2020-07-18,102900005125808,3.644
2020-07-19,102900005125808,3.107
2020-07-20,102900005125808,2.612
2020-07-21,102900005125808,2.012
2020-07-22,102900005125808,3.675
2020-07-23,102900005125808,3.716
2020-07-24,102900005125808,3.316
2020-07-25,102900005125808,4.233
2020-07-26,102900005125808,2.802
2020-07-27,102900005125808,3.811
2020-07-28,102900005125808,2.047
2020-07-29,102900005125808,2.188
2020-07-30,102900005125808,1.802
2020-07-31,102900005125808,1.533
2020-08-01,102900005125808,3.178
2020-08-02,102900005125808,2.938
2020-08-03,102900005125808,3.535
2020-08-04,102900005125808,2.44
2020-08-05,102900005125808,3.178
2020-08-06,102900005125808,2.754
2020-08-07,102900005125808,1.855
2020-08-08,102900005125808,3.0540000000000003
2020-08-09,102900005125808,3.274
2020-08-10,102900005125808,3.3600000000000003
2020-08-11,102900005125808,2.418
2020-08-12,102900005125808,2.442
2020-08-13,102900005125808,2.941
2020-08-14,102900005125808,2.392
2020-08-15,102900005125808,4.173
2020-08-16,102900005125808,3.742
2020-08-17,102900005125808,3.803
2020-08-18,102900005125808,4.654
2020-08-19,102900005125808,3.061
2020-08-20,102900005125808,3.083
2020-08-21,102900005125808,4.25
2020-08-22,102900005125808,5.595
2020-08-23,102900005125808,4.663
2020-08-24,102900005125808,3.052
2020-08-25,102900005125808,3.724
2020-08-26,102900005125808,2.451
2020-08-27,102900005125808,3.342
2020-08-28,102900005125808,3.623
2020-08-29,102900005125808,2.061
2020-08-30,102900005125808,4.032
2020-08-31,102900005125808,5.965
2020-09-01,102900005125808,3.948
2020-09-02,102900005125808,2.946
2020-09-03,102900005125808,2.823
2020-09-04,102900005125808,3.443
2020-09-05,102900005125808,3.358
2020-09-06,102900005125808,3.654
2020-09-07,102900005125808,2.67
2020-09-08,102900005125808,1.511
2020-09-09,102900005125808,1.729
2020-09-10,102900005125808,2.021
2020-09-11,102900005125808,2.17
2020-09-12,102900005125808,3.306
2020-09-13,102900005125808,1.998
2020-09-14,102900005125808,1.546
2020-09-15,102900005125808,1.612
2020-09-16,102900005125808,1.242
2020-09-17,102900005125808,1.244
2020-09-18,102900005125808,1.353
2020-09-19,102900005125808,2.632
2020-09-20,102900005125808,3.464
2020-09-21,102900005125808,2.048
2020-09-22,102900005125808,1.787
2020-09-23,102900005125808,1.744
2020-09-24,102900005125808,1.713
2020-09-25,102900005125808,1.738
2020-09-26,102900005125808,1.486
2020-09-27,102900005125808,1.612
2020-09-28,102900005125808,0.538
2020-09-29,102900005125808,3.322
2020-09-30,102900005125808,3.256
2020-10-01,102900005125808,3.254
2020-10-02,102900005125808,2.398
2020-10-03,102900005125808,3.632
2020-10-04,102900005125808,3.5
2020-10-05,102900005125808,1.923
2020-10-06,102900005125808,1.964
2020-10-07,102900005125808,3.966
2020-10-08,102900005125808,2.82
2020-10-09,102900005125808,2.286
2020-10-10,102900005125808,2.037
2020-10-11,102900005125808,1.981
2020-10-12,102900005125808,1.738
2020-10-13,102900005125808,3.272
2020-10-14,102900005125808,2.347
2020-10-15,102900005125808,1.738
2020-10-16,102900005125808,1.275
2020-10-17,102900005125808,2.249
2020-10-18,102900005125808,3.446
2020-10-19,102900005125808,0.7070000000000001
2020-10-20,102900005125808,2.183
2020-10-21,102900005125808,2.82
2020-10-22,102900005125808,1.538
2020-10-23,102900005125808,1.77
2020-10-24,102900005125808,2.327
2020-10-25,102900005125808,2.206
2020-10-26,102900005125808,1.446
2020-10-27,102900005125808,1.158
2020-10-28,102900005125808,2.131
2020-10-29,102900005125808,1.054
2020-10-30,102900005125808,2.112
2020-10-31,102900005125808,2.454
2020-11-01,102900005125808,2.694
2020-11-02,102900005125808,2.064
2020-11-03,102900005125808,1.725
2020-11-04,102900005125808,2.084
2020-11-05,102900005125808,1.638
2020-11-06,102900005125808,1.512
2020-11-07,102900005125808,2.665
2020-11-08,102900005125808,2.918
2020-11-09,102900005125808,1.288
2020-11-10,102900005125808,1.314
2020-11-11,102900005125808,1.308
2020-11-12,102900005125808,1.198
2020-11-13,102900005125808,1.229
2020-11-14,102900005125808,3.057
2020-11-15,102900005125808,1.846
2020-11-16,102900005125808,1.711
2020-11-17,102900005125808,0.716
2020-11-18,102900005125808,2.292
2020-11-19,102900005125808,1.164
2020-11-20,102900005125808,1.862
2020-11-21,102900005125808,2.483
2020-11-22,102900005125808,1.972
2020-11-23,102900005125808,1.096
2020-11-24,102900005125808,1.225
2020-11-25,102900005125808,1.036
2020-11-26,102900005125808,1.467
2020-11-27,102900005125808,1.423
2020-11-28,102900005125808,1.056
2020-11-29,102900005125808,2.524
2020-11-30,102900005125808,1.378
2020-12-01,102900005125808,0.0
2020-12-02,102900005125808,1.163
2020-12-03,102900005125808,1.548
2020-12-04,102900005125808,1.204
2020-12-05,102900005125808,1.959
2020-12-06,102900005125808,1.917
2020-12-07,102900005125808,1.437
2020-12-08,102900005125808,1.641
2020-12-09,102900005125808,1.424
2020-12-10,102900005125808,1.812
2020-12-11,102900005125808,1.198
2020-12-12,102900005125808,2.961
2020-12-13,102900005125808,2.05
2020-12-14,102900005125808,2.808
2020-12-15,102900005125808,1.796
2020-12-16,102900005125808,1.719
2020-12-17,102900005125808,1.369
2020-12-18,102900005125808,1.547
2020-12-19,102900005125808,2.597
2020-12-20,102900005125808,2.678
2020-12-21,102900005125808,1.366
2020-12-22,102900005125808,0.986
2020-12-23,102900005125808,1.603
2020-12-24,102900005125808,1.306
2020-12-25,102900005125808,1.618
2020-12-26,102900005125808,3.54
2020-12-27,102900005125808,2.131
2020-12-28,102900005125808,1.588
2020-12-29,102900005125808,1.854
2020-12-30,102900005125808,1.27
2020-12-31,102900005125808,2.326
2021-01-01,102900005125808,2.239
2021-01-02,102900005125808,1.304
2021-01-03,102900005125808,1.415
2021-01-04,102900005125808,1.873
2021-01-05,102900005125808,1.188
2021-01-06,102900005125808,0.979
2021-01-07,102900005125808,1.384
2021-01-08,102900005125808,0.72
2021-01-09,102900005125808,0.878
2021-01-10,102900005125808,2.091
2021-01-11,102900005125808,1.867
2021-01-12,102900005125808,1.143
2021-01-13,102900005125808,1.376
2021-01-14,102900005125808,1.869
2021-01-15,102900005125808,1.033
2021-01-16,102900005125808,2.051
2021-01-17,102900005125808,2.492
2021-01-18,102900005125808,1.58
2021-01-19,102900005125808,1.338
2021-01-20,102900005125808,2.082
2021-01-21,102900005125808,1.656
2021-01-22,102900005125808,1.156
2021-01-23,102900005125808,2.472
2021-01-24,102900005125808,2.439
2021-01-25,102900005125808,1.693
2021-01-26,102900005125808,2.399
2021-01-27,102900005125808,2.631
2021-01-28,102900005125808,2.417
2021-01-29,102900005125808,1.428
2021-01-30,102900005125808,2.378
2021-01-31,102900005125808,2.291
2021-02-01,102900005125808,2.148
2021-02-02,102900005125808,0.948
2021-02-03,102900005125808,2.573
2021-02-04,102900005125808,2.687
2021-02-05,102900005125808,4.531
2021-02-06,102900005125808,3.412
2021-02-07,102900005125808,5.647
2021-02-08,102900005125808,11.002
2021-02-09,102900005125808,15.943
2021-02-10,102900005125808,30.453
2021-02-11,102900005125808,0.0
2021-02-12,102900005125808,0.0
2021-02-13,102900005125808,8.035
2021-02-14,102900005125808,11.063
2021-02-15,102900005125808,8.775
2021-02-16,102900005125808,7.788
2021-02-17,102900005125808,6.48
2021-02-18,102900005125808,4.855
2021-02-19,102900005125808,1.877
2021-02-20,102900005125808,2.258
2021-02-21,102900005125808,2.954
2021-02-22,102900005125808,2.58
2021-02-23,102900005125808,1.542
2021-02-24,102900005125808,0.765
2021-02-25,102900005125808,0.0
2021-02-26,102900005125808,2.945
2021-02-27,102900005125808,2.794
2021-02-28,102900005125808,3.21
2021-03-01,102900005125808,2.137
2021-03-02,102900005125808,1.164
2021-03-03,102900005125808,4.64
2021-03-04,102900005125808,2.212
2021-03-05,102900005125808,3.981
2021-03-06,102900005125808,5.676
2021-03-07,102900005125808,7.54
2021-03-08,102900005125808,1.786
2021-03-09,102900005125808,4.333
2021-03-10,102900005125808,3.376
2021-03-11,102900005125808,1.687
2021-03-12,102900005125808,1.938
2021-03-13,102900005125808,2.338
2021-03-14,102900005125808,2.409
2021-03-15,102900005125808,1.314
2021-03-16,102900005125808,0.693
2021-03-17,102900005125808,3.305
2021-03-18,102900005125808,1.654
2021-03-19,102900005125808,4.218
2021-03-20,102900005125808,3.544
2021-03-21,102900005125808,1.542
2021-03-22,102900005125808,0.0
2021-03-23,102900005125808,0.0
2021-03-24,102900005125808,0.0
2021-03-25,102900005125808,0.0
2021-03-26,102900005125808,0.111
2021-03-27,102900005125808,2.226
2021-03-28,102900005125808,1.14
2021-03-29,102900005125808,0.447
2021-03-30,102900005125808,1.934
2021-03-31,102900005125808,1.693
2021-04-01,102900005125808,1.602
2021-04-02,102900005125808,3.127
2021-04-03,102900005125808,4.344
2021-04-04,102900005125808,2.027
2021-04-05,102900005125808,1.789
2021-04-06,102900005125808,1.14
2021-04-07,102900005125808,2.235
2021-04-08,102900005125808,2.321
2021-04-09,102900005125808,1.751
2021-04-10,102900005125808,2.051
2021-04-11,102900005125808,1.503
2021-04-12,102900005125808,1.617
2021-04-13,102900005125808,0.774
2021-04-14,102900005125808,1.28
2021-04-15,102900005125808,1.976
2021-04-16,102900005125808,1.749
2021-04-17,102900005125808,2.657
2021-04-18,102900005125808,0.979
2021-04-19,102900005125808,1.625
2021-04-20,102900005125808,1.38
2021-04-21,102900005125808,1.911
2021-04-22,102900005125808,1.614
2021-04-23,102900005125808,2.297
2021-04-24,102900005125808,2.659
2021-04-25,102900005125808,2.699
2021-04-26,102900005125808,2.115
2021-04-27,102900005125808,1.794
2021-04-28,102900005125808,1.196
2021-04-29,102900005125808,1.753
2021-04-30,102900005125808,1.375
2021-05-01,102900005125808,3.182
2021-05-02,102900005125808,3.488
2021-05-03,102900005125808,0.106
2021-05-04,102900005125808,1.904
2021-05-05,102900005125808,2.923
2021-05-06,102900005125808,1.822
2021-05-07,102900005125808,1.412
2021-05-08,102900005125808,1.21
2021-05-09,102900005125808,3.405
2021-05-10,102900005125808,2.584
2021-05-11,102900005125808,0.8140000000000001
2021-05-12,102900005125808,3.403
2021-05-13,102900005125808,1.938
2021-05-14,102900005125808,2.335
2021-05-15,102900005125808,1.867
2021-05-16,102900005125808,4.477
2021-05-17,102900005125808,0.194
2021-05-18,102900005125808,1.865
2021-05-19,102900005125808,1.788
2021-05-20,102900005125808,1.97
2021-05-21,102900005125808,2.288
2021-05-22,102900005125808,2.5620000000000003
2021-05-23,102900005125808,1.738
2021-05-24,102900005125808,1.397
2021-05-25,102900005125808,2.178
2021-05-26,102900005125808,1.946
2021-05-27,102900005125808,1.836
2021-05-28,102900005125808,1.75
2021-05-29,102900005125808,3.288
2021-05-30,102900005125808,1.866
2021-05-31,102900005125808,0.955
2021-06-01,102900005125808,1.242
2021-06-02,102900005125808,1.378
2021-06-03,102900005125808,2.114
2021-06-04,102900005125808,1.815
2021-06-05,102900005125808,2.803
2021-06-06,102900005125808,2.743
2021-06-07,102900005125808,2.942
2021-06-08,102900005125808,2.387
2021-06-09,102900005125808,2.406
2021-06-10,102900005125808,1.45
2021-06-11,102900005125808,2.4210000000000003
2021-06-12,102900005125808,4.415
2021-06-13,102900005125808,3.352
