销售日期,单品编码,销量(千克)
2020-07-01,102900005116943,2.129
2020-07-02,102900005116943,1.679
2020-07-03,102900005116943,1.904
2020-07-04,102900005116943,1.703
2020-07-05,102900005116943,2.56
2020-07-06,102900005116943,2.014
2020-07-07,102900005116943,2.353
2020-07-08,102900005116943,2.697
2020-07-09,102900005116943,1.888
2020-07-10,102900005116943,1.841
2020-07-11,102900005116943,3.436
2020-07-12,102900005116943,2.571
2020-07-13,102900005116943,1.945
2020-07-14,102900005116943,1.52
2020-07-15,102900005116943,2.131
2020-07-16,102900005116943,1.224
2020-07-17,102900005116943,1.575
2020-07-18,102900005116943,2.202
2020-07-19,102900005116943,3.511
2020-07-20,102900005116943,1.147
2020-07-21,102900005116943,0.971
2020-07-22,102900005116943,1.339
2020-07-23,102900005116943,2.644
2020-07-24,102900005116943,1.228
2020-07-25,102900005116943,1.091
2020-07-26,102900005116943,2.121
2020-07-27,102900005116943,1.778
2020-07-28,102900005116943,1.239
2020-07-29,102900005116943,1.758
2020-07-30,102900005116943,1.608
2020-07-31,102900005116943,1.871
2020-08-01,102900005116943,1.16
2020-08-02,102900005116943,1.043
2020-08-03,102900005116943,0.941
2020-08-04,102900005116943,0.987
2020-08-05,102900005116943,1.209
2020-08-06,102900005116943,0.622
2020-08-07,102900005116943,2.012
2020-08-08,102900005116943,2.249
2020-08-09,102900005116943,2.227
2020-08-10,102900005116943,1.941
2020-08-11,102900005116943,1.299
2020-08-12,102900005116943,1.754
2020-08-13,102900005116943,1.126
2020-08-14,102900005116943,1.481
2020-08-15,102900005116943,2.154
2020-08-16,102900005116943,1.728
2020-08-17,102900005116943,1.219
2020-08-18,102900005116943,1.525
2020-08-19,102900005116943,1.31
2020-08-20,102900005116943,0.902
2020-08-21,102900005116943,1.018
2020-08-22,102900005116943,2.02
2020-08-23,102900005116943,1.746
2020-08-24,102900005116943,1.042
2020-08-25,102900005116943,1.5510000000000002
2020-08-26,102900005116943,0.931
2020-08-27,102900005116943,1.823
2020-08-28,102900005116943,1.561
2020-08-29,102900005116943,1.572
2020-08-30,102900005116943,2.33
2020-08-31,102900005116943,1.228
2020-09-01,102900005116943,1.261
2020-09-02,102900005116943,1.002
2020-09-03,102900005116943,1.028
2020-09-04,102900005116943,0.576
2020-09-05,102900005116943,2.09
2020-09-06,102900005116943,1.428
2020-09-07,102900005116943,0.672
2020-09-08,102900005116943,0.215
2020-09-09,102900005116943,0.73
2020-09-10,102900005116943,0.215
2020-09-11,102900005116943,0.172
2020-09-12,102900005116943,2.438
2020-09-13,102900005116943,2.189
2020-09-14,102900005116943,0.951
2020-09-15,102900005116943,1.387
2020-09-16,102900005116943,0.936
2020-09-17,102900005116943,1.037
2020-09-18,102900005116943,1.259
2020-09-19,102900005116943,1.4249999999999998
2020-09-20,102900005116943,2.483
2020-09-21,102900005116943,0.8939999999999999
2020-09-22,102900005116943,1.431
2020-09-23,102900005116943,1.188
2020-09-24,102900005116943,0.835
2020-09-25,102900005116943,2.363
2020-09-26,102900005116943,1.755
2020-09-27,102900005116943,2.762
2020-09-28,102900005116943,1.18
2020-09-29,102900005116943,1.108
2020-09-30,102900005116943,1.431
2020-10-01,102900005116943,2.019
2020-10-02,102900005116943,2.236
2020-10-03,102900005116943,3.644
2020-10-04,102900005116943,2.755
2020-10-05,102900005116943,1.37
2020-10-06,102900005116943,3.343
2020-10-07,102900005116943,0.98
2020-10-08,102900005116943,2.108
2020-10-09,102900005116943,0.964
2020-10-10,102900005116943,0.876
2020-10-11,102900005116943,0.782
2020-10-12,102900005116943,0.5569999999999999
2020-10-13,102900005116943,0.463
2020-10-14,102900005116943,0.89
2020-10-15,102900005116943,1.233
2020-10-16,102900005116943,0.8079999999999999
2020-10-17,102900005116943,1.245
2020-10-18,102900005116943,1.546
2020-10-19,102900005116943,2.016
2020-10-20,102900005116943,0.713
2020-10-21,102900005116943,0.245
2020-10-22,102900005116943,0.963
2020-10-23,102900005116943,0.494
2020-10-24,102900005116943,0.768
2020-10-25,102900005116943,1.012
2020-10-26,102900005116943,0.379
2020-10-27,102900005116943,0.968
2020-10-28,102900005116943,0.475
2020-10-29,102900005116943,1.162
2020-10-30,102900005116943,0.624
2020-10-31,102900005116943,1.899
2020-11-01,102900005116943,2.002
2020-11-02,102900005116943,2.256
2020-11-03,102900005116943,1.302
2020-11-04,102900005116943,0.612
2020-11-05,102900005116943,0.268
2020-11-06,102900005116943,0.869
2020-11-07,102900005116943,0.391
2020-11-08,102900005116943,0.807
2020-11-09,102900005116943,0.893
2020-11-10,102900005116943,0.4379999999999999
2020-11-11,102900005116943,1.039
2020-11-12,102900005116943,1.307
2020-11-13,102900005116943,0.711
2020-11-14,102900005116943,1.128
2020-11-15,102900005116943,2.108
2020-11-16,102900005116943,0.141
2020-11-17,102900005116943,0.315
2020-11-18,102900005116943,0.316
2020-11-19,102900005116943,0.215
2020-11-20,102900005116943,1.443
2020-11-21,102900005116943,1.494
2020-11-22,102900005116943,1.693
2020-11-23,102900005116943,0.366
2020-11-24,102900005116943,0.594
2020-11-25,102900005116943,1.134
2020-11-26,102900005116943,0.239
2020-11-27,102900005116943,0.447
2020-11-28,102900005116943,0.834
2020-11-29,102900005116943,0.695
2020-11-30,102900005116943,0.198
2020-12-01,102900005116943,0.947
