销售日期,单品编码,销量(千克)
2020-07-01,102900005116233,2.512
2020-07-02,102900005116233,3.297
2020-07-03,102900005116233,4.738
2020-07-04,102900005116233,4.948
2020-07-05,102900005116233,7.412
2020-07-06,102900005116233,4.308
2020-07-07,102900005116233,4.158
2020-07-08,102900005116233,4.67
2020-07-09,102900005116233,3.924
2020-07-10,102900005116233,2.605
2020-07-11,102900005116233,5.561
2020-07-12,102900005116233,6.251
2020-07-13,102900005116233,4.6770000000000005
2020-07-14,102900005116233,2.6630000000000003
2020-07-15,102900005116233,4.702
2020-07-16,102900005116233,4.206
2020-07-17,102900005116233,3.873
2020-07-18,102900005116233,6.696
2020-07-19,102900005116233,6.675
2020-07-20,102900005116233,2.526
2020-07-21,102900005116233,1.566
2020-07-22,102900005116233,2.829
2020-07-23,102900005116233,3.605
2020-07-24,102900005116233,2.983
2020-07-25,102900005116233,2.87
2020-07-26,102900005116233,2.748
2020-07-27,102900005116233,2.275
2020-07-28,102900005116233,2.435
2020-07-29,102900005116233,2.072
2020-07-30,102900005116233,0.97
2020-07-31,102900005116233,2.795
2020-08-01,102900005116233,3.106
2020-08-02,102900005116233,2.286
2020-08-03,102900005116233,1.601
2020-08-04,102900005116233,0.0
2020-08-05,102900005116233,1.999
2020-08-06,102900005116233,2.691
2020-08-07,102900005116233,2.698
2020-08-08,102900005116233,2.335
2020-08-09,102900005116233,2.821
2020-08-10,102900005116233,0.0
2020-08-11,102900005116233,0.0
2020-08-12,102900005116233,0.0
2020-08-13,102900005116233,1.747
2020-08-14,102900005116233,4.412
2020-08-15,102900005116233,3.352
2020-08-16,102900005116233,3.227
2020-08-17,102900005116233,3.938
2020-08-18,102900005116233,4.7090000000000005
2020-08-19,102900005116233,2.756
2020-08-20,102900005116233,5.841
2020-08-21,102900005116233,3.577
2020-08-22,102900005116233,6.121
2020-08-23,102900005116233,6.0520000000000005
2020-08-24,102900005116233,7.707
2020-08-25,102900005116233,8.023
2020-08-26,102900005116233,5.814
2020-08-27,102900005116233,4.16
2020-08-28,102900005116233,4.087
2020-08-29,102900005116233,7.456
2020-08-30,102900005116233,6.517
2020-08-31,102900005116233,10.108
2020-09-01,102900005116233,5.936
2020-09-02,102900005116233,5.848
2020-09-03,102900005116233,6.492
2020-09-04,102900005116233,3.113
2020-09-05,102900005116233,5.438
2020-09-06,102900005116233,6.046
2020-09-07,102900005116233,5.4670000000000005
2020-09-08,102900005116233,4.155
2020-09-09,102900005116233,3.464
2020-09-10,102900005116233,4.633
2020-09-11,102900005116233,6.692
2020-09-12,102900005116233,9.045
2020-09-13,102900005116233,5.282
2020-09-14,102900005116233,4.019
2020-09-15,102900005116233,4.655
2020-09-16,102900005116233,5.621
2020-09-17,102900005116233,7.336
2020-09-18,102900005116233,3.213
2020-09-19,102900005116233,12.247
2020-09-20,102900005116233,6.85
2020-09-21,102900005116233,4.112
2020-09-22,102900005116233,5.313
2020-09-23,102900005116233,3.228
2020-09-24,102900005116233,3.549
2020-09-25,102900005116233,3.4
2020-09-26,102900005116233,5.29
2020-09-27,102900005116233,4.176
2020-09-28,102900005116233,3.2910000000000004
2020-09-29,102900005116233,6.341
2020-09-30,102900005116233,5.194
2020-10-01,102900005116233,8.202
2020-10-02,102900005116233,6.191
2020-10-03,102900005116233,4.55
2020-10-04,102900005116233,4.649
2020-10-05,102900005116233,4.25
2020-10-06,102900005116233,3.977
2020-10-07,102900005116233,3.738
2020-10-08,102900005116233,4.716
2020-10-09,102900005116233,4.0
2020-10-10,102900005116233,2.692
2020-10-11,102900005116233,2.132
2020-10-12,102900005116233,1.474
2020-10-13,102900005116233,2.677
2020-10-14,102900005116233,1.838
2020-10-15,102900005116233,2.082
2020-10-16,102900005116233,3.131
2020-10-17,102900005116233,5.026
2020-10-18,102900005116233,1.338
2020-10-19,102900005116233,2.99
2020-10-20,102900005116233,3.191
2020-10-21,102900005116233,1.991
2020-10-22,102900005116233,3.23
2020-10-23,102900005116233,3.349
