销售日期,单品编码,销量(千克)
2020-07-01,102900011001219,1.953
2020-07-02,102900011001219,1.394
2020-07-03,102900011001219,2.239
2020-07-04,102900011001219,0.945
2020-07-05,102900011001219,1.282
2020-07-06,102900011001219,1.234
2020-07-07,102900011001219,1.374
2020-07-08,102900011001219,1.859
2020-07-09,102900011001219,0.156
2020-07-10,102900011001219,0.0
2020-07-11,102900011001219,1.613
2020-07-12,102900011001219,1.275
2020-07-13,102900011001219,0.718
2020-07-14,102900011001219,1.385
2020-07-15,102900011001219,0.6920000000000001
2020-07-16,102900011001219,1.934
2020-07-17,102900011001219,3.901
2020-07-18,102900011001219,2.848
2020-07-19,102900011001219,0.223
2020-07-20,102900011001219,0.924
2020-07-21,102900011001219,0.512
2020-07-22,102900011001219,2.593
2020-07-23,102900011001219,0.267
2020-07-24,102900011001219,0.0
2020-07-25,102900011001219,2.5700000000000003
2020-07-26,102900011001219,2.714
2020-07-27,102900011001219,0.45
2020-07-28,102900011001219,0.623
2020-07-29,102900011001219,1.536
2020-07-30,102900011001219,0.228
2020-07-31,102900011001219,0.234
2020-08-01,102900011001219,1.747
2020-08-02,102900011001219,1.135
2020-08-03,102900011001219,1.185
2020-08-04,102900011001219,1.527
2020-08-05,102900011001219,0.0
2020-08-06,102900011001219,0.119
2020-08-07,102900011001219,1.765
2020-08-08,102900011001219,1.083
2020-08-09,102900011001219,0.707
2020-08-10,102900011001219,0.519
2020-08-11,102900011001219,2.234
2020-08-12,102900011001219,1.232
2020-08-13,102900011001219,1.547
2020-08-14,102900011001219,1.44
2020-08-15,102900011001219,0.832
2020-08-16,102900011001219,0.169
2020-08-17,102900011001219,0.8160000000000001
2020-08-18,102900011001219,0.601
2020-08-19,102900011001219,0.0
2020-08-20,102900011001219,0.7929999999999999
2020-08-21,102900011001219,1.173
2020-08-22,102900011001219,0.21
2020-08-23,102900011001219,1.142
2020-08-24,102900011001219,0.972
2020-08-25,102900011001219,0.982
2020-08-26,102900011001219,0.752
2020-08-27,102900011001219,0.912
2020-08-28,102900011001219,0.6120000000000001
2020-08-29,102900011001219,1.212
2020-08-30,102900011001219,0.821
2020-08-31,102900011001219,0.983
2020-09-01,102900011001219,2.115
2020-09-02,102900011001219,0.361
2020-09-03,102900011001219,0.7210000000000001
2020-09-04,102900011001219,0.742
2020-09-05,102900011001219,0.0
2020-09-06,102900011001219,0.329
2020-09-07,102900011001219,0.0
2020-09-08,102900011001219,0.382
2020-09-09,102900011001219,0.482
2020-09-10,102900011001219,1.439
2020-09-11,102900011001219,0.0
2020-09-12,102900011001219,0.0
2020-09-13,102900011001219,2.204
2020-09-14,102900011001219,1.09
2020-09-15,102900011001219,0.0
2020-09-16,102900011001219,0.7669999999999999
2020-09-17,102900011001219,1.023
2020-09-18,102900011001219,0.662
2020-09-19,102900011001219,0.334
2020-09-20,102900011001219,0.623
2020-09-21,102900011001219,0.901
2020-09-22,102900011001219,0.723
2020-09-23,102900011001219,0.929
2020-09-24,102900011001219,0.306
2020-09-25,102900011001219,0.751
2020-09-26,102900011001219,1.307
2020-09-27,102900011001219,0.373
2020-09-28,102900011001219,0.639
2020-09-29,102900011001219,0.334
2020-09-30,102900011001219,1.169
2020-10-01,102900011001219,0.5840000000000001
2020-10-02,102900011001219,1.563
2020-10-03,102900011001219,0.245
2020-10-04,102900011001219,0.984
2020-10-05,102900011001219,0.562
