销售日期,单品编码,销量(千克)
2020-07-01,102900011000328,0.0
2020-07-02,102900011000328,5.844
2020-07-03,102900011000328,9.099
2020-07-04,102900011000328,10.682
2020-07-05,102900011000328,15.638
2020-07-06,102900011000328,10.36
2020-07-07,102900011000328,11.96
2020-07-08,102900011000328,20.043
2020-07-09,102900011000328,9.917
2020-07-10,102900011000328,21.339
2020-07-11,102900011000328,36.705
2020-07-12,102900011000328,6.255
2020-07-13,102900011000328,11.827
2020-07-14,102900011000328,21.389
2020-07-15,102900011000328,19.574
2020-07-16,102900011000328,19.027
2020-07-17,102900011000328,11.549
2020-07-18,102900011000328,26.28
2020-07-19,102900011000328,33.845
2020-07-20,102900011000328,21.283
2020-07-21,102900011000328,12.988
2020-07-22,102900011000328,34.669000000000004
2020-07-23,102900011000328,10.339
2020-07-24,102900011000328,7.431
2020-07-25,102900011000328,12.295
2020-07-26,102900011000328,13.76
2020-07-27,102900011000328,13.287
2020-07-28,102900011000328,8.986
2020-07-29,102900011000328,13.134
2020-07-30,102900011000328,23.952
2020-07-31,102900011000328,15.704
2020-08-01,102900011000328,12.079
2020-08-02,102900011000328,11.218
2020-08-03,102900011000328,8.645999999999999
2020-08-04,102900011000328,6.23
2020-08-05,102900011000328,18.929
2020-08-06,102900011000328,11.781
2020-08-07,102900011000328,9.788
2020-08-08,102900011000328,13.76
2020-08-09,102900011000328,18.588
2020-08-10,102900011000328,11.481
2020-08-11,102900011000328,11.882
2020-08-12,102900011000328,16.493
2020-08-13,102900011000328,14.251
2020-08-14,102900011000328,16.879
2020-08-15,102900011000328,11.655
2020-08-16,102900011000328,17.973
2020-08-17,102900011000328,13.371
2020-08-18,102900011000328,17.148
2020-08-19,102900011000328,13.295
2020-08-20,102900011000328,6.872
2020-08-21,102900011000328,14.639
2020-08-22,102900011000328,15.62
2020-08-23,102900011000328,15.187
2020-08-24,102900011000328,13.031
2020-08-25,102900011000328,10.201
2020-08-26,102900011000328,9.929
2020-08-27,102900011000328,11.819
2020-08-28,102900011000328,6.655
2020-08-29,102900011000328,12.898
2020-08-30,102900011000328,9.999
2020-08-31,102900011000328,11.325
2020-09-01,102900011000328,4.467
2020-09-02,102900011000328,5.167
2020-09-03,102900011000328,5.4270000000000005
2020-09-04,102900011000328,6.595
2020-09-05,102900011000328,3.728
2020-09-06,102900011000328,18.454
2020-09-07,102900011000328,5.781000000000001
2020-09-08,102900011000328,4.41
2020-09-09,102900011000328,3.4770000000000003
2020-09-10,102900011000328,4.828
2020-09-11,102900011000328,5.55
2020-09-12,102900011000328,9.764
2020-09-13,102900011000328,15.404
2020-09-14,102900011000328,8.126
2020-09-15,102900011000328,6.34
2020-09-16,102900011000328,7.699
2020-09-17,102900011000328,6.914
2020-09-18,102900011000328,7.632
2020-09-19,102900011000328,8.015
2020-09-20,102900011000328,19.71
2020-09-21,102900011000328,10.97
2020-09-22,102900011000328,12.34
2020-09-23,102900011000328,7.932
2020-09-24,102900011000328,7.84
2020-09-25,102900011000328,7.697
2020-09-26,102900011000328,4.734
2020-09-27,102900011000328,4.675
2020-09-28,102900011000328,4.589
2020-09-29,102900011000328,3.865
2020-09-30,102900011000328,5.492
2020-10-01,102900011000328,9.509
2020-10-02,102900011000328,11.323
2020-10-03,102900011000328,9.525
2020-10-04,102900011000328,6.6770000000000005
2020-10-05,102900011000328,10.645
2020-10-06,102900011000328,7.705
2020-10-07,102900011000328,3.858
2020-10-08,102900011000328,7.523
2020-10-09,102900011000328,8.966
2020-10-10,102900011000328,5.134
2020-10-11,102900011000328,6.077
2020-10-12,102900011000328,5.443
2020-10-13,102900011000328,3.807
2020-10-14,102900011000328,5.134
2020-10-15,102900011000328,2.769
2020-10-16,102900011000328,3.225
2020-10-17,102900011000328,7.088
2020-10-18,102900011000328,6.453
2020-10-19,102900011000328,2.911
2020-10-20,102900011000328,3.892
2020-10-21,102900011000328,5.523
2020-10-22,102900011000328,3.363
2020-10-23,102900011000328,2.898
