销售日期,单品编码,销量(千克)
2020-07-01,102900005116226,2.844
2020-07-02,102900005116226,1.6669999999999998
2020-07-03,102900005116226,2.331
2020-07-04,102900005116226,3.948
2020-07-05,102900005116226,3.535
2020-07-06,102900005116226,3.896
2020-07-07,102900005116226,3.784
2020-07-08,102900005116226,5.554
2020-07-09,102900005116226,3.058
2020-07-10,102900005116226,2.933
2020-07-11,102900005116226,0.0
2020-07-12,102900005116226,3.524
2020-07-13,102900005116226,3.447
2020-07-14,102900005116226,2.608
2020-07-15,102900005116226,4.662
2020-07-16,102900005116226,2.467
2020-07-17,102900005116226,2.996
2020-07-18,102900005116226,2.706
2020-07-19,102900005116226,3.4250000000000003
2020-07-20,102900005116226,4.111
2020-07-21,102900005116226,3.471
2020-07-22,102900005116226,3.016
2020-07-23,102900005116226,2.977
2020-07-24,102900005116226,2.7960000000000003
2020-07-25,102900005116226,1.769
2020-07-26,102900005116226,3.815
2020-07-27,102900005116226,3.168
2020-07-28,102900005116226,3.707
2020-07-29,102900005116226,1.794
2020-07-30,102900005116226,3.142
2020-07-31,102900005116226,3.576
2020-08-01,102900005116226,3.512
2020-08-02,102900005116226,2.692
2020-08-03,102900005116226,3.233
2020-08-04,102900005116226,2.217
2020-08-05,102900005116226,0.0
2020-08-06,102900005116226,3.383
2020-08-07,102900005116226,2.456
2020-08-08,102900005116226,0.0
2020-08-09,102900005116226,3.728
2020-08-10,102900005116226,3.371
2020-08-11,102900005116226,2.369
2020-08-12,102900005116226,2.795
2020-08-13,102900005116226,2.005
2020-08-14,102900005116226,3.233
2020-08-15,102900005116226,4.061
2020-08-16,102900005116226,3.861
2020-08-17,102900005116226,3.572
2020-08-18,102900005116226,4.233
2020-08-19,102900005116226,4.817
2020-08-20,102900005116226,3.98
2020-08-21,102900005116226,4.275
2020-08-22,102900005116226,5.118
2020-08-23,102900005116226,4.917
2020-08-24,102900005116226,3.713
2020-08-25,102900005116226,4.099
2020-08-26,102900005116226,4.786
2020-08-27,102900005116226,3.626
2020-08-28,102900005116226,1.247
2020-08-29,102900005116226,3.597
2020-08-30,102900005116226,6.492
2020-08-31,102900005116226,1.663
2020-09-01,102900005116226,4.328
2020-09-02,102900005116226,2.092
2020-09-03,102900005116226,2.7070000000000003
2020-09-04,102900005116226,0.751
2020-09-05,102900005116226,3.532
2020-09-06,102900005116226,3.247
2020-09-07,102900005116226,2.071
2020-09-08,102900005116226,2.538
2020-09-09,102900005116226,3.173
2020-09-10,102900005116226,3.072
2020-09-11,102900005116226,3.047
2020-09-12,102900005116226,1.377
2020-09-13,102900005116226,0.968
2020-09-14,102900005116226,1.653
2020-09-15,102900005116226,0.843
2020-09-16,102900005116226,2.078
2020-09-17,102900005116226,1.519
2020-09-18,102900005116226,0.618
2020-09-19,102900005116226,2.162
2020-09-20,102900005116226,2.805
2020-09-21,102900005116226,1.524
2020-09-22,102900005116226,0.651
2020-09-23,102900005116226,1.646
2020-09-24,102900005116226,0.407
2020-09-25,102900005116226,1.646
2020-09-26,102900005116226,1.22
2020-09-27,102900005116226,1.076
2020-09-28,102900005116226,1.724
2020-09-29,102900005116226,1.873
2020-09-30,102900005116226,2.182
2020-10-01,102900005116226,1.732
2020-10-02,102900005116226,2.217
2020-10-03,102900005116226,1.854
2020-10-04,102900005116226,1.731
2020-10-05,102900005116226,0.408
2020-10-06,102900005116226,0.737
2020-10-07,102900005116226,2.369
