销售日期,单品编码,销量(千克)
2020-07-01,102900051004294,5.51
2020-07-02,102900051004294,4.721
2020-07-03,102900051004294,4.706
2020-07-04,102900051004294,8.509
2020-07-05,102900051004294,8.475
2020-07-06,102900051004294,5.11
2020-07-07,102900051004294,4.226
2020-07-08,102900051004294,3.772
2020-07-09,102900051004294,4.951
2020-07-10,102900051004294,3.877
2020-07-11,102900051004294,6.508
2020-07-12,102900051004294,6.22
2020-07-13,102900051004294,4.516
2020-07-14,102900051004294,3.549
2020-07-15,102900051004294,3.764
2020-07-16,102900051004294,5.059
2020-07-17,102900051004294,4.361
2020-07-18,102900051004294,8.258000000000001
2020-07-19,102900051004294,5.067
2020-07-20,102900051004294,3.532
2020-07-21,102900051004294,4.241
2020-07-22,102900051004294,3.222
2020-07-23,102900051004294,5.01
2020-07-24,102900051004294,3.848
2020-07-25,102900051004294,3.456
2020-07-26,102900051004294,5.779
2020-07-27,102900051004294,3.957
2020-07-28,102900051004294,4.376
2020-07-29,102900051004294,2.4290000000000003
2020-07-30,102900051004294,2.955
2020-07-31,102900051004294,4.399
2020-08-01,102900051004294,4.178
2020-08-02,102900051004294,6.363
2020-08-03,102900051004294,2.381
2020-08-04,102900051004294,5.267
2020-08-05,102900051004294,4.141
2020-08-06,102900051004294,4.617
2020-08-07,102900051004294,4.115
2020-08-08,102900051004294,3.165
2020-08-09,102900051004294,4.2860000000000005
2020-08-10,102900051004294,4.134
2020-08-11,102900051004294,5.165
2020-08-12,102900051004294,6.18
2020-08-13,102900051004294,4.16
2020-08-14,102900051004294,4.851
2020-08-15,102900051004294,5.353
2020-08-16,102900051004294,7.144
2020-08-17,102900051004294,5.382
2020-08-18,102900051004294,4.939
2020-08-19,102900051004294,4.925
2020-08-20,102900051004294,5.227
2020-08-21,102900051004294,6.667
2020-08-22,102900051004294,5.113
2020-08-23,102900051004294,4.949
2020-08-24,102900051004294,6.256
2020-08-25,102900051004294,7.533
2020-08-26,102900051004294,4.448
2020-08-27,102900051004294,5.188
2020-08-28,102900051004294,4.487
2020-08-29,102900051004294,1.14
2020-08-30,102900051004294,5.992
2020-08-31,102900051004294,2.566
2020-09-01,102900051004294,1.925
2020-09-02,102900051004294,2.87
2020-09-03,102900051004294,5.769
2020-09-04,102900051004294,5.104
2020-09-05,102900051004294,5.667
2020-09-06,102900051004294,4.084
2020-09-07,102900051004294,1.973
2020-09-08,102900051004294,4.828
2020-09-09,102900051004294,0.0
2020-09-10,102900051004294,2.8200000000000003
2020-09-11,102900051004294,3.647
2020-09-12,102900051004294,4.735
2020-09-13,102900051004294,4.047
2020-09-14,102900051004294,1.543
2020-09-15,102900051004294,2.563
2020-09-16,102900051004294,3.256
2020-09-17,102900051004294,4.117
2020-09-18,102900051004294,2.205
2020-09-19,102900051004294,5.85
2020-09-20,102900051004294,6.104
2020-09-21,102900051004294,5.193
2020-09-22,102900051004294,3.899
2020-09-23,102900051004294,4.116
2020-09-24,102900051004294,3.726
2020-09-25,102900051004294,4.636
2020-09-26,102900051004294,4.2620000000000005
2020-09-27,102900051004294,4.085
2020-09-28,102900051004294,2.338
2020-09-29,102900051004294,3.715
2020-09-30,102900051004294,5.127
2020-10-01,102900051004294,4.627
2020-10-02,102900051004294,5.976
2020-10-03,102900051004294,5.245
2020-10-04,102900051004294,4.501
2020-10-05,102900051004294,4.694
2020-10-06,102900051004294,4.393
2020-10-07,102900051004294,4.491
2020-10-08,102900051004294,6.147
2020-10-09,102900051004294,3.626
2020-10-10,102900051004294,5.491
2020-10-11,102900051004294,6.261
2020-10-12,102900051004294,3.617
2020-10-13,102900051004294,3.373
2020-10-14,102900051004294,3.545
2020-10-15,102900051004294,4.678
2020-10-16,102900051004294,5.821
2020-10-17,102900051004294,4.859
2020-10-18,102900051004294,6.331
2020-10-19,102900051004294,4.369
2020-10-20,102900051004294,2.915
2020-10-21,102900051004294,3.672
2020-10-22,102900051004294,3.5420000000000003
2020-10-23,102900051004294,2.247
2020-10-24,102900051004294,7.715
2020-10-25,102900051004294,5.829000000000001
2020-10-26,102900051004294,2.164
2020-10-27,102900051004294,3.341
2020-10-28,102900051004294,3.978
2020-10-29,102900051004294,2.638
2020-10-30,102900051004294,2.232
2020-10-31,102900051004294,3.934
2020-11-01,102900051004294,2.706
2020-11-02,102900051004294,2.569
2020-11-03,102900051004294,1.416
2020-11-04,102900051004294,0.717
2020-11-05,102900051004294,2.668
2020-11-06,102900051004294,1.612
2020-11-07,102900051004294,3.87
2020-11-08,102900051004294,4.986
2020-11-09,102900051004294,2.597
2020-11-10,102900051004294,2.431
2020-11-11,102900051004294,5.538
2020-11-12,102900051004294,2.697
2020-11-13,102900051004294,3.557
2020-11-14,102900051004294,6.295
2020-11-15,102900051004294,4.099
2020-11-16,102900051004294,1.91
2020-11-17,102900051004294,2.053
2020-11-18,102900051004294,2.253
2020-11-19,102900051004294,1.459
2020-11-20,102900051004294,3.29
2020-11-21,102900051004294,4.464
2020-11-22,102900051004294,3.836
2020-11-23,102900051004294,2.51
2020-11-24,102900051004294,2.39
2020-11-25,102900051004294,2.826
2020-11-26,102900051004294,2.404
2020-11-27,102900051004294,2.576
2020-11-28,102900051004294,3.463
2020-11-29,102900051004294,4.419
2020-11-30,102900051004294,3.377
2020-12-01,102900051004294,3.218
2020-12-02,102900051004294,2.77
2020-12-03,102900051004294,2.997
2020-12-04,102900051004294,3.49
2020-12-05,102900051004294,3.198
2020-12-06,102900051004294,3.954
2020-12-07,102900051004294,2.146
2020-12-08,102900051004294,2.669
2020-12-09,102900051004294,2.133
2020-12-10,102900051004294,2.662
2020-12-11,102900051004294,3.193
2020-12-12,102900051004294,3.268
2020-12-13,102900051004294,3.613
2020-12-14,102900051004294,3.647
2020-12-15,102900051004294,2.856
2020-12-16,102900051004294,2.659
2020-12-17,102900051004294,1.224
2020-12-18,102900051004294,2.38
2020-12-19,102900051004294,3.74
2020-12-20,102900051004294,3.641
2020-12-21,102900051004294,0.667
2020-12-22,102900051004294,1.576
2020-12-23,102900051004294,0.851
2020-12-24,102900051004294,2.268
2020-12-25,102900051004294,3.216
