销售日期,单品编码,销量(千克)
2020-07-01,102900005119944,0.783
2020-07-02,102900005119944,2.254
2020-07-03,102900005119944,1.816
2020-07-04,102900005119944,1.378
2020-07-05,102900005119944,0.0
2020-07-06,102900005119944,1.202
2020-07-07,102900005119944,2.216
2020-07-08,102900005119944,1.639
2020-07-09,102900005119944,1.543
2020-07-10,102900005119944,1.858
2020-07-11,102900005119944,2.192
2020-07-12,102900005119944,2.108
2020-07-13,102900005119944,2.035
2020-07-14,102900005119944,1.141
2020-07-15,102900005119944,1.875
2020-07-16,102900005119944,1.897
2020-07-17,102900005119944,2.108
2020-07-18,102900005119944,1.953
2020-07-19,102900005119944,2.315
2020-07-20,102900005119944,1.653
2020-07-21,102900005119944,1.574
2020-07-22,102900005119944,1.774
2020-07-23,102900005119944,1.564
2020-07-24,102900005119944,2.175
2020-07-25,102900005119944,2.103
2020-07-26,102900005119944,2.242
2020-07-27,102900005119944,2.074
2020-07-28,102900005119944,1.607
2020-07-29,102900005119944,1.487
2020-07-30,102900005119944,1.524
2020-07-31,102900005119944,0.846
2020-08-01,102900005119944,1.129
2020-08-02,102900005119944,1.124
2020-08-03,102900005119944,1.475
2020-08-04,102900005119944,1.261
2020-08-05,102900005119944,2.104
2020-08-06,102900005119944,1.212
2020-08-07,102900005119944,1.635
2020-08-08,102900005119944,1.968
2020-08-09,102900005119944,3.498
2020-08-10,102900005119944,2.048
2020-08-11,102900005119944,2.118
2020-08-12,102900005119944,2.253
2020-08-13,102900005119944,1.947
2020-08-14,102900005119944,2.003
2020-08-15,102900005119944,1.5670000000000002
2020-08-16,102900005119944,2.203
2020-08-17,102900005119944,3.817
2020-08-18,102900005119944,0.0
2020-08-19,102900005119944,1.3010000000000002
2020-08-20,102900005119944,2.041
2020-08-21,102900005119944,1.974
2020-08-22,102900005119944,3.428
2020-08-23,102900005119944,1.741
2020-08-24,102900005119944,1.77
2020-08-25,102900005119944,2.092
2020-08-26,102900005119944,1.257
2020-08-27,102900005119944,1.641
2020-08-28,102900005119944,1.748
2020-08-29,102900005119944,1.564
2020-08-30,102900005119944,1.814
2020-08-31,102900005119944,3.241
2020-09-01,102900005119944,1.269
2020-09-02,102900005119944,1.891
2020-09-03,102900005119944,1.251
2020-09-04,102900005119944,2.609
2020-09-05,102900005119944,2.5540000000000003
2020-09-06,102900005119944,3.656
2020-09-07,102900005119944,0.683
2020-09-08,102900005119944,2.23
2020-09-09,102900005119944,1.04
2020-09-10,102900005119944,0.8350000000000001
2020-09-11,102900005119944,3.087
2020-09-12,102900005119944,1.637
2020-09-13,102900005119944,1.507
2020-09-14,102900005119944,1.88
2020-09-15,102900005119944,1.758
2020-09-16,102900005119944,1.347
2020-09-17,102900005119944,1.581
2020-09-18,102900005119944,1.434
