销售日期,单品编码,销量(千克)
2020-07-01,102900005116530,7.693
2020-07-02,102900005116530,17.345
2020-07-03,102900005116530,15.29
2020-07-04,102900005116530,14.532
2020-07-05,102900005116530,18.406
2020-07-06,102900005116530,13.35
2020-07-07,102900005116530,14.533
2020-07-08,102900005116530,14.827
2020-07-09,102900005116530,10.544
2020-07-10,102900005116530,10.17
2020-07-11,102900005116530,19.213
2020-07-12,102900005116530,15.752
2020-07-13,102900005116530,13.317
2020-07-14,102900005116530,12.269
2020-07-15,102900005116530,7.755
2020-07-16,102900005116530,15.428
2020-07-17,102900005116530,15.599
2020-07-18,102900005116530,22.662
2020-07-19,102900005116530,33.406
2020-07-20,102900005116530,13.335
2020-07-21,102900005116530,11.977
2020-07-22,102900005116530,15.095
2020-07-23,102900005116530,10.538
2020-07-24,102900005116530,12.286
2020-07-25,102900005116530,19.229
2020-07-26,102900005116530,23.106
2020-07-27,102900005116530,15.158
2020-07-28,102900005116530,12.207
2020-07-29,102900005116530,14.093
2020-07-30,102900005116530,11.704
2020-07-31,102900005116530,10.265
2020-08-01,102900005116530,16.685
2020-08-02,102900005116530,10.957
2020-08-03,102900005116530,14.529
2020-08-04,102900005116530,12.721
2020-08-05,102900005116530,18.094
2020-08-06,102900005116530,13.599
2020-08-07,102900005116530,17.867
2020-08-08,102900005116530,15.141
2020-08-09,102900005116530,30.26
2020-08-10,102900005116530,11.581
2020-08-11,102900005116530,11.182
2020-08-12,102900005116530,10.717
2020-08-13,102900005116530,10.53
2020-08-14,102900005116530,10.48
2020-08-15,102900005116530,14.662
2020-08-16,102900005116530,16.105999999999998
2020-08-17,102900005116530,8.489
2020-08-18,102900005116530,10.522
2020-08-19,102900005116530,13.837
2020-08-20,102900005116530,13.159
2020-08-21,102900005116530,12.851
2020-08-22,102900005116530,11.61
2020-08-23,102900005116530,14.952
2020-08-24,102900005116530,9.491
2020-08-25,102900005116530,12.489
2020-08-26,102900005116530,12.263
2020-08-27,102900005116530,9.396
2020-08-28,102900005116530,11.118
2020-08-29,102900005116530,12.337
2020-08-30,102900005116530,13.612
2020-08-31,102900005116530,11.158
2020-09-01,102900005116530,9.87
2020-09-02,102900005116530,9.589
2020-09-03,102900005116530,9.921
2020-09-04,102900005116530,11.174
2020-09-05,102900005116530,14.957
2020-09-06,102900005116530,15.295
2020-09-07,102900005116530,8.362
2020-09-08,102900005116530,10.857
2020-09-09,102900005116530,9.715
2020-09-10,102900005116530,9.273
2020-09-11,102900005116530,11.877
2020-09-12,102900005116530,15.645
2020-09-13,102900005116530,25.428
2020-09-14,102900005116530,10.757
2020-09-15,102900005116530,11.045
2020-09-16,102900005116530,9.181
2020-09-17,102900005116530,6.109
2020-09-18,102900005116530,9.556
2020-09-19,102900005116530,11.004
2020-09-20,102900005116530,12.811
2020-09-21,102900005116530,9.967
2020-09-22,102900005116530,15.129
2020-09-23,102900005116530,7.709
2020-09-24,102900005116530,13.37
2020-09-25,102900005116530,12.095
2020-09-26,102900005116530,17.196
2020-09-27,102900005116530,12.636
2020-09-28,102900005116530,11.822
2020-09-29,102900005116530,10.186
2020-09-30,102900005116530,35.064
2020-10-01,102900005116530,38.695
2020-10-02,102900005116530,16.372
2020-10-03,102900005116530,15.799
2020-10-04,102900005116530,9.716
2020-10-05,102900005116530,21.463
2020-10-06,102900005116530,17.258
2020-10-07,102900005116530,23.477
2020-10-08,102900005116530,14.098
2020-10-09,102900005116530,8.826
2020-10-10,102900005116530,21.722
2020-10-11,102900005116530,6.873
2020-10-12,102900005116530,7.061
2020-10-13,102900005116530,8.959
2020-10-14,102900005116530,13.565
2020-10-15,102900005116530,11.563
2020-10-16,102900005116530,19.952
2020-10-17,102900005116530,38.144
2020-10-18,102900005116530,45.805
2020-10-19,102900005116530,10.913
2020-10-20,102900005116530,9.234
2020-10-21,102900005116530,11.996
2020-10-22,102900005116530,34.885
2020-10-23,102900005116530,35.652
2020-10-24,102900005116530,21.246
2020-10-25,102900005116530,19.511
2020-10-26,102900005116530,12.406
2020-10-27,102900005116530,11.326
2020-10-28,102900005116530,13.792
2020-10-29,102900005116530,12.781
2020-10-30,102900005116530,17.127
2020-10-31,102900005116530,39.348
2020-11-01,102900005116530,36.332
2020-11-02,102900005116530,14.778
2020-11-03,102900005116530,11.695
2020-11-04,102900005116530,10.114
2020-11-05,102900005116530,13.285
2020-11-06,102900005116530,12.051
2020-11-07,102900005116530,38.902
2020-11-08,102900005116530,43.403
2020-11-09,102900005116530,11.328
2020-11-10,102900005116530,11.671
2020-11-11,102900005116530,6.531
2020-11-12,102900005116530,4.777
2020-11-13,102900005116530,9.366
2020-11-14,102900005116530,17.113
2020-11-15,102900005116530,5.158
2020-11-16,102900005116530,3.932
2020-11-17,102900005116530,2.629
2020-11-18,102900005116530,5.526
2020-11-19,102900005116530,8.478
2020-11-20,102900005116530,2.6630000000000003
2020-11-21,102900005116530,11.103
2020-11-22,102900005116530,0.465
2020-11-23,102900005116530,5.7010000000000005
2020-11-24,102900005116530,6.729
2020-11-25,102900005116530,5.745
2020-11-26,102900005116530,6.023
2020-11-27,102900005116530,9.808
2020-11-28,102900005116530,8.758000000000001
2020-11-29,102900005116530,7.661
2020-11-30,102900005116530,4.843
2020-12-01,102900005116530,11.57
2020-12-02,102900005116530,30.014
2020-12-03,102900005116530,26.492
2020-12-04,102900005116530,22.295
2020-12-05,102900005116530,32.901
2020-12-06,102900005116530,44.006
2020-12-07,102900005116530,17.505
2020-12-08,102900005116530,20.565
2020-12-09,102900005116530,23.836
2020-12-10,102900005116530,22.108
2020-12-11,102900005116530,14.902
2020-12-12,102900005116530,35.408
2020-12-13,102900005116530,33.804
2020-12-14,102900005116530,19.4
2020-12-15,102900005116530,23.134
2020-12-16,102900005116530,15.921
2020-12-17,102900005116530,25.43
2020-12-18,102900005116530,26.287
2020-12-19,102900005116530,41.546
2020-12-20,102900005116530,36.251
2020-12-21,102900005116530,28.482
2020-12-22,102900005116530,18.902
2020-12-23,102900005116530,14.246
2020-12-24,102900005116530,14.253
2020-12-25,102900005116530,53.037
2020-12-26,102900005116530,32.9
2020-12-27,102900005116530,41.518
2020-12-28,102900005116530,17.289
2020-12-29,102900005116530,15.989
2020-12-30,102900005116530,14.453
2020-12-31,102900005116530,23.186
2021-01-01,102900005116530,30.684
2021-01-02,102900005116530,24.013
2021-01-03,102900005116530,24.028
2021-01-04,102900005116530,17.813
2021-01-05,102900005116530,21.113
2021-01-06,102900005116530,22.354
2021-01-07,102900005116530,31.837
2021-01-08,102900005116530,24.013
2021-01-09,102900005116530,33.55
2021-01-10,102900005116530,39.233
2021-01-11,102900005116530,20.015
2021-01-12,102900005116530,20.751
2021-01-13,102900005116530,23.714
2021-01-14,102900005116530,27.805
2021-01-15,102900005116530,32.044
2021-01-16,102900005116530,39.637
2021-01-17,102900005116530,28.837
2021-01-18,102900005116530,15.404
2021-01-19,102900005116530,11.349
2021-01-20,102900005116530,18.13
2021-01-21,102900005116530,9.835
2021-01-22,102900005116530,0.511
2021-01-23,102900005116530,0.0
2021-01-24,102900005116530,4.067
2021-01-25,102900005116530,4.1370000000000005
2021-01-26,102900005116530,36.048
2021-01-27,102900005116530,35.615
2021-01-28,102900005116530,0.215
2021-01-29,102900005116530,0.0
2021-01-30,102900005116530,0.0
2021-01-31,102900005116530,0.0
2021-02-01,102900005116530,0.0
2021-02-02,102900005116530,0.05
2021-02-03,102900005116530,0.0
2021-02-04,102900005116530,0.239
2021-02-05,102900005116530,0.345
2021-02-06,102900005116530,0.0
2021-02-07,102900005116530,0.0
2021-02-08,102900005116530,0.0
2021-02-09,102900005116530,0.0
2021-02-10,102900005116530,0.0
2021-02-11,102900005116530,0.0
2021-02-12,102900005116530,0.0
2021-02-13,102900005116530,0.0
2021-02-14,102900005116530,0.485
2021-02-15,102900005116530,0.0
2021-02-16,102900005116530,0.0
2021-02-17,102900005116530,0.0
2021-02-18,102900005116530,25.094
2021-02-19,102900005116530,0.0
2021-02-20,102900005116530,0.234
2021-02-21,102900005116530,0.0
2021-02-22,102900005116530,0.0
2021-02-23,102900005116530,0.0
2021-02-24,102900005116530,0.0
2021-02-25,102900005116530,0.0
2021-02-26,102900005116530,0.0
2021-02-27,102900005116530,3.98
2021-02-28,102900005116530,16.038
2021-03-01,102900005116530,17.563
2021-03-02,102900005116530,16.808
2021-03-03,102900005116530,10.535
2021-03-04,102900005116530,9.932
2021-03-05,102900005116530,16.959
2021-03-06,102900005116530,33.633
2021-03-07,102900005116530,24.545
2021-03-08,102900005116530,20.482
2021-03-09,102900005116530,17.194
2021-03-10,102900005116530,13.865
2021-03-11,102900005116530,0.332
2021-03-12,102900005116530,0.507
2021-03-13,102900005116530,18.924
2021-03-14,102900005116530,12.856
2021-03-15,102900005116530,5.546
2021-03-16,102900005116530,7.963
2021-03-17,102900005116530,11.204
2021-03-18,102900005116530,10.341
2021-03-19,102900005116530,20.484
2021-03-20,102900005116530,16.621
2021-03-21,102900005116530,14.685
2021-03-22,102900005116530,11.204
2021-03-23,102900005116530,10.554
2021-03-24,102900005116530,8.91
2021-03-25,102900005116530,9.37
2021-03-26,102900005116530,13.383
2021-03-27,102900005116530,15.061
2021-03-28,102900005116530,10.408
2021-03-29,102900005116530,10.886
2021-03-30,102900005116530,10.966
2021-03-31,102900005116530,9.11
2021-04-01,102900005116530,11.47
2021-04-02,102900005116530,16.922
2021-04-03,102900005116530,19.481
2021-04-04,102900005116530,14.863
2021-04-05,102900005116530,14.772
2021-04-06,102900005116530,4.222
2021-04-07,102900005116530,7.432
2021-04-08,102900005116530,8.431000000000001
2021-04-09,102900005116530,11.128
2021-04-10,102900005116530,17.048000000000002
2021-04-11,102900005116530,13.088
2021-04-12,102900005116530,4.951
2021-04-13,102900005116530,5.784
2021-04-14,102900005116530,6.654
2021-04-15,102900005116530,8.043
2021-04-16,102900005116530,8.185
2021-04-17,102900005116530,17.188
2021-04-18,102900005116530,11.905
2021-04-19,102900005116530,10.859
2021-04-20,102900005116530,10.962
2021-04-21,102900005116530,6.741
2021-04-22,102900005116530,5.295
