销售日期,单品编码,销量(千克)
2020-07-01,102900005116547,13.863
2020-07-02,102900005116547,17.208000000000002
2020-07-03,102900005116547,14.633
2020-07-04,102900005116547,16.702
2020-07-05,102900005116547,18.991
2020-07-06,102900005116547,11.911
2020-07-07,102900005116547,16.797
2020-07-08,102900005116547,14.446
2020-07-09,102900005116547,14.091
2020-07-10,102900005116547,12.457
2020-07-11,102900005116547,15.078
2020-07-12,102900005116547,13.172
2020-07-13,102900005116547,12.811
2020-07-14,102900005116547,13.652
2020-07-15,102900005116547,12.858
2020-07-16,102900005116547,15.697
2020-07-17,102900005116547,15.545
2020-07-18,102900005116547,19.481
2020-07-19,102900005116547,19.546
2020-07-20,102900005116547,14.32
2020-07-21,102900005116547,13.607
2020-07-22,102900005116547,18.855
2020-07-23,102900005116547,18.106
2020-07-24,102900005116547,10.405
2020-07-25,102900005116547,18.421
2020-07-26,102900005116547,18.969
2020-07-27,102900005116547,16.224
2020-07-28,102900005116547,14.589
2020-07-29,102900005116547,16.674
2020-07-30,102900005116547,15.161
2020-07-31,102900005116547,11.524
2020-08-01,102900005116547,13.6
2020-08-02,102900005116547,17.546
2020-08-03,102900005116547,13.178
2020-08-04,102900005116547,14.069
2020-08-05,102900005116547,15.041
2020-08-06,102900005116547,13.491
2020-08-07,102900005116547,7.366
2020-08-08,102900005116547,16.216
2020-08-09,102900005116547,11.976
2020-08-10,102900005116547,12.167
2020-08-11,102900005116547,14.982
2020-08-12,102900005116547,6.396
2020-08-13,102900005116547,11.838
2020-08-14,102900005116547,13.069
2020-08-15,102900005116547,14.029
2020-08-16,102900005116547,13.418
2020-08-17,102900005116547,12.346
2020-08-18,102900005116547,12.435
2020-08-19,102900005116547,12.596
2020-08-20,102900005116547,9.561
2020-08-21,102900005116547,12.738
2020-08-22,102900005116547,13.14
2020-08-23,102900005116547,12.98
2020-08-24,102900005116547,8.498
2020-08-25,102900005116547,14.581
2020-08-26,102900005116547,9.941
2020-08-27,102900005116547,14.031
2020-08-28,102900005116547,11.185
2020-08-29,102900005116547,14.88
2020-08-30,102900005116547,14.039
2020-08-31,102900005116547,12.997
2020-09-01,102900005116547,13.2
2020-09-02,102900005116547,10.02
2020-09-03,102900005116547,9.62
2020-09-04,102900005116547,12.858
2020-09-05,102900005116547,12.857
2020-09-06,102900005116547,14.713
2020-09-07,102900005116547,13.047
2020-09-08,102900005116547,5.571
2020-09-09,102900005116547,3.89
2020-09-10,102900005116547,8.572000000000001
2020-09-11,102900005116547,8.621
2020-09-12,102900005116547,14.265
2020-09-13,102900005116547,15.009
2020-09-14,102900005116547,7.54
2020-09-15,102900005116547,9.092
2020-09-16,102900005116547,8.722
2020-09-17,102900005116547,4.088
2020-09-18,102900005116547,2.732
2020-09-19,102900005116547,13.286
2020-09-20,102900005116547,13.477
2020-09-21,102900005116547,7.888
2020-09-22,102900005116547,9.803
2020-09-23,102900005116547,8.926
2020-09-24,102900005116547,16.225
2020-09-25,102900005116547,10.455
2020-09-26,102900005116547,16.535
