销售日期,单品编码,销量(千克)
2020-07-01,102900011009246,0.0
2020-07-02,102900011009246,0.0
2020-07-03,102900011009246,0.0
2020-07-04,102900011009246,0.0
2020-07-05,102900011009246,0.0
2020-07-06,102900011009246,0.0
2020-07-07,102900011009246,0.0
2020-07-08,102900011009246,0.0
2020-07-09,102900011009246,0.0
2020-07-10,102900011009246,0.0
2020-07-11,102900011009246,0.0
2020-07-12,102900011009246,0.0
2020-07-13,102900011009246,0.0
2020-07-14,102900011009246,0.0
2020-07-15,102900011009246,0.0
2020-07-16,102900011009246,0.0
2020-07-17,102900011009246,0.0
2020-07-18,102900011009246,0.0
2020-07-19,102900011009246,0.0
2020-07-20,102900011009246,0.0
2020-07-21,102900011009246,0.0
2020-07-22,102900011009246,0.0
2020-07-23,102900011009246,0.0
2020-07-24,102900011009246,0.0
2020-07-25,102900011009246,0.0
2020-07-26,102900011009246,0.0
2020-07-27,102900011009246,0.0
2020-07-28,102900011009246,0.0
2020-07-29,102900011009246,0.0
2020-07-30,102900011009246,0.0
2020-07-31,102900011009246,0.0
2020-08-01,102900011009246,0.0
2020-08-02,102900011009246,0.0
2020-08-03,102900011009246,0.0
2020-08-04,102900011009246,0.0
2020-08-05,102900011009246,0.0
2020-08-06,102900011009246,0.0
2020-08-07,102900011009246,0.407
2020-08-08,102900011009246,2.224
2020-08-09,102900011009246,0.0
2020-08-10,102900011009246,0.0
2020-08-11,102900011009246,0.0
2020-08-12,102900011009246,0.0
2020-08-13,102900011009246,0.0
2020-08-14,102900011009246,1.238
2020-08-15,102900011009246,0.372
2020-08-16,102900011009246,1.202
2020-08-17,102900011009246,0.709
2020-08-18,102900011009246,0.673
2020-08-19,102900011009246,0.894
2020-08-20,102900011009246,1.138
2020-08-21,102900011009246,0.0
2020-08-22,102900011009246,2.002
2020-08-23,102900011009246,0.0
2020-08-24,102900011009246,0.0
2020-08-25,102900011009246,0.0
2020-08-26,102900011009246,1.424
2020-08-27,102900011009246,0.0
2020-08-28,102900011009246,1.158
2020-08-29,102900011009246,0.938
2020-08-30,102900011009246,0.923
2020-08-31,102900011009246,0.0
2020-09-01,102900011009246,0.0
2020-09-02,102900011009246,1.388
2020-09-03,102900011009246,0.4
2020-09-04,102900011009246,0.729
2020-09-05,102900011009246,1.703
2020-09-06,102900011009246,0.5720000000000001
2020-09-07,102900011009246,0.494
2020-09-08,102900011009246,0.0
2020-09-09,102900011009246,0.508
2020-09-10,102900011009246,0.429
2020-09-11,102900011009246,0.644
2020-09-12,102900011009246,0.6799999999999999
2020-09-13,102900011009246,0.193
2020-09-14,102900011009246,0.215
2020-09-15,102900011009246,0.207
2020-09-16,102900011009246,0.2
2020-09-17,102900011009246,0.0
2020-09-18,102900011009246,0.579
2020-09-19,102900011009246,0.0
2020-09-20,102900011009246,0.0
2020-09-21,102900011009246,0.0
2020-09-22,102900011009246,0.737
2020-09-23,102900011009246,0.622
2020-09-24,102900011009246,0.2
2020-09-25,102900011009246,0.444
2020-09-26,102900011009246,2.01
2020-09-27,102900011009246,0.973
2020-09-28,102900011009246,0.279
2020-09-29,102900011009246,0.0
2020-09-30,102900011009246,1.344
2020-10-01,102900011009246,0.215
2020-10-02,102900011009246,0.959
2020-10-03,102900011009246,1.56
2020-10-04,102900011009246,1.697
2020-10-05,102900011009246,2.174
2020-10-06,102900011009246,1.073
2020-10-07,102900011009246,0.872
2020-10-08,102900011009246,0.207
2020-10-09,102900011009246,0.393
2020-10-10,102900011009246,0.981
2020-10-11,102900011009246,1.503
2020-10-12,102900011009246,1.094
2020-10-13,102900011009246,0.995
2020-10-14,102900011009246,0.415
2020-10-15,102900011009246,0.3429999999999999
2020-10-16,102900011009246,0.0
2020-10-17,102900011009246,1.001
2020-10-18,102900011009246,0.836
2020-10-19,102900011009246,0.0
2020-10-20,102900011009246,0.0
2020-10-21,102900011009246,0.0
2020-10-22,102900011009246,0.0
2020-10-23,102900011009246,0.0
2020-10-24,102900011009246,0.222
2020-10-25,102900011009246,0.687
2020-10-26,102900011009246,0.25
2020-10-27,102900011009246,0.0
2020-10-28,102900011009246,0.4
2020-10-29,102900011009246,0.407
2020-10-30,102900011009246,0.458
2020-10-31,102900011009246,1.554
2020-11-01,102900011009246,0.0
2020-11-02,102900011009246,0.551
2020-11-03,102900011009246,0.458
2020-11-04,102900011009246,0.801
2020-11-05,102900011009246,0.193
2020-11-06,102900011009246,0.745
2020-11-07,102900011009246,1.395
2020-11-08,102900011009246,0.708
2020-11-09,102900011009246,0.6579999999999999
2020-11-10,102900011009246,0.229
2020-11-11,102900011009246,0.436
2020-11-12,102900011009246,0.243
2020-11-13,102900011009246,0.4649999999999999
2020-11-14,102900011009246,0.63
2020-11-15,102900011009246,0.458
2020-11-16,102900011009246,0.558
2020-11-17,102900011009246,0.315
2020-11-18,102900011009246,0.286
2020-11-19,102900011009246,0.0
2020-11-20,102900011009246,0.5289999999999999
2020-11-21,102900011009246,0.787
2020-11-22,102900011009246,0.0
2020-11-23,102900011009246,1.173
2020-11-24,102900011009246,0.98
2020-11-25,102900011009246,0.93
2020-11-26,102900011009246,0.0
2020-11-27,102900011009246,0.215
2020-11-28,102900011009246,0.802
2020-11-29,102900011009246,1.252
2020-11-30,102900011009246,0.308
2020-12-01,102900011009246,0.8150000000000001
2020-12-02,102900011009246,0.329
2020-12-03,102900011009246,0.579
2020-12-04,102900011009246,1.281
2020-12-05,102900011009246,1.302
2020-12-06,102900011009246,1.472
2020-12-07,102900011009246,0.501
2020-12-08,102900011009246,0.0
2020-12-09,102900011009246,0.665
2020-12-10,102900011009246,0.501
2020-12-11,102900011009246,0.379
2020-12-12,102900011009246,0.729
2020-12-13,102900011009246,0.894
2020-12-14,102900011009246,0.729
2020-12-15,102900011009246,0.472
2020-12-16,102900011009246,1.08
2020-12-17,102900011009246,0.25
2020-12-18,102900011009246,0.286
2020-12-19,102900011009246,0.68
2020-12-20,102900011009246,0.687
2020-12-21,102900011009246,0.0
2020-12-22,102900011009246,0.687
2020-12-23,102900011009246,0.444
2020-12-24,102900011009246,0.179
2020-12-25,102900011009246,0.708
2020-12-26,102900011009246,0.8800000000000001
2020-12-27,102900011009246,0.48
2020-12-28,102900011009246,0.63
2020-12-29,102900011009246,0.659
2020-12-30,102900011009246,0.414
2020-12-31,102900011009246,0.737
2021-01-01,102900011009246,1.303
2021-01-02,102900011009246,0.258
2021-01-03,102900011009246,0.938
2021-01-04,102900011009246,0.265
2021-01-05,102900011009246,1.145
2021-01-06,102900011009246,0.78
2021-01-07,102900011009246,0.729
