销售日期,单品编码,销量(千克)
2020-07-01,102900005116899,214.399
2020-08-01,102900005116899,720.562
2020-09-01,102900005116899,757.64
2020-10-01,102900005116899,1326.863
2020-11-01,102900005116899,944.824
2020-12-01,102900005116899,1237.818
2021-01-01,102900005116899,1057.939
2021-02-01,102900005116899,1165.822
2021-03-01,102900005116899,602.383
2021-04-01,102900005116899,354.146
2021-05-01,102900005116899,208.95
2021-06-01,102900005116899,130.807
2021-07-01,102900005116899,320.251
2021-08-01,102900005116899,1031.982
2021-09-01,102900005116899,1205.74
2021-10-01,102900005116899,1425.764
2021-11-01,102900005116899,1224.284
2021-12-01,102900005116899,1149.046
2022-01-01,102900005116899,1532.116
2022-02-01,102900005116899,865.423
2022-03-01,102900005116899,767.728
2022-04-01,102900005116899,292.118
2022-05-01,102900005116899,111.682
2022-06-01,102900005116899,138.962
2022-07-01,102900005116899,880.993
2022-08-01,102900005116899,1224.735
2022-09-01,102900005116899,650.649
2022-10-01,102900005116899,1347.935
2022-11-01,102900005116899,835.207
2022-12-01,102900005116899,870.376
2023-01-01,102900005116899,895.275
2023-02-01,102900005116899,661.37
2023-03-01,102900005116899,428.774
2023-04-01,102900005116899,232.961
2023-05-01,102900005116899,169.854
2023-06-01,102900005116899,181.081
