销售日期,单品编码,销量(千克)
2020-07-01,102900005118824,82.32600000000001
2020-08-01,102900005118824,42.367
2020-09-01,102900005118824,38.565
2020-10-01,102900005118824,17.255
2020-11-01,102900005118824,0.0
2020-12-01,102900005118824,4.667
2021-01-01,102900005118824,0.0
2021-02-01,102900005118824,6.548
2021-03-01,102900005118824,17.117
2021-04-01,102900005118824,44.761
2021-05-01,102900005118824,74.167
2021-06-01,102900005118824,162.949
2021-07-01,102900005118824,97.723
2021-08-01,102900005118824,74.432
2021-09-01,102900005118824,31.591
2021-10-01,102900005118824,30.193
2021-11-01,102900005118824,4.568
2021-12-01,102900005118824,0.0
2022-01-01,102900005118824,0.0
2022-02-01,102900005118824,0.0
2022-03-01,102900005118824,0.0
2022-04-01,102900005118824,6.904
2022-05-01,102900005118824,18.267
2022-06-01,102900005118824,46.613
2022-07-01,102900005118824,74.93
2022-08-01,102900005118824,16.204
2022-09-01,102900005118824,2.395
2022-10-01,102900005118824,0.0
2022-11-01,102900005118824,0.0
2022-12-01,102900005118824,0.0
2023-01-01,102900005118824,0.0
2023-02-01,102900005118824,0.0
2023-03-01,102900005118824,68.286
2023-04-01,102900005118824,81.637
2023-05-01,102900005118824,48.933
2023-06-01,102900005118824,86.558
