销售日期,单品编码,销量(千克)
2020-07-01,102900005115823,452.999
2020-08-01,102900005115823,702.708
2020-09-01,102900005115823,529.028
2020-10-01,102900005115823,256.74
2020-11-01,102900005115823,152.065
2020-12-01,102900005115823,152.823
2021-01-01,102900005115823,255.919
2021-02-01,102900005115823,408.955
2021-03-01,102900005115823,393.509
2021-04-01,102900005115823,403.399
2021-05-01,102900005115823,236.796
2021-06-01,102900005115823,215.648
2021-07-01,102900005115823,305.652
2021-08-01,102900005115823,529.101
2021-09-01,102900005115823,208.574
2021-10-01,102900005115823,196.226
2021-11-01,102900005115823,71.328
2021-12-01,102900005115823,90.927
2022-01-01,102900005115823,150.661
2022-02-01,102900005115823,234.706
2022-03-01,102900005115823,179.667
2022-04-01,102900005115823,103.564
2022-05-01,102900005115823,155.717
2022-06-01,102900005115823,139.355
2022-07-01,102900005115823,159.45
2022-08-01,102900005115823,1.765
2022-09-01,102900005115823,0.0
2022-10-01,102900005115823,13.354
2022-11-01,102900005115823,40.872
2022-12-01,102900005115823,0.218
2023-01-01,102900005115823,64.771
2023-02-01,102900005115823,88.806
2023-03-01,102900005115823,156.844
2023-04-01,102900005115823,174.831
2023-05-01,102900005115823,215.385
2023-06-01,102900005115823,166.023
