销售日期,单品编码,销量(千克)
2020-07-01,102900005115984,936.219
2020-08-01,102900005115984,745.185
2020-09-01,102900005115984,319.056
2020-10-01,102900005115984,337.648
2020-11-01,102900005115984,330.112
2020-12-01,102900005115984,420.726
2021-01-01,102900005115984,473.764
2021-02-01,102900005115984,752.867
2021-03-01,102900005115984,706.43
2021-04-01,102900005115984,333.826
2021-05-01,102900005115984,393.741
2021-06-01,102900005115984,340.141
2021-07-01,102900005115984,394.695
2021-08-01,102900005115984,861.534
2021-09-01,102900005115984,464.236
2021-10-01,102900005115984,375.839
2021-11-01,102900005115984,114.765
2021-12-01,102900005115984,124.121
2022-01-01,102900005115984,150.555
2022-02-01,102900005115984,356.38100000000003
2022-03-01,102900005115984,162.449
2022-04-01,102900005115984,98.301
2022-05-01,102900005115984,307.824
2022-06-01,102900005115984,237.736
2022-07-01,102900005115984,352.462
2022-08-01,102900005115984,96.901
2022-09-01,102900005115984,0.0
2022-10-01,102900005115984,9.644
2022-11-01,102900005115984,64.574
2022-12-01,102900005115984,0.532
2023-01-01,102900005115984,31.465
2023-02-01,102900005115984,10.252
2023-03-01,102900005115984,0.0
2023-04-01,102900005115984,0.0
2023-05-01,102900005115984,0.0
2023-06-01,102900005115984,5.098
