销售日期,单品编码,销量(千克)
2020-07-01,102900005115779,958.715
2020-08-01,102900005115779,905.914
2020-09-01,102900005115779,856.958
2020-10-01,102900005115779,689.728
2020-11-01,102900005115779,375.571
2020-12-01,102900005115779,388.756
2021-01-01,102900005115779,382.12
2021-02-01,102900005115779,538.707
2021-03-01,102900005115779,666.582
2021-04-01,102900005115779,570.904
2021-05-01,102900005115779,596.038
2021-06-01,102900005115779,721.217
2021-07-01,102900005115779,1287.41
2021-08-01,102900005115779,1129.327
2021-09-01,102900005115779,880.314
2021-10-01,102900005115779,824.858
2021-11-01,102900005115779,268.447
2021-12-01,102900005115779,185.327
2022-01-01,102900005115779,371.681
2022-02-01,102900005115779,319.706
2022-03-01,102900005115779,344.443
2022-04-01,102900005115779,321.279
2022-05-01,102900005115779,511.9
2022-06-01,102900005115779,583.614
2022-07-01,102900005115779,739.376
2022-08-01,102900005115779,108.935
2022-09-01,102900005115779,42.578
2022-10-01,102900005115779,61.549
2022-11-01,102900005115779,113.996
2022-12-01,102900005115779,16.447
2023-01-01,102900005115779,54.188
2023-02-01,102900005115779,9.908
2023-03-01,102900005115779,0.0
2023-04-01,102900005115779,21.014
2023-05-01,102900005115779,22.194
2023-06-01,102900005115779,45.721
