销售日期,单品编码,销量(千克)
2020-07-01,102900011008164,0.0
2020-08-01,102900011008164,19.555
2020-09-01,102900011008164,225.305
2020-10-01,102900011008164,222.643
2020-11-01,102900011008164,201.579
2020-12-01,102900011008164,82.247
2021-01-01,102900011008164,92.725
2021-02-01,102900011008164,151.013
2021-03-01,102900011008164,120.093
2021-04-01,102900011008164,238.912
2021-05-01,102900011008164,255.199
2021-06-01,102900011008164,163.514
2021-07-01,102900011008164,188.857
2021-08-01,102900011008164,361.651
2021-09-01,102900011008164,373.494
2021-10-01,102900011008164,274.699
2021-11-01,102900011008164,124.961
2021-12-01,102900011008164,127.227
2022-01-01,102900011008164,116.297
2022-02-01,102900011008164,100.38
2022-03-01,102900011008164,200.074
2022-04-01,102900011008164,226.187
2022-05-01,102900011008164,265.53
2022-06-01,102900011008164,307.057
2022-07-01,102900011008164,220.621
2022-08-01,102900011008164,8.0
2022-09-01,102900011008164,14.366
2022-10-01,102900011008164,39.856
2022-11-01,102900011008164,137.718
2022-12-01,102900011008164,58.706
2023-01-01,102900011008164,185.377
2023-02-01,102900011008164,30.96
2023-03-01,102900011008164,31.83
2023-04-01,102900011008164,65.428
2023-05-01,102900011008164,237.223
2023-06-01,102900011008164,349.682
