销售日期,单品编码,销量(千克)
2020-07-01,102900005118831,399.0
2020-08-01,102900005118831,331.0
2020-09-01,102900005118831,176.0
2020-10-01,102900005118831,367.0
2020-11-01,102900005118831,192.0
2020-12-01,102900005118831,207.0
2021-01-01,102900005118831,258.0
2021-02-01,102900005118831,240.0
2021-03-01,102900005118831,227.0
2021-04-01,102900005118831,222.0
2021-05-01,102900005118831,179.0
2021-06-01,102900005118831,152.0
2021-07-01,102900005118831,194.0
2021-08-01,102900005118831,315.0
2021-09-01,102900005118831,195.0
2021-10-01,102900005118831,2.0
2021-11-01,102900005118831,0.0
2021-12-01,102900005118831,34.0
2022-01-01,102900005118831,4.0
2022-02-01,102900005118831,1.0
2022-03-01,102900005118831,1.0
2022-04-01,102900005118831,4.0
2022-05-01,102900005118831,0.0
2022-06-01,102900005118831,0.0
2022-07-01,102900005118831,2.0
2022-08-01,102900005118831,1.0
2022-09-01,102900005118831,21.0
2022-10-01,102900005118831,18.0
2022-11-01,102900005118831,831.0
2022-12-01,102900005118831,1026.0
2023-01-01,102900005118831,1033.0
2023-02-01,102900005118831,509.0
2023-03-01,102900005118831,481.0
2023-04-01,102900005118831,432.0
2023-05-01,102900005118831,615.0
2023-06-01,102900005118831,333.0
