销售日期,单品编码,销量(千克)
2020-07-01,102900005115793,185.146
2020-08-01,102900005115793,198.076
2020-09-01,102900005115793,150.807
2020-10-01,102900005115793,76.752
2020-11-01,102900005115793,26.923
2020-12-01,102900005115793,10.151
2021-01-01,102900005115793,0.0
2021-02-01,102900005115793,0.0
2021-03-01,102900005115793,28.177
2021-04-01,102900005115793,6.465
2021-05-01,102900005115793,119.11
2021-06-01,102900005115793,141.064
2021-07-01,102900005115793,126.221
2021-08-01,102900005115793,147.675
2021-09-01,102900005115793,106.625
2021-10-01,102900005115793,63.088
2021-11-01,102900005115793,24.342
2021-12-01,102900005115793,8.505
2022-01-01,102900005115793,0.0
2022-02-01,102900005115793,0.0
2022-03-01,102900005115793,9.642
2022-04-01,102900005115793,21.574
2022-05-01,102900005115793,54.787
2022-06-01,102900005115793,54.315
2022-07-01,102900005115793,101.779
2022-08-01,102900005115793,4.606
2022-09-01,102900005115793,12.403
2022-10-01,102900005115793,13.795
2022-11-01,102900005115793,0.0
2022-12-01,102900005115793,0.0
2023-01-01,102900005115793,3.434
2023-02-01,102900005115793,13.701
2023-03-01,102900005115793,0.0
2023-04-01,102900005115793,0.0
2023-05-01,102900005115793,0.0
2023-06-01,102900005115793,0.0
