销售日期,单品编码,销量(千克)
2020-07-01,102900011023464,0.0
2020-08-01,102900011023464,0.0
2020-09-01,102900011023464,0.0
2020-10-01,102900011023464,0.0
2020-11-01,102900011023464,0.0
2020-12-01,102900011023464,0.0
2021-01-01,102900011023464,0.0
2021-02-01,102900011023464,0.0
2021-03-01,102900011023464,0.0
2021-04-01,102900011023464,0.0
2021-05-01,102900011023464,0.0
2021-06-01,102900011023464,0.0
2021-07-01,102900011023464,0.0
2021-08-01,102900011023464,24.155
2021-09-01,102900011023464,209.42
2021-10-01,102900011023464,224.921
2021-11-01,102900011023464,146.354
2021-12-01,102900011023464,104.194
2022-01-01,102900011023464,123.082
2022-02-01,102900011023464,69.517
2022-03-01,102900011023464,196.048
2022-04-01,102900011023464,223.896
2022-05-01,102900011023464,238.981
2022-06-01,102900011023464,198.574
2022-07-01,102900011023464,172.645
2022-08-01,102900011023464,2.273
2022-09-01,102900011023464,3.177
2022-10-01,102900011023464,23.969
2022-11-01,102900011023464,47.125
2022-12-01,102900011023464,40.06
2023-01-01,102900011023464,99.11
2023-02-01,102900011023464,121.249
2023-03-01,102900011023464,221.907
2023-04-01,102900011023464,269.862
2023-05-01,102900011023464,312.934
2023-06-01,102900011023464,196.702
