销售日期,单品编码,销量(千克)
2020-07-01,102900005115946,108.114
2020-08-01,102900005115946,44.144
2020-09-01,102900005115946,75.688
2020-10-01,102900005115946,14.755
2020-11-01,102900005115946,0.0
2020-12-01,102900005115946,0.0
2021-01-01,102900005115946,2.034
2021-02-01,102900005115946,0.0
2021-03-01,102900005115946,0.0
2021-04-01,102900005115946,2.83
2021-05-01,102900005115946,37.809
2021-06-01,102900005115946,27.573
2021-07-01,102900005115946,126.111
2021-08-01,102900005115946,95.906
2021-09-01,102900005115946,96.766
2021-10-01,102900005115946,50.225
2021-11-01,102900005115946,0.0
2021-12-01,102900005115946,0.0
2022-01-01,102900005115946,0.0
2022-02-01,102900005115946,0.0
2022-03-01,102900005115946,0.0
2022-04-01,102900005115946,42.801
2022-05-01,102900005115946,163.436
2022-06-01,102900005115946,105.121
2022-07-01,102900005115946,104.096
2022-08-01,102900005115946,81.193
2022-09-01,102900005115946,57.082
2022-10-01,102900005115946,13.063
2022-11-01,102900005115946,0.0
2022-12-01,102900005115946,0.0
2023-01-01,102900005115946,0.0
2023-02-01,102900005115946,0.0
2023-03-01,102900005115946,0.0
2023-04-01,102900005115946,36.353
2023-05-01,102900005115946,116.899
2023-06-01,102900005115946,165.466
