销售日期,单品编码,销量(千克)
2020-07-01,102900011008522,685.824
2020-08-01,102900011008522,521.876
2020-09-01,102900011008522,582.016
2020-10-01,102900011008522,419.96
2020-11-01,102900011008522,166.385
2020-12-01,102900011008522,106.724
2021-01-01,102900011008522,32.184
2021-02-01,102900011008522,0.0
2021-03-01,102900011008522,0.0
2021-04-01,102900011008522,0.0
2021-05-01,102900011008522,0.0
2021-06-01,102900011008522,0.0
2021-07-01,102900011008522,132.948
2021-08-01,102900011008522,833.64
2021-09-01,102900011008522,455.67
2021-10-01,102900011008522,146.987
2021-11-01,102900011008522,0.522
2021-12-01,102900011008522,0.0
2022-01-01,102900011008522,0.0
2022-02-01,102900011008522,0.0
2022-03-01,102900011008522,0.0
2022-04-01,102900011008522,0.0
2022-05-01,102900011008522,0.0
2022-06-01,102900011008522,0.0
2022-07-01,102900011008522,0.0
2022-08-01,102900011008522,274.243
2022-09-01,102900011008522,212.987
2022-10-01,102900011008522,117.5
2022-11-01,102900011008522,0.0
2022-12-01,102900011008522,0.0
2023-01-01,102900011008522,0.0
2023-02-01,102900011008522,0.0
2023-03-01,102900011008522,0.0
2023-04-01,102900011008522,0.0
2023-05-01,102900011008522,0.0
2023-06-01,102900011008522,0.0
