销售日期,单品编码,销量(千克)
2020-07-01,102900005115786,483.748
2020-08-01,102900005115786,381.047
2020-09-01,102900005115786,262.864
2020-10-01,102900005115786,23.4
2020-11-01,102900005115786,0.0
2020-12-01,102900005115786,0.0
2021-01-01,102900005115786,31.988
2021-02-01,102900005115786,33.304
2021-03-01,102900005115786,59.179
2021-04-01,102900005115786,282.275
2021-05-01,102900005115786,572.408
2021-06-01,102900005115786,609.425
2021-07-01,102900005115786,442.607
2021-08-01,102900005115786,372.042
2021-09-01,102900005115786,191.29
2021-10-01,102900005115786,126.927
2021-11-01,102900005115786,0.0
2021-12-01,102900005115786,2.871
2022-01-01,102900005115786,8.577
2022-02-01,102900005115786,9.756
2022-03-01,102900005115786,37.396
2022-04-01,102900005115786,162.966
2022-05-01,102900005115786,532.488
2022-06-01,102900005115786,710.277
2022-07-01,102900005115786,476.022
2022-08-01,102900005115786,7.077
2022-09-01,102900005115786,153.931
2022-10-01,102900005115786,79.25
2022-11-01,102900005115786,6.33
2022-12-01,102900005115786,0.0
2023-01-01,102900005115786,2.272
2023-02-01,102900005115786,64.295
2023-03-01,102900005115786,37.606
2023-04-01,102900005115786,245.49
2023-05-01,102900005115786,404.436
2023-06-01,102900005115786,433.414
