销售日期,单品编码,销量(千克)
2020-07-01,102900005119975,686.352
2020-08-01,102900005119975,611.98
2020-09-01,102900005119975,255.542
2020-10-01,102900005119975,3.856
2020-11-01,102900005119975,0.0
2020-12-01,102900005119975,0.0
2021-01-01,102900005119975,0.0
2021-02-01,102900005119975,2.698
2021-03-01,102900005119975,56.025
2021-04-01,102900005119975,112.686
2021-05-01,102900005119975,289.176
2021-06-01,102900005119975,402.947
2021-07-01,102900005119975,378.141
2021-08-01,102900005119975,294.962
2021-09-01,102900005119975,167.413
2021-10-01,102900005119975,144.961
2021-11-01,102900005119975,13.714
2021-12-01,102900005119975,0.0
2022-01-01,102900005119975,0.0
2022-02-01,102900005119975,0.0
2022-03-01,102900005119975,47.5
2022-04-01,102900005119975,82.495
2022-05-01,102900005119975,250.335
2022-06-01,102900005119975,552.118
2022-07-01,102900005119975,339.224
2022-08-01,102900005119975,0.441
2022-09-01,102900005119975,86.114
2022-10-01,102900005119975,31.089
2022-11-01,102900005119975,0.0
2022-12-01,102900005119975,0.0
2023-01-01,102900005119975,0.0
2023-02-01,102900005119975,1.231
2023-03-01,102900005119975,0.395
2023-04-01,102900005119975,8.921
2023-05-01,102900005119975,150.855
2023-06-01,102900005119975,190.058
