销售日期,单品编码,销量(千克)
2020-07-01,102900005115762,143.737
2020-08-01,102900005115762,236.18
2020-09-01,102900005115762,139.108
2020-10-01,102900005115762,0.0
2020-11-01,102900005115762,0.0
2020-12-01,102900005115762,0.0
2021-01-01,102900005115762,16.485
2021-02-01,102900005115762,32.731
2021-03-01,102900005115762,148.889
2021-04-01,102900005115762,404.537
2021-05-01,102900005115762,403.557
2021-06-01,102900005115762,301.806
2021-07-01,102900005115762,207.896
2021-08-01,102900005115762,234.284
2021-09-01,102900005115762,146.006
2021-10-01,102900005115762,101.798
2021-11-01,102900005115762,5.499
2021-12-01,102900005115762,0.0
2022-01-01,102900005115762,0.0
2022-02-01,102900005115762,0.0
2022-03-01,102900005115762,190.135
2022-04-01,102900005115762,461.962
2022-05-01,102900005115762,334.136
2022-06-01,102900005115762,350.508
2022-07-01,102900005115762,283.614
2022-08-01,102900005115762,49.25
2022-09-01,102900005115762,17.089
2022-10-01,102900005115762,0.0
2022-11-01,102900005115762,0.0
2022-12-01,102900005115762,0.0
2023-01-01,102900005115762,1.053
2023-02-01,102900005115762,39.26
2023-03-01,102900005115762,135.542
2023-04-01,102900005115762,210.853
2023-05-01,102900005115762,270.735
2023-06-01,102900005115762,236.008
