销售日期,单品编码,销量(千克)
2020-07-01,102900005115878,0.0
2020-08-01,102900005115878,0.0
2020-09-01,102900005115878,81.742
2020-10-01,102900005115878,312.652
2020-11-01,102900005115878,453.115
2020-12-01,102900005115878,231.415
2021-01-01,102900005115878,169.161
2021-02-01,102900005115878,332.032
2021-03-01,102900005115878,152.581
2021-04-01,102900005115878,10.089
2021-05-01,102900005115878,0.0
2021-06-01,102900005115878,0.0
2021-07-01,102900005115878,0.0
2021-08-01,102900005115878,0.0
2021-09-01,102900005115878,59.691
2021-10-01,102900005115878,278.647
2021-11-01,102900005115878,234.596
2021-12-01,102900005115878,293.711
2022-01-01,102900005115878,193.541
2022-02-01,102900005115878,33.673
2022-03-01,102900005115878,72.176
2022-04-01,102900005115878,0.0
2022-05-01,102900005115878,0.0
2022-06-01,102900005115878,0.0
2022-07-01,102900005115878,0.0
2022-08-01,102900005115878,0.0
2022-09-01,102900005115878,83.443
2022-10-01,102900005115878,258.758
2022-11-01,102900005115878,236.628
2022-12-01,102900005115878,157.434
2023-01-01,102900005115878,170.243
2023-02-01,102900005115878,0.0
2023-03-01,102900005115878,126.41
2023-04-01,102900005115878,128.308
2023-05-01,102900005115878,43.198
2023-06-01,102900005115878,0.0
