销售日期,单品编码,销量(千克)
2020-07-01,102900005115908,414.37
2020-08-01,102900005115908,542.157
2020-09-01,102900005115908,382.959
2020-10-01,102900005115908,314.142
2020-11-01,102900005115908,196.172
2020-12-01,102900005115908,87.041
2021-01-01,102900005115908,111.879
2021-02-01,102900005115908,152.513
2021-03-01,102900005115908,142.532
2021-04-01,102900005115908,173.684
2021-05-01,102900005115908,187.542
2021-06-01,102900005115908,254.459
2021-07-01,102900005115908,222.683
2021-08-01,102900005115908,241.093
2021-09-01,102900005115908,134.712
2021-10-01,102900005115908,108.123
2021-11-01,102900005115908,81.981
2021-12-01,102900005115908,84.951
2022-01-01,102900005115908,78.458
2022-02-01,102900005115908,55.888
2022-03-01,102900005115908,12.483
2022-04-01,102900005115908,1.282
2022-05-01,102900005115908,12.065
2022-06-01,102900005115908,72.664
2022-07-01,102900005115908,173.27100000000002
2022-08-01,102900005115908,1.061
2022-09-01,102900005115908,0.0
2022-10-01,102900005115908,5.526
2022-11-01,102900005115908,21.792
2022-12-01,102900005115908,0.0
2023-01-01,102900005115908,17.358
2023-02-01,102900005115908,84.739
2023-03-01,102900005115908,0.794
2023-04-01,102900005115908,14.403
2023-05-01,102900005115908,80.44
2023-06-01,102900005115908,32.931
