销售日期,单品编码,销量(千克)
2020-07-01,102900005118817,5.472
2020-08-01,102900005118817,26.014
2020-09-01,102900005118817,50.012
2020-10-01,102900005118817,509.814
2020-11-01,102900005118817,341.019
2020-12-01,102900005118817,304.378
2021-01-01,102900005118817,228.88
2021-02-01,102900005118817,189.705
2021-03-01,102900005118817,153.382
2021-04-01,102900005118817,176.394
2021-05-01,102900005118817,145.631
2021-06-01,102900005118817,159.645
2021-07-01,102900005118817,229.309
2021-08-01,102900005118817,197.41
2021-09-01,102900005118817,183.985
2021-10-01,102900005118817,158.731
2021-11-01,102900005118817,141.699
2021-12-01,102900005118817,288.263
2022-01-01,102900005118817,308.241
2022-02-01,102900005118817,222.203
2022-03-01,102900005118817,121.924
2022-04-01,102900005118817,104.801
2022-05-01,102900005118817,152.853
2022-06-01,102900005118817,121.978
2022-07-01,102900005118817,100.433
2022-08-01,102900005118817,11.042
2022-09-01,102900005118817,9.583
2022-10-01,102900005118817,22.243
2022-11-01,102900005118817,59.858
2022-12-01,102900005118817,185.485
2023-01-01,102900005118817,257.406
2023-02-01,102900005118817,43.775
2023-03-01,102900005118817,0.0
2023-04-01,102900005118817,0.0
2023-05-01,102900005118817,0.0
2023-06-01,102900005118817,6.82
