销售日期,单品编码,销量(千克)
2020-07-01,102900005115885,0.0
2020-08-01,102900005115885,0.0
2020-09-01,102900005115885,5.324
2020-10-01,102900005115885,34.796
2020-11-01,102900005115885,55.81
2020-12-01,102900005115885,31.48
2021-01-01,102900005115885,17.241
2021-02-01,102900005115885,138.576
2021-03-01,102900005115885,75.004
2021-04-01,102900005115885,103.181
2021-05-01,102900005115885,7.818
2021-06-01,102900005115885,0.0
2021-07-01,102900005115885,0.0
2021-08-01,102900005115885,0.0
2021-09-01,102900005115885,50.526
2021-10-01,102900005115885,57.709
2021-11-01,102900005115885,23.902
2021-12-01,102900005115885,0.0
2022-01-01,102900005115885,10.954
2022-02-01,102900005115885,0.0
2022-03-01,102900005115885,99.024
2022-04-01,102900005115885,24.852
2022-05-01,102900005115885,0.0
2022-06-01,102900005115885,0.0
2022-07-01,102900005115885,0.0
2022-08-01,102900005115885,0.0
2022-09-01,102900005115885,21.461
2022-10-01,102900005115885,0.0
2022-11-01,102900005115885,0.0
2022-12-01,102900005115885,0.0
2023-01-01,102900005115885,0.0
2023-02-01,102900005115885,33.136
2023-03-01,102900005115885,77.23
2023-04-01,102900005115885,73.164
2023-05-01,102900005115885,0.0
2023-06-01,102900005115885,0.0
