销售日期,单品编码,销量(千克)
2020-07-01,102900051010455,499.731
2020-08-01,102900051010455,1082.012
2020-09-01,102900051010455,646.668
2020-10-01,102900051010455,228.933
2020-11-01,102900051010455,121.415
2020-12-01,102900051010455,145.255
2021-01-01,102900051010455,158.02
2021-02-01,102900051010455,139.273
2021-03-01,102900051010455,183.588
2021-04-01,102900051010455,274.945
2021-05-01,102900051010455,311.706
2021-06-01,102900051010455,213.607
2021-07-01,102900051010455,406.616
2021-08-01,102900051010455,593.716
2021-09-01,102900051010455,318.476
2021-10-01,102900051010455,210.421
2021-11-01,102900051010455,62.19
2021-12-01,102900051010455,35.197
2022-01-01,102900051010455,72.073
2022-02-01,102900051010455,75.357
2022-03-01,102900051010455,86.848
2022-04-01,102900051010455,108.775
2022-05-01,102900051010455,160.07
2022-06-01,102900051010455,234.1
2022-07-01,102900051010455,428.995
2022-08-01,102900051010455,428.784
2022-09-01,102900051010455,266.767
2022-10-01,102900051010455,202.318
2022-11-01,102900051010455,0.0
2022-12-01,102900051010455,0.161
2023-01-01,102900051010455,0.0
2023-02-01,102900051010455,25.424
2023-03-01,102900051010455,103.694
2023-04-01,102900051010455,151.95
2023-05-01,102900051010455,14.951
2023-06-01,102900051010455,1.647
