销售日期,单品编码,销量(千克)
2020-07-01,102900051000463,0.0
2020-08-01,102900051000463,15.558
2020-09-01,102900051000463,176.29
2020-10-01,102900051000463,175.213
2020-11-01,102900051000463,55.449
2020-12-01,102900051000463,28.216
2021-01-01,102900051000463,0.0
2021-02-01,102900051000463,31.233
2021-03-01,102900051000463,32.257
2021-04-01,102900051000463,33.015
2021-05-01,102900051000463,58.5
2021-06-01,102900051000463,62.023
2021-07-01,102900051000463,50.458
2021-08-01,102900051000463,62.819
2021-09-01,102900051000463,49.806
2021-10-01,102900051000463,31.618
2021-11-01,102900051000463,10.101
2021-12-01,102900051000463,4.507
2022-01-01,102900051000463,25.271
2022-02-01,102900051000463,8.457
2022-03-01,102900051000463,2.714
2022-04-01,102900051000463,1.813
2022-05-01,102900051000463,5.741
2022-06-01,102900051000463,4.541
2022-07-01,102900051000463,1.896
2022-08-01,102900051000463,0.0
2022-09-01,102900051000463,0.0
2022-10-01,102900051000463,0.0
2022-11-01,102900051000463,0.0
2022-12-01,102900051000463,0.0
2023-01-01,102900051000463,0.0
2023-02-01,102900051000463,9.982
2023-03-01,102900051000463,18.149
2023-04-01,102900051000463,36.351
2023-05-01,102900051000463,16.941
2023-06-01,102900051000463,38.77
