销售日期,单品编码,销量(千克)
2020-07-01,102900005116257,576.073
2020-08-01,102900005116257,545.528
2020-09-01,102900005116257,274.319
2020-10-01,102900005116257,313.084
2020-11-01,102900005116257,228.74
2020-12-01,102900005116257,301.446
2021-01-01,102900005116257,426.466
2021-02-01,102900005116257,657.628
2021-03-01,102900005116257,493.683
2021-04-01,102900005116257,378.425
2021-05-01,102900005116257,426.554
2021-06-01,102900005116257,463.823
2021-07-01,102900005116257,434.56
2021-08-01,102900005116257,447.644
2021-09-01,102900005116257,394.521
2021-10-01,102900005116257,244.64
2021-11-01,102900005116257,165.42000000000002
2021-12-01,102900005116257,156.283
2022-01-01,102900005116257,396.944
2022-02-01,102900005116257,481.06
2022-03-01,102900005116257,379.738
2022-04-01,102900005116257,470.903
2022-05-01,102900005116257,627.321
2022-06-01,102900005116257,497.224
2022-07-01,102900005116257,326.384
2022-08-01,102900005116257,68.127
2022-09-01,102900005116257,5.67
2022-10-01,102900005116257,156.749
2022-11-01,102900005116257,244.563
2022-12-01,102900005116257,205.94
2023-01-01,102900005116257,558.717
2023-02-01,102900005116257,284.803
2023-03-01,102900005116257,342.936
2023-04-01,102900005116257,459.342
2023-05-01,102900005116257,701.69
2023-06-01,102900005116257,472.028
