销售日期,单品编码,销量(千克)
2020-07-01,102900005116509,491.192
2020-08-01,102900005116509,283.76800000000003
2020-09-01,102900005116509,213.265
2020-10-01,102900005116509,124.211
2020-11-01,102900005116509,83.441
2020-12-01,102900005116509,46.432
2021-01-01,102900005116509,62.772
2021-02-01,102900005116509,59.795
2021-03-01,102900005116509,74.712
2021-04-01,102900005116509,63.247
2021-05-01,102900005116509,127.633
2021-06-01,102900005116509,242.936
2021-07-01,102900005116509,157.365
2021-08-01,102900005116509,109.638
2021-09-01,102900005116509,78.327
2021-10-01,102900005116509,63.956
2021-11-01,102900005116509,19.977
2021-12-01,102900005116509,23.073
2022-01-01,102900005116509,58.401
2022-02-01,102900005116509,44.047
2022-03-01,102900005116509,31.175
2022-04-01,102900005116509,24.635
2022-05-01,102900005116509,182.79
2022-06-01,102900005116509,285.401
2022-07-01,102900005116509,104.433
2022-08-01,102900005116509,28.243
2022-09-01,102900005116509,0.0
2022-10-01,102900005116509,0.401
2022-11-01,102900005116509,7.999
2022-12-01,102900005116509,5.251
2023-01-01,102900005116509,94.945
2023-02-01,102900005116509,71.707
2023-03-01,102900005116509,83.71
2023-04-01,102900005116509,95.646
2023-05-01,102900005116509,14.076
2023-06-01,102900005116509,60.411
